,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,TIM,1,6ZEYvUSgON3J5Qe1RYi3Jo,Peace Of Mind (feat. Vargas & Lagola),spotify:track:6ZEYvUSgON3J5Qe1RYi3Jo,0.11,0.461,0.624,6.97e-06,0.454,-8.034,0.0298,110.003,0.278,55
1,TIM,2,0vrmHPfoBadXVr2n0m1aqZ,Heaven,spotify:track:0vrmHPfoBadXVr2n0m1aqZ,0.0715,0.592,0.873,0.00982,0.142,-5.65,0.0275,122.011,0.516,71
2,TIM,3,2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),spotify:track:2x0RZdkZcD8QRI53XT4GI5,0.272,0.802,0.645,0.0,0.119,-6.181,0.0715,100.001,0.376,76
3,TIM,4,1yfyIdEw5U2bD5I6gxQCxW,"Tough Love (feat. Agnes, Vargas & Lagola)",spotify:track:1yfyIdEw5U2bD5I6gxQCxW,0.143,0.402,0.754,0.0,0.358,-4.837,0.0432,108.17,0.621,62
4,TIM,5,0HZgYFimoJG9Ijy8InUWcV,Bad Reputation (feat. Joe Janiak),spotify:track:0HZgYFimoJG9Ijy8InUWcV,0.656,0.745,0.637,6.5e-06,0.0993,-5.959,0.0512,89.995,0.446,65
5,TIM,6,3MhNgzZwFtUF6jSr6pRSkW,Ain't A Thing (feat. Bonn),spotify:track:3MhNgzZwFtUF6jSr6pRSkW,0.544,0.454,0.423,0.0,0.0538,-7.286,0.0552,170.162,0.245,55
6,TIM,7,6EBlOYNcZ8MrdEov9lEdV6,Hold The Line (feat. A R I Z O N A),spotify:track:6EBlOYNcZ8MrdEov9lEdV6,0.329,0.648,0.554,2.56e-05,0.0803,-7.005,0.0341,98.045,0.372,67
7,TIM,8,6NVjujGb9fnl25fjzm5dTy,Freak (feat. Bonn),spotify:track:6NVjujGb9fnl25fjzm5dTy,0.225,0.405,0.576,8.08e-06,0.0822,-6.245,0.171,91.204,0.695,56
8,TIM,9,5dVUSdsePmEKkq4ryfrobU,Excuse Me Mr Sir (feat. Vargas & Lagola),spotify:track:5dVUSdsePmEKkq4ryfrobU,0.127,0.464,0.672,0.00299,0.322,-6.064,0.0727,114.708,0.492,52
9,TIM,10,6kXNnS7JJz0nAv4XEwEmQJ,Heart Upon My Sleeve (feat. Imagine Dragons),spotify:track:6kXNnS7JJz0nAv4XEwEmQJ,0.316,0.588,0.601,0.0,0.148,-5.983,0.0332,126.06,0.38,63
10,TIM,11,7zGEU6BXl2c4TxpzIAr7BI,Never Leave Me (feat. Joe Janiak),spotify:track:7zGEU6BXl2c4TxpzIAr7BI,0.303,0.629,0.662,0.0,0.0762,-5.581,0.0939,82.368,0.45,59
11,TIM,12,6aPDvttLmezuUlv60ExTH9,Fades Away (feat. Noonie Bao),spotify:track:6aPDvttLmezuUlv60ExTH9,0.228,0.53,0.525,2.2e-06,0.0812,-8.319,0.0585,134.236,0.225,62
43,Stories,1,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,spotify:track:2P4OICZRVAQcYAV2JReRfj,0.31,0.579,0.736,0.0,0.198,-3.863,0.0527,127.999,0.613,84
44,Stories,2,5IZg7Ngm3CTOj9l00YSrt9,Talk To Myself,spotify:track:5IZg7Ngm3CTOj9l00YSrt9,0.0102,0.722,0.799,0.00435,0.0462,-4.336,0.0613,122.012,0.886,54
45,Stories,3,07Wqp9LcTwzdIyuI0twXjx,Touch Me,spotify:track:07Wqp9LcTwzdIyuI0twXjx,0.000888,0.705,0.539,0.0244,0.0575,-4.93,0.055,109.969,0.848,51
46,Stories,4,3Ai7wKn9UYkkNuygKgf4b2,Ten More Days,spotify:track:3Ai7wKn9UYkkNuygKgf4b2,0.0225,0.593,0.675,1.33e-05,0.0972,-3.843,0.0306,137.885,0.267,54
47,Stories,5,7kbTZWt7DnzIzbkyzFE1PW,For A Better Day,spotify:track:7kbTZWt7DnzIzbkyzFE1PW,0.0386,0.639,0.843,0.0829,0.108,-3.393,0.0334,135.002,0.317,68
48,Stories,6,260jSxvzkFt71ksvkcy2ke,Broken Arrows,spotify:track:260jSxvzkFt71ksvkcy2ke,0.0481,0.63,0.666,0.000567,0.104,-7.186,0.045,115.973,0.288,65
49,Stories,7,4zJ3S7wjKwPvLbWmeKhceh,True Believer,spotify:track:4zJ3S7wjKwPvLbWmeKhceh,0.00281,0.762,0.561,0.00396,0.0768,-2.964,0.0813,120.001,0.355,51
50,Stories,8,35j3CjgBRoqLp8LsAKsQF4,City Lights,spotify:track:35j3CjgBRoqLp8LsAKsQF4,0.00975,0.8,0.821,0.0838,0.297,-5.962,0.224,128.013,0.417,51
51,Stories,9,3uEu7hcvgrSOrgnMxzqugh,Pure Grinding,spotify:track:3uEu7hcvgrSOrgnMxzqugh,0.0852,0.712,0.743,4.16e-06,0.106,-3.462,0.0627,104.008,0.361,59
52,Stories,10,3Q95VQL8yWRO8mkF6VoDzi,Sunset Jesus,spotify:track:3Q95VQL8yWRO8mkF6VoDzi,0.0278,0.61,0.788,1.06e-06,0.13,-3.599,0.0646,104.934,0.687,58
53,Stories,11,5vENpNhFdtArPAJgTAtnla,Can't Catch Me,spotify:track:5vENpNhFdtArPAJgTAtnla,0.171,0.627,0.702,0.0,0.0891,-3.394,0.091,79.926,0.592,53
54,Stories,12,2K1zp0p7PVmrBUQu6evtfe,Somewhere In Stockholm,spotify:track:2K1zp0p7PVmrBUQu6evtfe,0.624,0.237,0.766,0.0,0.112,-5.102,0.24,192.239,0.535,54
55,Stories,13,0JZ9TvOLtZJaGqIyC4hYZX,Trouble,spotify:track:0JZ9TvOLtZJaGqIyC4hYZX,0.0323,0.689,0.799,0.0,0.297,-3.45,0.0392,115.859,0.823,60
56,Stories,14,1rDETmcizen79JghAEm1Se,Gonna Love Ya,spotify:track:1rDETmcizen79JghAEm1Se,0.159,0.718,0.666,0.0994,0.129,-6.624,0.0489,100.014,0.699,62
57,The Days / Nights,1,5Iy2Jj87Ha0C0IBlNE1I4y,The Days,spotify:track:5Iy2Jj87Ha0C0IBlNE1I4y,0.04,0.59,0.724,4.07e-05,0.142,-3.278,0.0439,127.059,0.526,71
58,The Days / Nights,2,0ct6r3EGTcMLPtrXHDvVjc,The Nights,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,0.0166,0.527,0.835,0.0,0.249,-5.298,0.0433,125.983,0.654,89
59,The Days / Nights,3,4eteOEGYlGM33q76CKdPom,The Days - Henrik B Remix,spotify:track:4eteOEGYlGM33q76CKdPom,0.0153,0.584,0.824,7.35e-06,0.097,-5.236,0.0446,126.964,0.542,50
60,The Days / Nights,4,6xNSaBtoPKlPhXsNT7ZwLd,The Nights - Felix Jaehn Remix,spotify:track:6xNSaBtoPKlPhXsNT7ZwLd,0.00769,0.672,0.834,2.16e-06,0.0586,-4.726,0.0305,123.054,0.511,58
61,True: Avicii By Avicii,1,3bMsT2EiXYKSUjc9uvIkI3,Wake Me Up - Avicii By Avicii,spotify:track:3bMsT2EiXYKSUjc9uvIkI3,0.00275,0.673,0.695,0.193,0.644,-5.598,0.0538,125.005,0.43,54
62,True: Avicii By Avicii,2,1pGnyWdri6sC7lHmYdX1TH,You Make Me - Avicii By Avicii,spotify:track:1pGnyWdri6sC7lHmYdX1TH,0.0435,0.648,0.936,0.00456,0.205,-4.99,0.0819,125.024,0.719,49
63,True: Avicii By Avicii,3,3h5vVpJ7RlYVWtOG0403bL,Hey Brother - Avicii By Avicii,spotify:track:3h5vVpJ7RlYVWtOG0403bL,0.0204,0.603,0.714,0.0888,0.233,-6.009,0.0558,124.994,0.265,44
64,True: Avicii By Avicii,4,3XfGM99TOeyPsnDtgTqtkT,Addicted To You - Avicii By Avicii,spotify:track:3XfGM99TOeyPsnDtgTqtkT,0.118,0.89,0.459,0.0127,0.0414,-5.453,0.0873,126.012,0.454,47
65,True: Avicii By Avicii,5,3V368AqKw3yoyEBwXWXW8s,Dear Boy - Avicii By Avicii,spotify:track:3V368AqKw3yoyEBwXWXW8s,0.0335,0.638,0.699,0.00627,0.0908,-4.277,0.0567,114.974,0.575,52
66,True: Avicii By Avicii,6,3HKV2TCxpAAlHQphu4cJD0,Liar Liar - Avicii By Avicii,spotify:track:3HKV2TCxpAAlHQphu4cJD0,0.00293,0.677,0.824,0.28,0.0278,-6.62,0.0597,127.985,0.334,45
67,True: Avicii By Avicii,7,3FHVgWirraiztByoWz0pD7,Shame On Me - Avicii By Avicii,spotify:track:3FHVgWirraiztByoWz0pD7,0.0542,0.611,0.844,0.00439,0.0483,-5.134,0.178,193.991,0.353,44
68,True: Avicii By Avicii,8,7wP8uxXoB9OctkMwmD52md,Lay Me Down - Avicii By Avicii,spotify:track:7wP8uxXoB9OctkMwmD52md,0.0032,0.752,0.494,0.00308,0.0667,-6.409,0.183,127.957,0.363,45
69,True: Avicii By Avicii,9,1jJudDuP9BhE6fQrdiLTQY,Hope There's Someone - Avicii By Avicii,spotify:track:1jJudDuP9BhE6fQrdiLTQY,0.0118,0.432,0.782,0.053,0.0894,-7.396,0.0536,125.148,0.0783,42
80,True (Bonus Edition),11,3JappCnNz99bzs48rZBBhX,Long Road To Hell,spotify:track:3JappCnNz99bzs48rZBBhX,0.0311,0.545,0.863,0.147,0.299,-7.069,0.0935,125.065,0.227,40
81,True (Bonus Edition),12,57fLRB67Bi4YhdOeR9UHVj,Always On The Run,spotify:track:57fLRB67Bi4YhdOeR9UHVj,0.0164,0.514,0.853,0.02,0.096,-4.733,0.0394,128.027,0.262,39
82,True (Bonus Edition),13,0XN65qybmkxjZt3gp90sWT,All You Need Is Love,spotify:track:0XN65qybmkxjZt3gp90sWT,0.0349,0.773,0.425,0.0249,0.0428,-4.838,0.0929,125.022,0.441,50
83,True (Bonus Edition),14,5ecp62jKwVwEkQFHuN6VNd,Canyons,spotify:track:5ecp62jKwVwEkQFHuN6VNd,0.0114,0.663,0.682,0.788,0.613,-5.895,0.0447,126.981,0.0574,40
84,True (Bonus Edition),15,3VSlbuMOlvfhlHJEcxxotL,EDOM,spotify:track:3VSlbuMOlvfhlHJEcxxotL,0.0397,0.696,0.391,0.614,0.109,-9.656,0.0516,127.999,0.231,34
99,True,15,5B03nSG8pLE48jh7kmasuL,Levels - Radio Edit,spotify:track:5B03nSG8pLE48jh7kmasuL,0.0484,0.579,0.887,0.828,0.294,-5.961,0.0334,126.041,0.472,46
100,True,1,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,spotify:track:0nrRP2bk19rLc0orkWPQk2,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,0.643,89
101,True,2,52RK8UVEDgUAgpecOpTQM3,You Make Me,spotify:track:52RK8UVEDgUAgpecOpTQM3,0.00247,0.586,0.727,0.0107,0.152,-4.799,0.039,124.99,0.496,69
102,True,3,4lhqb6JvbHId48OUJGwymk,Hey Brother,spotify:track:4lhqb6JvbHId48OUJGwymk,0.0309,0.545,0.78,4.64e-05,0.0828,-4.867,0.0436,125.014,0.458,82
103,True,4,4eDYMhIin1pSLIG96f1aD0,Addicted To You,spotify:track:4eDYMhIin1pSLIG96f1aD0,0.0505,0.569,0.785,1.12e-06,0.086,-4.057,0.0457,128.031,0.303,73
104,True,5,4yTeQK2XThWYeEW8D72XmU,Dear Boy,spotify:track:4yTeQK2XThWYeEW8D72XmU,0.000276,0.686,0.581,0.1,0.3,-5.911,0.112,124.995,0.253,59
105,True,6,0b4PmGxMzWWx7NMrLJwFRR,Liar Liar,spotify:track:0b4PmGxMzWWx7NMrLJwFRR,0.00949,0.553,0.789,0.00712,0.499,-4.584,0.058,124.937,0.392,56
106,True,7,13bHItq1R7F0k0mVZ4PUG8,Shame On Me,spotify:track:13bHItq1R7F0k0mVZ4PUG8,0.0518,0.723,0.843,0.0507,0.32,-6.724,0.139,125.982,0.42,52
107,True,8,6ekvzkGg31TOQhHIFEd55x,Lay Me Down,spotify:track:6ekvzkGg31TOQhHIFEd55x,0.00128,0.698,0.67,0.026,0.0596,-6.855,0.0819,124.956,0.744,55
108,True,9,6x2knRcsrzp9O9bmJjtY7V,Hope There's Someone,spotify:track:6x2knRcsrzp9O9bmJjtY7V,0.0131,0.403,0.718,0.00447,0.0801,-7.231,0.0449,125.017,0.0817,48
109,True,10,6BO5udfgxk73rgdlbwBQh8,Heart Upon My Sleeve,spotify:track:6BO5udfgxk73rgdlbwBQh8,0.0949,0.707,0.717,0.532,0.319,-7.872,0.0378,126.044,0.351,50
