,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Happier Than Ever,1,4HOryCnbme0zBnF8LWij3f,Getting Older,spotify:track:4HOryCnbme0zBnF8LWij3f,0.974,0.599,0.128,0.121,0.115,-17.261,0.109,159.679,0.367,78
1,Happier Than Ever,2,7bcy34fBT2ap1L4bfPsl9q,I Didn't Change My Number,spotify:track:7bcy34fBT2ap1L4bfPsl9q,0.612,0.849,0.48,0.269,0.295,-5.835,0.226,142.021,0.677,80
2,Happier Than Ever,3,2KnuaZYoGzDoHiBTNYOTXG,Billie Bossa Nova,spotify:track:2KnuaZYoGzDoHiBTNYOTXG,0.222,0.895,0.389,0.0346,0.105,-11.036,0.11,110.023,0.549,80
3,Happier Than Ever,4,3YUMWmx8EJq0DurfuIwoGh,my future,spotify:track:3YUMWmx8EJq0DurfuIwoGh,0.814,0.456,0.285,0.143,0.307,-10.755,0.0979,104.89,0.0809,75
4,Happier Than Ever,5,4t2OeILB07eMGTXSUbMPEu,Oxytocin,spotify:track:4t2OeILB07eMGTXSUbMPEu,0.0904,0.757,0.598,0.551,0.15,-7.777,0.058,124.951,0.18,77
5,Happier Than Ever,6,0FfqyjhB6Kspvit1oOo7ax,GOLDWING,spotify:track:0FfqyjhB6Kspvit1oOo7ax,0.755,0.654,0.303,0.159,0.0957,-13.943,0.126,160.095,0.168,75
6,Happier Than Ever,7,4191RXFPa7Ge9XkA4cWlna,Lost Cause,spotify:track:4191RXFPa7Ge9XkA4cWlna,0.702,0.526,0.334,0.00782,0.0586,-8.491,0.251,74.966,0.522,79
7,Happier Than Ever,8,5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,spotify:track:5XsAal7ZcWg1I5T4NcRjkv,0.961,0.403,0.159,0.0121,0.34,-16.728,0.104,72.38,0.0381,79
8,Happier Than Ever,9,4T2zre0jqstNJ5Gt0WG9lz,Not My Responsibility,spotify:track:4T2zre0jqstNJ5Gt0WG9lz,0.454,0.468,0.13,0.927,0.0819,-18.031,0.0571,115.039,0.0362,73
9,Happier Than Ever,10,5uSG6fUPRaehaV820zcpsK,OverHeated,spotify:track:5uSG6fUPRaehaV820zcpsK,0.527,0.777,0.522,0.838,0.0968,-12.496,0.0535,115.008,0.182,74
10,Happier Than Ever,11,5jhBwnqzNNrENXnYrAdoCe,Everybody Dies,spotify:track:5jhBwnqzNNrENXnYrAdoCe,0.928,0.275,0.155,0.176,0.0888,-17.285,0.0674,65.136,0.0588,74
11,Happier Than Ever,12,042Sl6Mn83JHyLEqdK7uI0,Your Power,spotify:track:042Sl6Mn83JHyLEqdK7uI0,0.932,0.632,0.284,0.000476,0.233,-14.025,0.0801,129.642,0.208,82
12,Happier Than Ever,13,38GBNKZUhfBkk3oNlWzRYd,NDA,spotify:track:38GBNKZUhfBkk3oNlWzRYd,0.341,0.765,0.373,0.525,0.112,-9.921,0.0713,85.016,0.554,82
13,Happier Than Ever,14,20R4HfKloPKgXDqU7UKk3x,Therefore I Am,spotify:track:20R4HfKloPKgXDqU7UKk3x,0.227,0.879,0.365,0.135,0.0583,-7.781,0.0924,94.016,0.663,77
14,Happier Than Ever,15,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,spotify:track:4RVwu0g32PAqgUiJoXsdF8,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,0.297,92
15,Happier Than Ever,16,4ak9GGe6afmi2HbxEjvhIC,Male Fantasy,spotify:track:4ak9GGe6afmi2HbxEjvhIC,0.863,0.687,0.288,0.0,0.0986,-10.415,0.045,110.927,0.308,78
32,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",1,0rQtoQXQfwpDW0c7Fw1NeM,!!!!!!!,spotify:track:0rQtoQXQfwpDW0c7Fw1NeM,0.768,0.0,0.278,0.0,0.669,-21.63,0.0,0.0,0.0,16
