,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,everything means nothing,1,6jRq8gaZhMUyy5RclRPcAf,hot girl bummer,spotify:track:6jRq8gaZhMUyy5RclRPcAf,0.125,0.782,0.559,0.0,0.385,-7.106,0.0767,129.992,0.685,87
1,everything means nothing,2,5tiZBnx5IvETA0Pj3gELjn,me & ur ghost,spotify:track:5tiZBnx5IvETA0Pj3gELjn,0.0488,0.742,0.679,0.0,0.0754,-4.594,0.0259,100.041,0.856,73
2,everything means nothing,3,1xyUCr7dIJYaUaaiDf4Q1L,queen of broken hearts,spotify:track:1xyUCr7dIJYaUaaiDf4Q1L,0.00663,0.717,0.712,0.0,0.0756,-6.098,0.0765,97.019,0.825,73
3,everything means nothing,4,1OkIpW255qLxswGyjgUL5x,I feel bad,spotify:track:1OkIpW255qLxswGyjgUL5x,0.0201,0.637,0.785,0.0,0.333,-3.382,0.0512,144.053,0.923,62
4,everything means nothing,5,6p19vVjC4Lge9VANZlG8gi,I feel 2 much,spotify:track:6p19vVjC4Lge9VANZlG8gi,0.408,0.612,0.544,0.0,0.0998,-7.279,0.0666,86.046,0.694,63
5,everything means nothing,6,7KRaFRqbUbqfelHwmWyXuS,I felt that,spotify:track:7KRaFRqbUbqfelHwmWyXuS,0.00836,0.692,0.727,1.07e-06,0.131,-5.58,0.0305,99.977,0.424,55
6,everything means nothing,7,64rdMeK4S6axnbekny7G2D,sobbing in cabo,spotify:track:64rdMeK4S6axnbekny7G2D,0.0193,0.596,0.794,1.4e-06,0.0997,-5.366,0.0338,97.0,0.246,55
7,everything means nothing,8,4epd3VXwxPItuOVN0aGsr6,clown (with Trevor Daniel),spotify:track:4epd3VXwxPItuOVN0aGsr6,0.12,0.709,0.774,0.0,0.208,-4.797,0.069,94.013,0.393,59
8,everything means nothing,9,1YcoZcEyuaOnQiZLK0cNta,half alive,spotify:track:1YcoZcEyuaOnQiZLK0cNta,0.0204,0.704,0.785,0.0,0.153,-3.588,0.0381,125.077,0.765,58
9,everything means nothing,10,2ttGfRawDPWlkAoXxP5Z72,if I were u (with Lauv),spotify:track:2ttGfRawDPWlkAoXxP5Z72,0.144,0.666,0.628,0.0,0.189,-5.613,0.0623,82.992,0.767,68
10,everything means nothing,11,0WHLAdmj06siT3xEB4gU5N,why are girls?,spotify:track:0WHLAdmj06siT3xEB4gU5N,0.16,0.685,0.783,0.0,0.182,-4.833,0.0779,101.134,0.804,53
11,everything means nothing,12,0rWMOzZ7fFYZWI1qlCY4Ig,smile again,spotify:track:0rWMOzZ7fFYZWI1qlCY4Ig,0.597,0.68,0.423,0.0,0.371,-6.279,0.0321,85.042,0.686,66
12,everything means nothing,1,7lu8ZYHhRpH4sgCMIibdKO,Hot Girl Bummer,spotify:track:7lu8ZYHhRpH4sgCMIibdKO,0.129,0.786,0.548,0.0,0.34,-7.068,0.078,129.99,0.687,54
24,ANONYMOUS,1,2LvfEzzDha03Pv1z7ESGY6,PINK ROLEX,spotify:track:2LvfEzzDha03Pv1z7ESGY6,0.255,0.651,0.609,0.0,0.452,-9.169,0.447,136.152,0.677,44
26,ANONYMOUS,3,1EWxMwevdmV9SkrNEfsJeZ,DRUG DEALER,spotify:track:1EWxMwevdmV9SkrNEfsJeZ,0.01,0.609,0.473,0.0,0.131,-8.627,0.113,78.975,0.173,41
27,ANONYMOUS,4,5M59ILk9SfcUWu0MNj5UwU,SWEAR TO GOD,spotify:track:5M59ILk9SfcUWu0MNj5UwU,0.499,0.782,0.495,0.0,0.116,-7.462,0.0424,130.958,0.601,57
28,ANONYMOUS,5,6OOTj2UtduuvtiL4X4MZDF,MAKE A MESS,spotify:track:6OOTj2UtduuvtiL4X4MZDF,0.00175,0.823,0.455,1.24e-06,0.0559,-7.839,0.0466,126.96,0.723,46
29,ANONYMOUS,6,3GZ2y6xONJAMMDst36vXr3,SICK OF IT ALL,spotify:track:3GZ2y6xONJAMMDst36vXr3,0.0446,0.744,0.661,1.03e-05,0.0678,-5.575,0.113,109.197,0.606,48
31,ANONYMOUS,8,46xWDVl5rB78OlcsDwkHa3,HIGH1X,spotify:track:46xWDVl5rB78OlcsDwkHa3,0.0671,0.848,0.384,0.0,0.0852,-8.492,0.0617,98.483,0.481,53
32,ANONYMOUS,9,2uDlSdlx7LFXuFuC7grL8g,DOWN,spotify:track:2uDlSdlx7LFXuFuC7grL8g,0.107,0.76,0.662,0.000427,0.084,-5.451,0.107,148.027,0.846,46
33,ANONYMOUS,10,6J4U2Tk6R6JJcvFyhzI6Vm,BURNT AF,spotify:track:6J4U2Tk6R6JJcvFyhzI6Vm,0.302,0.603,0.247,0.0,0.266,-12.615,0.0407,110.972,0.241,43
34,ANONYMOUS,11,73EsHhc08cXEArCla8FEqr,HEARTBROKEN,spotify:track:73EsHhc08cXEArCla8FEqr,0.0399,0.555,0.588,0.0,0.259,-7.004,0.33,139.887,0.419,54
36,ANONYMOUS,13,0b4kn0PraUzXr2renS2xhp,LOSING YOU,spotify:track:0b4kn0PraUzXr2renS2xhp,0.0654,0.475,0.39,0.00045,0.16,-11.344,0.063,143.88,0.0713,44
39,ANONYMOUS,16,4xQtVDfQDzZTFLFDCQYfxV,TOO CLOSE,spotify:track:4xQtVDfQDzZTFLFDCQYfxV,0.0765,0.91,0.517,8.48e-06,0.125,-5.819,0.194,143.047,0.745,45
61,ANONYMOUS,2,3M6gRDCudfKsT1mG13Tnmx,HATE MY GUTS,spotify:track:3M6gRDCudfKsT1mG13Tnmx,0.127,0.786,0.441,0.0,0.118,-7.937,0.429,95.757,0.682,52
66,ANONYMOUS,7,0756t20DVzM19dcF04qMjf,CHANGES,spotify:track:0756t20DVzM19dcF04qMjf,0.104,0.813,0.295,0.0,0.095,-8.343,0.0482,100.009,0.413,43
71,ANONYMOUS,12,6IczEOHGVd4jZ3QqN5cHc0,1 SIDED LOVE,spotify:track:6IczEOHGVd4jZ3QqN5cHc0,0.307,0.586,0.408,0.0,0.119,-7.98,0.029,90.028,0.275,61
73,ANONYMOUS,14,739Zx6DpfSn5nBULzas2aB,ITS ALL GONNA BURN,spotify:track:739Zx6DpfSn5nBULzas2aB,0.438,0.704,0.482,0.00108,0.134,-6.815,0.0268,96.956,0.196,39
74,ANONYMOUS,15,3Giy7Eu9rcjujf8Sw7RcvK,DEAD BALLOONS,spotify:track:3Giy7Eu9rcjujf8Sw7RcvK,0.0932,0.524,0.461,0.0,0.306,-8.64,0.093,156.54,0.466,39
76,ANONYMOUS,17,4C8yVZNQ6DWv2IA9dm4yeY,DEAD TO ME,spotify:track:4C8yVZNQ6DWv2IA9dm4yeY,0.0772,0.709,0.725,0.0,0.158,-5.545,0.0759,139.968,0.226,55
77,ANONYMOUS,18,0A8ANukqM93dJidWkO9PMB,NYLA,spotify:track:0A8ANukqM93dJidWkO9PMB,0.37,0.555,0.185,0.0,0.469,-11.521,0.0344,119.418,0.188,50
78,cybersex,1,6Sz7iJhiDlJTBTTKIO4oVf,gucci linen (feat. 2 Chainz),spotify:track:6Sz7iJhiDlJTBTTKIO4oVf,0.0453,0.835,0.684,0.0,0.287,-5.903,0.074,120.014,0.576,53
79,cybersex,2,7nachbrOxXI5sTUFlOAkca,bright pink tims (feat. Cam'ron),spotify:track:7nachbrOxXI5sTUFlOAkca,0.0449,0.759,0.641,0.0,0.676,-6.987,0.114,114.985,0.284,49
80,cybersex,3,64oWLmeRfpTwiuxthP7yCe,playboy shit (feat. Lil Aaron),spotify:track:64oWLmeRfpTwiuxthP7yCe,0.0847,0.656,0.741,0.0,0.111,-4.998,0.18,154.937,0.882,64
81,cybersex,4,3ZW87Wj98EqDCduX7OH4IO,e.z. (feat. Machine Gun Kelly),spotify:track:3ZW87Wj98EqDCduX7OH4IO,0.0356,0.793,0.531,1.02e-05,0.0905,-8.501,0.127,129.951,0.337,57
82,cybersex,5,4J2zCmydGtDFWmmAiNzImh,up in this (with Tinashe),spotify:track:4J2zCmydGtDFWmmAiNzImh,0.0528,0.731,0.697,0.0,0.128,-6.097,0.0665,128.009,0.488,51
83,cybersex,6,7AhlMDKQelsNkWvFeZvmtC,anxiety (with FRND),spotify:track:7AhlMDKQelsNkWvFeZvmtC,0.0291,0.652,0.715,0.0,0.156,-5.919,0.0388,97.981,0.617,65
84,cybersex,7,6cXmcur5Hu4gzI6wk24QRN,"thursday/froze over - ""interlude""",spotify:track:6cXmcur5Hu4gzI6wk24QRN,0.262,0.784,0.455,1.01e-06,0.119,-7.776,0.065,120.935,0.307,43
85,cybersex,8,56lpR8t6k2VCIYYwVVxnzD,I hope your whole life sux,spotify:track:56lpR8t6k2VCIYYwVVxnzD,0.27,0.708,0.644,0.0,0.0686,-5.862,0.195,133.925,0.699,54
86,cybersex,9,3wMQczkpe5xftuUqkc8dAu,down 4 u (feat. T-Pain),spotify:track:3wMQczkpe5xftuUqkc8dAu,0.231,0.767,0.696,0.0,0.228,-3.428,0.162,115.006,0.715,48
87,cybersex,10,1WtrCehjHjTwXgUZkIUvGj,glo_up (feat. Rick Ross),spotify:track:1WtrCehjHjTwXgUZkIUvGj,0.0527,0.714,0.644,0.0,0.111,-5.542,0.0827,128.987,0.217,40
88,cybersex,11,3EAmqB8YX7xJEoE7dB2V4N,top priority (with Ne-Yo),spotify:track:3EAmqB8YX7xJEoE7dB2V4N,0.229,0.851,0.599,0.0,0.0748,-4.863,0.056,103.939,0.821,42
