,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Funk Wav Bounces Vol.1,1,7tr2za8SQg2CI8EDgrdtNl,Slide (feat. Frank Ocean & Migos),spotify:track:7tr2za8SQg2CI8EDgrdtNl,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,0.511,73
1,Funk Wav Bounces Vol.1,2,0Ws8D3EWUDgY962Xftb0h5,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",spotify:track:0Ws8D3EWUDgY962Xftb0h5,0.152,0.722,0.79,0.0,0.0349,-4.867,0.241,94.965,0.434,59
2,Funk Wav Bounces Vol.1,3,60APt5N2NRaKWf5xzJdzyC,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",spotify:track:60APt5N2NRaKWf5xzJdzyC,0.34,0.784,0.728,0.0,0.222,-4.549,0.0539,110.165,0.713,61
3,Funk Wav Bounces Vol.1,4,0lMbuWUpfTWhEmOKxppEau,Rollin (feat. Future & Khalid),spotify:track:0lMbuWUpfTWhEmOKxppEau,0.446,0.753,0.76,3.13e-05,0.182,-4.518,0.0859,91.953,0.657,67
4,Funk Wav Bounces Vol.1,5,4KaIJ1FWXUoAAnOts1YWjD,Prayers Up (feat. Travis Scott & A-Trak),spotify:track:4KaIJ1FWXUoAAnOts1YWjD,0.433,0.821,0.637,0.0,0.209,-4.276,0.161,86.01,0.778,60
5,Funk Wav Bounces Vol.1,6,08Wc3X7XNSyF8WYBPt2L8E,"Holiday (feat. Snoop Dogg, John Legend & Takeoff)",spotify:track:08Wc3X7XNSyF8WYBPt2L8E,0.472,0.836,0.769,0.00157,0.0804,-2.334,0.0773,103.991,0.585,55
6,Funk Wav Bounces Vol.1,7,7iDxZ5Cd0Yg08d4fI5WVtG,Skrt On Me (feat. Nicki Minaj),spotify:track:7iDxZ5Cd0Yg08d4fI5WVtG,0.169,0.713,0.889,5.8e-05,0.169,-3.87,0.0376,101.977,0.96,53
7,Funk Wav Bounces Vol.1,8,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.0642,0.893,0.745,0.0,0.0943,-3.105,0.0571,101.018,0.872,81
8,Funk Wav Bounces Vol.1,9,0pJPdSVti6cTM1Q6xYGmcf,Faking It (feat. Kehlani & Lil Yachty),spotify:track:0pJPdSVti6cTM1Q6xYGmcf,0.319,0.776,0.589,0.0,0.0715,-4.543,0.115,120.034,0.668,65
9,Funk Wav Bounces Vol.1,10,6KdmNK9MogmGcnO3wNZHhp,Hard to Love (feat. Jessie Reyez),spotify:track:6KdmNK9MogmGcnO3wNZHhp,0.112,0.753,0.785,0.000191,0.0633,-6.53,0.174,148.015,0.85,56
50,Motion,16,4t0eN4mrL0Bz6riZV72UXb,Under Control (feat. Hurts) - Sunnery James and Ryan Marciano Mix,spotify:track:4t0eN4mrL0Bz6riZV72UXb,0.0145,0.518,0.747,0.751,0.117,-6.66,0.092,127.868,0.175,5
51,Motion,17,6wWm1tsyULvQCPwPu5Sw8n,Summer - R3hab & Ummet Ozcan Remix,spotify:track:6wWm1tsyULvQCPwPu5Sw8n,0.0238,0.687,0.917,0.242,0.388,-6.446,0.0657,128.021,0.161,8
52,Motion,1,0ZmkjefPVLvloVSgtmRu5M,Faith,spotify:track:0ZmkjefPVLvloVSgtmRu5M,0.235,0.623,0.957,3.25e-05,0.398,-2.675,0.0427,127.968,0.535,57
53,Motion,2,4J7CKHCF3mdL4diUsmW8lq,Under Control (feat. Hurts),spotify:track:4J7CKHCF3mdL4diUsmW8lq,0.129,0.544,0.915,0.000914,0.115,-3.405,0.0841,126.094,0.51,76
54,Motion,3,07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),spotify:track:07nH4ifBxUB4lZcsf44Brn,0.0287,0.414,0.857,0.00574,0.343,-4.078,0.0808,128.024,0.348,80
55,Motion,4,5vQctmBxi79lyQoc2DDAsP,Love Now (feat. All About She),spotify:track:5vQctmBxi79lyQoc2DDAsP,0.0207,0.733,0.674,0.173,0.0701,-4.441,0.0316,128.03,0.464,49
56,Motion,5,6GvXJZ8EQuUWzthpPFLr6f,Slow Acid,spotify:track:6GvXJZ8EQuUWzthpPFLr6f,0.545,0.664,0.935,0.855,0.176,-4.322,0.039,104.004,0.131,49
57,Motion,6,7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,0.213,0.646,0.823,0.0,0.322,-4.123,0.0394,128.035,0.418,83
58,Motion,7,57EMMRviFnUVwYgsHgAlA2,It Was You,spotify:track:57EMMRviFnUVwYgsHgAlA2,0.283,0.701,0.985,0.281,0.617,-4.325,0.0675,127.974,0.0388,46
59,Motion,8,6YUTL4dYpB9xZO5qExPf05,Summer,spotify:track:6YUTL4dYpB9xZO5qExPf05,0.0211,0.596,0.856,0.0178,0.141,-3.556,0.0346,127.949,0.743,86
60,Motion,9,07BCFbk1oCwf80lemfyzK6,Overdrive,spotify:track:07BCFbk1oCwf80lemfyzK6,0.0287,0.631,0.945,0.913,0.967,-3.674,0.04,127.983,0.4,47
61,Motion,10,4NH6M9tsx1dXL58zZTmTYE,Ecstasy (feat. Hurts),spotify:track:4NH6M9tsx1dXL58zZTmTYE,0.916,0.598,0.277,3.8e-06,0.0568,-6.723,0.0274,66.01,0.135,43
62,Motion,11,75kMrDKPJJpgEQaXVh7QMB,Pray to God (feat. HAIM),spotify:track:75kMrDKPJJpgEQaXVh7QMB,0.015,0.606,0.949,2.76e-05,0.109,-2.749,0.0414,120.031,0.436,66
63,Motion,12,64j3Bd62HTe0pclk8Aq9BE,Open Wide (feat. Big Sean),spotify:track:64j3Bd62HTe0pclk8Aq9BE,0.0698,0.76,0.943,0.0,0.525,-2.703,0.0363,127.976,0.686,62
64,Motion,13,0otmDG441slQ7QYZUPgBcM,Together (feat. Gwen Stefani),spotify:track:0otmDG441slQ7QYZUPgBcM,0.145,0.731,0.869,0.000185,0.116,-2.634,0.0409,127.971,0.789,49
65,Motion,14,5lByoyTJti3jYo22bLQKOH,Burnin,spotify:track:5lByoyTJti3jYo22bLQKOH,0.00205,0.643,0.997,0.672,0.659,-1.656,0.0483,128.004,0.555,54
66,Motion,15,7sUrtg1AYRyrDECLqq6no9,Dollar Signs (feat. Tinashe),spotify:track:7sUrtg1AYRyrDECLqq6no9,0.367,0.755,0.897,0.00215,0.358,-2.269,0.0329,128.0,0.729,47
79,18 Months,13,5oSd4NhEErsqe7d7r7g99F,Let's Go (feat. Ne-Yo) - Radio Edit,spotify:track:5oSd4NhEErsqe7d7r7g99F,0.00656,0.673,0.906,0.000404,0.231,-2.591,0.0616,128.031,0.726,27
85,18 Months,4,2DqpkxF6w92a1mDwWNCNNd,We Found Love (feat. Rihanna),spotify:track:2DqpkxF6w92a1mDwWNCNNd,0.0227,0.735,0.773,0.00222,0.0778,-4.815,0.0395,127.987,0.592,0
116,18 Months,16,1SabVx3n704ITHMBksNwOp,Bounce (feat. Kelis) - R3hab Remix,spotify:track:1SabVx3n704ITHMBksNwOp,0.000677,0.898,0.78,0.839,0.241,-5.166,0.26,127.996,0.449,5
117,18 Months,17,5GkYhoZMVBVu6Pz0s7SQOu,Feel So Close - Benny Benassi Remix,spotify:track:5GkYhoZMVBVu6Pz0s7SQOu,0.0345,0.66,0.6,3.69e-05,0.0908,-3.439,0.055,127.959,0.168,4
118,18 Months,18,1mK8Fga7suyTXyj5lJtFjQ,We'll Be Coming Back (feat. Example) - Michael Woods Remix,spotify:track:1mK8Fga7suyTXyj5lJtFjQ,0.012,0.699,0.956,0.0494,0.668,-5.585,0.169,128.026,0.188,6
119,18 Months,19,4uLi6GJzkYxPuJqZu4Vvxm,Sweet Nothing (feat. Florence Welch) - Tiësto Remix,spotify:track:4uLi6GJzkYxPuJqZu4Vvxm,0.0101,0.663,0.614,0.179,0.0764,-7.422,0.302,127.986,0.397,10
120,18 Months,1,6BsumGMsXC0KCLE5rf4FEd,18 Months - Continuous Mix,spotify:track:6BsumGMsXC0KCLE5rf4FEd,0.00397,0.644,0.877,0.0069,0.0988,-3.629,0.0501,127.938,0.403,0
121,18 Months,1,6G0RXhQJGDnjgUdbQfBZRk,Green Valley,spotify:track:6G0RXhQJGDnjgUdbQfBZRk,0.439,0.483,0.494,0.535,0.0756,-8.922,0.0509,160.054,0.226,41
122,18 Months,2,36cmM3MBMWWCFIiQ90U4J8,Bounce (feat. Kelis) - Radio Edit,spotify:track:36cmM3MBMWWCFIiQ90U4J8,0.0334,0.779,0.963,0.493,0.664,-2.125,0.0399,127.941,0.759,67
123,18 Months,3,1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,spotify:track:1gihuPhrLraKYrJMAEONyc,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,127.937,0.919,84
125,18 Months,5,7B1Dl3tXqySkB8OPEwVvSu,We'll Be Coming Back (feat. Example),spotify:track:7B1Dl3tXqySkB8OPEwVvSu,0.00131,0.596,0.952,0.0,0.598,-4.364,0.0873,127.945,0.571,67
