album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
CALM,1,288li8gcr0oOAHDwAERZHS,Red Desert,spotify:track:288li8gcr0oOAHDwAERZHS,0.0205,0.501,0.83,2.52E-06,0.0563,-4.474,0.118,133.927,0.449,66,5 Seconds 0f Summer
CALM,2,5EbidH3lGB30WuDsoR4km6,No Shame,spotify:track:5EbidH3lGB30WuDsoR4km6,0.0185,0.576,0.807,2.40E-06,0.0963,-3.019,0.0374,90.932,0.479,66,5 Seconds 0f Summer
CALM,3,58qO4dGa5SgNdtvqvpewyz,Old Me,spotify:track:58qO4dGa5SgNdtvqvpewyz,0.313,0.722,0.62,0,0.26,-3.639,0.0483,127.978,0.474,70,5 Seconds 0f Summer
CALM,4,2bjUEg4jBtKBlPdNrTAppI,Easier,spotify:track:2bjUEg4jBtKBlPdNrTAppI,0.476,0.562,0.46,0,0.107,-4.173,0.259,176.055,0.623,74,5 Seconds 0f Summer
CALM,6,6qlcjGJPTZEwR8nf2nSe9C,Wildflower,spotify:track:6qlcjGJPTZEwR8nf2nSe9C,0.174,0.644,0.768,0,0.469,-4.316,0.0455,108.992,0.598,68,5 Seconds 0f Summer
CALM,7,6LHDP5yKHUIQxeml0YKUQy,Best Years,spotify:track:6LHDP5yKHUIQxeml0YKUQy,0.314,0.295,0.722,0,0.121,-4.375,0.0425,173.372,0.458,66,5 Seconds 0f Summer
CALM,8,4vFQ269uWJUjUKoffU0qUn,Not In The Same Way,spotify:track:4vFQ269uWJUjUKoffU0qUn,0.185,0.687,0.67,0,0.104,-3.331,0.0444,134.975,0.735,65,5 Seconds 0f Summer
CALM,9,1hUPOCqOukEl03lOs16DtN,Lover Of Mine,spotify:track:1hUPOCqOukEl03lOs16DtN,0.194,0.545,0.858,0,0.151,-2.536,0.0406,94.041,0.323,70,5 Seconds 0f Summer
CALM,10,4t4OlapTFToGpFKOldh5S2,Thin White Lies,spotify:track:4t4OlapTFToGpFKOldh5S2,0.016,0.557,0.858,0,0.0885,-3.115,0.0357,149.969,0.61,63,5 Seconds 0f Summer
CALM,11,1MAXdOA4Dtz6eJMz0nEq2H,Lonely Heart,spotify:track:1MAXdOA4Dtz6eJMz0nEq2H,0.043,0.592,0.713,0,0.157,-5.566,0.0512,126.088,0.261,64,5 Seconds 0f Summer
CALM,12,3uegDoaCj8IcNAaW3AoZUX,High,spotify:track:3uegDoaCj8IcNAaW3AoZUX,0.784,0.47,0.585,0,0.155,-3.051,0.0391,169.614,0.597,64,5 Seconds 0f Summer
CALM,13,58obITYpGOduWc109gWitx,Kill My Time,spotify:track:58obITYpGOduWc109gWitx,0.0132,0.496,0.95,2.74E-05,0.134,-3.602,0.297,178.946,0.382,58,5 Seconds 0f Summer
13 Reasons Why (Season 3),1,26wLOs3ZuHJa2Ihhx6QIE6,Teeth,spotify:track:26wLOs3ZuHJa2Ihhx6QIE6,0.0516,0.749,0.461,6.24E-06,0.0738,-2.961,0.0416,139.02,0.42,82,5 Seconds 0f Summer
13 Reasons Why (Season 3),2,34QLRZoPtOh7B5kcklyYAJ,Die A Little,spotify:track:34QLRZoPtOh7B5kcklyYAJ,0.0907,0.532,0.729,0,0.195,-5.272,0.0892,149.995,0.267,59,5 Seconds 0f Summer
13 Reasons Why (Season 3),3,7elRvorDP9KEOHIisFgrJG,"fuck, i'm lonely (with Anne-Marie)",spotify:track:7elRvorDP9KEOHIisFgrJG,0.475,0.804,0.567,0,0.0679,-6.445,0.0698,95.002,0.695,47,5 Seconds 0f Summer
13 Reasons Why (Season 3),4,3pibxmWT0fnygXqhYoI7es,Severed,spotify:track:3pibxmWT0fnygXqhYoI7es,0.00256,0.601,0.745,0.0109,0.124,-7.452,0.0338,135.999,0.439,0,5 Seconds 0f Summer
13 Reasons Why (Season 3),5,7CfIX8LSukzEHvbV82WDWz,Swim Home,spotify:track:7CfIX8LSukzEHvbV82WDWz,0.45,0.618,0.555,0.000958,0.181,-10.268,0.0359,133.941,0.397,41,5 Seconds 0f Summer
13 Reasons Why (Season 3),6,0ueS6n76IFjonyIbbmrL5F,Another Summer Night Without You,spotify:track:0ueS6n76IFjonyIbbmrL5F,0.408,0.529,0.608,0.000137,0.135,-7.348,0.104,176.218,0.146,46,5 Seconds 0f Summer
13 Reasons Why (Season 3),7,764YDnFgsAFrqJgDwiY84V,Miss U,spotify:track:764YDnFgsAFrqJgDwiY84V,0.317,0.645,0.65,4.20E-06,0.14,-4.111,0.0614,158.064,0.599,44,5 Seconds 0f Summer
13 Reasons Why (Season 3),8,18ZjYJcgFWiBhnvFzh5m3N,Favorite Drug,spotify:track:18ZjYJcgFWiBhnvFzh5m3N,0.278,0.737,0.721,1.24E-05,0.0919,-5.458,0.0541,100.038,0.353,48,5 Seconds 0f Summer
13 Reasons Why (Season 3),9,3R73KpLHE2UEQZPYcqJh9U,Keeping It In The Dark,spotify:track:3R73KpLHE2UEQZPYcqJh9U,0.0154,0.547,0.756,0,0.13,-6.238,0.321,186.06,0.371,41,5 Seconds 0f Summer
13 Reasons Why (Season 3),10,3Axav61Nuw5UzQ1CWORDt5,Young Forever,spotify:track:3Axav61Nuw5UzQ1CWORDt5,0.0477,0.529,0.846,0.000287,0.11,-5.301,0.0363,96.983,0.475,0,5 Seconds 0f Summer
13 Reasons Why (Season 3),11,7kXzYIaxSVEohvBnmJB6c6,All That (feat. Jeremih),spotify:track:7kXzYIaxSVEohvBnmJB6c6,0.451,0.784,0.787,0,0.155,-3.522,0.0416,130.019,0.484,37,5 Seconds 0f Summer
13 Reasons Why (Season 3),12,2K6BbXPV4sePRTdyhtc80k,This Baby Don’t Cry,spotify:track:2K6BbXPV4sePRTdyhtc80k,0.0165,0.88,0.776,0.0316,0.111,-6.51,0.0643,150.025,0.925,38,5 Seconds 0f Summer
13 Reasons Why (Season 3),13,5xyoMBUkqRGq3HMUoTOoOl,Walk Forever By My Side,spotify:track:5xyoMBUkqRGq3HMUoTOoOl,0.437,0.61,0.495,0.288,0.102,-11.473,0.0277,147.997,0.196,37,5 Seconds 0f Summer
13 Reasons Why (Season 3),14,63Ci0OuDiA9knbD1J1MyCI,SLAVES OF FEAR,spotify:track:63Ci0OuDiA9knbD1J1MyCI,0.00296,0.412,0.532,0.44,0.111,-9.936,0.0365,128.003,0.049,0,5 Seconds 0f Summer
