album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
B4 AVA,1,7uLFOXgLrS90tEYPO1DGXy,Man in the Mirror,spotify:track:7uLFOXgLrS90tEYPO1DGXy,0.171,0.849,0.631,0,0.149,-4.241,0.0637,135.997,0.55,82,A Boogie Wit Da Hoodie
B4 AVA,2,3CUqjIsPPuncCJFIydwq5a,Glasses,spotify:track:3CUqjIsPPuncCJFIydwq5a,0.249,0.624,0.602,0,0.103,-6.571,0.23,100.197,0.63,68,A Boogie Wit Da Hoodie
B4 AVA,3,6NxOrfF4XvNsSpp7G56KzF,Girls Go Down,spotify:track:6NxOrfF4XvNsSpp7G56KzF,0.00995,0.796,0.67,2.22E-06,0.128,-6.465,0.107,139.987,0.343,62,A Boogie Wit Da Hoodie
B4 AVA,4,1ug52CZX2B0VdnFtNKS1gH,Making You Cry,spotify:track:1ug52CZX2B0VdnFtNKS1gH,0.563,0.404,0.451,0,0.105,-9.499,0.339,76.513,0.141,63,A Boogie Wit Da Hoodie
B4 AVA,5,3PMX3IVMy3JcVgGgp9LbPt,Notifications,spotify:track:3PMX3IVMy3JcVgGgp9LbPt,0.522,0.553,0.679,0,0.111,-4.055,0.365,100.854,0.76,66,A Boogie Wit Da Hoodie
B4 AVA,6,35uYYHfPcA5zcl8IeVXxOb,Be Free,spotify:track:35uYYHfPcA5zcl8IeVXxOb,0.0199,0.634,0.512,0,0.115,-7.123,0.117,126.961,0.264,68,A Boogie Wit Da Hoodie
B4 AVA,7,4O7FYAjDATiyylfIIAuRNE,24 Hours (feat. Lil Durk) [Bonus],spotify:track:4O7FYAjDATiyylfIIAuRNE,0.334,0.586,0.474,0,0.118,-9.21,0.18,91.105,0.146,66,A Boogie Wit Da Hoodie
Artist 2.0 (Deluxe),1,43KDvvVHjDBtx8qD5hs5qH,It's Crazy (feat. Melody),spotify:track:43KDvvVHjDBtx8qD5hs5qH,0.846,0.505,0.515,0.000298,0.329,-7.096,0.0354,110.307,0.608,61,A Boogie Wit Da Hoodie
Artist 2.0 (Deluxe),2,5XzombolzpiaOSTdj1W0VS,Bleed,spotify:track:5XzombolzpiaOSTdj1W0VS,0.135,0.698,0.572,0,0.154,-7.735,0.198,71.446,0.391,65,A Boogie Wit Da Hoodie
Artist 2.0 (Deluxe),3,018wmZ0pX7ln1gwej5CZqm,Till The Wheels Fall Off,spotify:track:018wmZ0pX7ln1gwej5CZqm,0.223,0.525,0.504,0,0.114,-7.663,0.179,148.816,0.134,54,A Boogie Wit Da Hoodie
Artist 2.0 (Deluxe),4,4GPwhZmu8N3CyVcJZ6j5PG,7 Mac 11's,spotify:track:4GPwhZmu8N3CyVcJZ6j5PG,0.221,0.789,0.528,0,0.123,-7.698,0.314,137.987,0.516,54,A Boogie Wit Da Hoodie
Artist 2.0 (Deluxe),5,2xB46Bj9HZ4cr058yN4Pla,Secrets,spotify:track:2xB46Bj9HZ4cr058yN4Pla,0.118,0.539,0.648,0,0.362,-6.008,0.0619,91.066,0.403,64,A Boogie Wit Da Hoodie
