album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
POWER UP,1,4JDjZ2AzlHnde5uUy0TveV,Realize,spotify:track:4JDjZ2AzlHnde5uUy0TveV,3.78E-06,0.455,0.79,0.00021,0.0866,-4.049,0.0432,125.964,0.22,63,AC/DC
POWER UP,2,4gLrfXB3CgRlIPH7KTVKA4,Rejection,spotify:track:4gLrfXB3CgRlIPH7KTVKA4,1.74E-05,0.526,0.871,0.000142,0.0573,-4.132,0.032,109.82,0.745,56,AC/DC
POWER UP,3,0sfdiwck2xr4PteGOdyOfz,Shot In The Dark,spotify:track:0sfdiwck2xr4PteGOdyOfz,2.07E-05,0.599,0.787,5.27E-05,0.064,-4.708,0.0338,114.065,0.822,67,AC/DC
POWER UP,4,3FR2w9O5i9q3unY3gyjq6E,Through The Mists Of Time,spotify:track:3FR2w9O5i9q3unY3gyjq6E,1.62E-06,0.57,0.753,0.627,0.133,-5.98,0.0365,119.99,0.477,56,AC/DC
POWER UP,5,0Kq6RzOqkHxnfiA9OGqReU,Kick You When You're Down,spotify:track:0Kq6RzOqkHxnfiA9OGqReU,8.32E-05,0.675,0.93,0.000454,0.315,-4.515,0.0319,110.013,0.778,57,AC/DC
POWER UP,6,06hy0gi5aLXcWRjnj9fgoh,Witch's Spell,spotify:track:06hy0gi5aLXcWRjnj9fgoh,0.000165,0.616,0.801,3.97E-05,0.11,-4.39,0.0342,120.029,0.4,61,AC/DC
POWER UP,7,6jtUOVRO4p09Z7E35ERRL7,Demon Fire,spotify:track:6jtUOVRO4p09Z7E35ERRL7,4.93E-06,0.521,0.881,0.0114,0.141,-5.309,0.0387,160.026,0.564,64,AC/DC
POWER UP,8,1ZyQEn0iceHj0Lbt6I6Op3,Wild Reputation,spotify:track:1ZyQEn0iceHj0Lbt6I6Op3,0.00012,0.737,0.709,0.00294,0.199,-5.744,0.0337,108.016,0.839,52,AC/DC
POWER UP,9,3fKXS93P7YOS4xEUnWzkUz,No Man's Land,spotify:track:3fKXS93P7YOS4xEUnWzkUz,0.000459,0.49,0.905,0.00934,0.202,-4.488,0.03,94.988,0.537,51,AC/DC
POWER UP,10,1uhPCuhxeC9wEYl7smMByK,Systems Down,spotify:track:1uhPCuhxeC9wEYl7smMByK,1.90E-05,0.649,0.849,0.0852,0.0949,-4.502,0.0326,116.009,0.864,52,AC/DC
POWER UP,11,0l3jBCAEdeLR9OgQqES9CI,Money Shot,spotify:track:0l3jBCAEdeLR9OgQqES9CI,0.00038,0.628,0.83,2.53E-05,0.0982,-4.752,0.0626,120.004,0.767,52,AC/DC
POWER UP,12,1nuPjx9gZH0aHZt8Q5Njx6,Code Red,spotify:track:1nuPjx9gZH0aHZt8Q5Njx6,0.000123,0.549,0.731,1.28E-05,0.0655,-5.617,0.035,86.239,0.622,54,AC/DC
Rock or Bust,1,2vyae4DvSU2gs8OMOGwXF2,Rock or Bust,spotify:track:2vyae4DvSU2gs8OMOGwXF2,7.13E-05,0.572,0.825,0.000134,0.134,-3.977,0.04,98.057,0.56,65,AC/DC
Rock or Bust,2,3fpzBeEHvuXKOl7QeVe1iz,Play Ball,spotify:track:3fpzBeEHvuXKOl7QeVe1iz,6.71E-06,0.52,0.872,0.246,0.207,-4.354,0.0383,120.006,0.449,54,AC/DC
Rock or Bust,3,5xGHeN58fFOcORW0pRZznn,Rock the Blues Away,spotify:track:5xGHeN58fFOcORW0pRZznn,0.000131,0.537,0.88,0.00531,0.135,-4.902,0.0353,120.976,0.37,52,AC/DC
Rock or Bust,4,4WpGOn71DcfB9zMvnN9mLl,Miss Adventure,spotify:track:4WpGOn71DcfB9zMvnN9mLl,1.09E-05,0.51,0.896,0.000771,0.0826,-3.585,0.0624,120.134,0.652,46,AC/DC
Rock or Bust,5,2eSsmjwzDB9JTGvn2ZPLE9,Dogs of War,spotify:track:2eSsmjwzDB9JTGvn2ZPLE9,4.71E-05,0.502,0.816,0.0217,0.302,-4.562,0.0329,99.372,0.475,51,AC/DC
Rock or Bust,6,5CqTorhnA1GUNh1Z8PnGiS,Got Some Rock & Roll Thunder,spotify:track:5CqTorhnA1GUNh1Z8PnGiS,0.000157,0.626,0.833,0.000717,0.0608,-4.352,0.0285,107.572,0.863,48,AC/DC
Rock or Bust,7,5aoTIWdzgcjGo3SdjxqWSf,Hard Times,spotify:track:5aoTIWdzgcjGo3SdjxqWSf,5.64E-05,0.57,0.758,0.0304,0.448,-4.362,0.036,93.095,0.451,58,AC/DC
Rock or Bust,8,1ULNWGJD3skjg0jWjhCFHc,Baptism By Fire,spotify:track:1ULNWGJD3skjg0jWjhCFHc,4.67E-06,0.457,0.93,0.197,0.174,-4.203,0.0588,150.188,0.674,58,AC/DC
Rock or Bust,9,57NrsUX4Ix819R67iiwcos,Rock the House,spotify:track:57NrsUX4Ix819R67iiwcos,4.94E-05,0.448,0.94,3.13E-05,0.0975,-3.52,0.0516,91.212,0.593,48,AC/DC
Rock or Bust,10,7qnCJHj5rzdKzQKkQmrlad,Sweet Candy,spotify:track:7qnCJHj5rzdKzQKkQmrlad,6.25E-06,0.449,0.847,0.032,0.133,-4.31,0.0463,192.149,0.654,46,AC/DC
Rock or Bust,11,1v2dqCvCUf2TmxtbKXvLFN,Emission Control,spotify:track:1v2dqCvCUf2TmxtbKXvLFN,0.000104,0.409,0.858,0.135,0.212,-4.644,0.0393,168.955,0.628,46,AC/DC
Live at River Plate,1,2hzg8fX8NGSK4loyJbNLr1,"Rock N Roll Train - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:2hzg8fX8NGSK4loyJbNLr1,0.000379,0.461,0.965,2.17E-05,0.931,-5.087,0.067,125.742,0.432,52,AC/DC
Live at River Plate,2,5x1wkgdotvZwgmgscxFWcz,"Hell Ain't a Bad Place to Be - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:5x1wkgdotvZwgmgscxFWcz,0.000918,0.361,0.954,0,0.977,-4.608,0.0772,129.602,0.375,51,AC/DC
Live at River Plate,3,7JLqofLzcpdjFHc6oRSBGf,"Back In Black - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:7JLqofLzcpdjFHc6oRSBGf,0.000593,0.324,0.95,1.28E-06,0.987,-4.553,0.0774,92.703,0.511,54,AC/DC
Live at River Plate,4,4eJTrppVPYaf4RTVhFoLiV,"Big Jack - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:4eJTrppVPYaf4RTVhFoLiV,0.000912,0.474,0.974,0,0.989,-4.566,0.0635,130.935,0.421,47,AC/DC
Live at River Plate,5,0q3cKVAjGC0NqmkcEcQDy8,"Dirty Deeds Done Dirt Cheap - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:0q3cKVAjGC0NqmkcEcQDy8,0.000979,0.277,0.934,1.92E-05,0.972,-4.788,0.118,140.06,0.416,51,AC/DC
Live at River Plate,6,6q7XBzRnDqSXggczzNgSbE,"Shot Down in Flames - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:6q7XBzRnDqSXggczzNgSbE,8.26E-05,0.378,0.965,3.09E-06,0.968,-4.126,0.0818,135.138,0.414,47,AC/DC
Live at River Plate,7,7eHlRQ5acXEIMdGAKe00fO,"Thunderstruck - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:7eHlRQ5acXEIMdGAKe00fO,0.000842,0.315,0.982,3.48E-05,0.982,-4.872,0.109,130.095,0.327,57,AC/DC
Live at River Plate,8,0YhEKbKui5CB39vlvUzpkm,"Black Ice - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:0YhEKbKui5CB39vlvUzpkm,0.000141,0.319,0.958,0.000457,0.994,-5.557,0.0513,92.956,0.528,46,AC/DC
Live at River Plate,9,7DXTI7oKuIr06wNQ7WVmjV,"The Jack - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:7DXTI7oKuIr06wNQ7WVmjV,0.00644,0.34,0.937,0.00148,0.965,-6.017,0.116,73.837,0.263,46,AC/DC
Live at River Plate,10,6ZIM0F8bSeI2OH6n3sJByc,"Hells Bells - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:6ZIM0F8bSeI2OH6n3sJByc,0.000227,0.297,0.923,7.71E-06,0.954,-5.054,0.0577,117.026,0.247,51,AC/DC
Live at River Plate,1,3C4D0HOQdvc4AWhMeW4fFt,"Shoot to Thrill - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:3C4D0HOQdvc4AWhMeW4fFt,0.000698,0.309,0.973,7.64E-06,0.991,-5.045,0.124,139.89,0.222,50,AC/DC
Live at River Plate,2,26xgWDWwV01L1f3jV1Fu3D,"War Machine - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:26xgWDWwV01L1f3jV1Fu3D,0.000505,0.527,0.951,4.18E-06,0.963,-5.805,0.085,130.996,0.562,44,AC/DC
Live at River Plate,3,1hBoa6sbaicdHqQY3a9xWF,"Dog Eat Dog - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:1hBoa6sbaicdHqQY3a9xWF,0.00128,0.423,0.921,0.0135,0.921,-6.108,0.117,138.441,0.183,43,AC/DC
Live at River Plate,4,778MsQxm8FaGUpZH6jttfr,"You Shook Me All Night Long - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:778MsQxm8FaGUpZH6jttfr,0.00172,0.404,0.966,0,0.752,-4.83,0.0863,129.914,0.622,54,AC/DC
Live at River Plate,5,5q7dkO4CQpC3INAvMx55wT,"T.N.T. - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:5q7dkO4CQpC3INAvMx55wT,0.000956,0.322,0.97,5.97E-05,0.977,-4.654,0.166,130.349,0.284,53,AC/DC
Live at River Plate,6,6bZQwL1KmpE3y4TH3jIVgr,"Whole Lotta Rosie - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:6bZQwL1KmpE3y4TH3jIVgr,6.13E-05,0.179,0.968,3.27E-05,0.948,-4.46,0.0948,150.944,0.256,48,AC/DC
Live at River Plate,7,2q0FeOVtIivDv9WWzvPH6J,"Let There Be Rock - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",spotify:track:2q0FeOVtIivDv9WWzvPH6J,0.00166,0.249,0.99,0.42,0.556,-5.06,0.178,111.927,0.0621,46,AC/DC
