album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
30,1,13CVSGLSFl4UxpDVR6u3dq,Strangers By Nature,spotify:track:13CVSGLSFl4UxpDVR6u3dq,0.798,0.387,0.253,0.000159,0.0848,-8.901,0.0336,68.004,0.134,75,Adele
30,2,46IZ0fSY2mpAiktS3KOqds,Easy On Me,spotify:track:46IZ0fSY2mpAiktS3KOqds,0.578,0.604,0.366,0,0.133,-7.519,0.0282,141.981,0.13,91,Adele
30,3,2DuPBbS5mIldXnh7Wum8Cy,My Little Love,spotify:track:2DuPBbS5mIldXnh7Wum8Cy,0.829,0.339,0.492,0.00377,0.147,-10.661,0.0559,151.865,0.102,79,Adele
30,4,09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,spotify:track:09u787BYeYIGd2mFIJ505t,0.523,0.756,0.713,3.35E-06,0.248,-6.917,0.102,125.064,0.59,75,Adele
30,5,3Kkjo3cT83cw09VJyrLNwX,Oh My God,spotify:track:3Kkjo3cT83cw09VJyrLNwX,0.091,0.534,0.725,0,0.0264,-3.906,0.046,88.098,0.55,92,Adele
30,6,6w8ZPYdnGajyfPddTWdthN,Can I Get It,spotify:track:6w8ZPYdnGajyfPddTWdthN,0.0171,0.703,0.68,0,0.178,-6.118,0.0431,97.985,0.536,83,Adele
30,7,6v0UJD4a2FtleHeSYVX02A,I Drink Wine,spotify:track:6v0UJD4a2FtleHeSYVX02A,0.697,0.437,0.565,0,0.119,-5.596,0.0466,115.389,0.306,83,Adele
30,8,496vIKS2INz840xZaKncvR,All Night Parking (with Erroll Garner) Interlude,spotify:track:496vIKS2INz840xZaKncvR,0.67,0.734,0.497,2.35E-05,0.194,-9.666,0.166,127.989,0.307,76,Adele
30,9,2c6xRsQBv7pynuhYhWoHxo,Woman Like Me,spotify:track:2c6xRsQBv7pynuhYhWoHxo,0.749,0.594,0.37,3.20E-05,0.132,-10.561,0.173,145.601,0.329,74,Adele
30,10,6bGMSP3H9YqkmaLnaJTIoF,Hold On,spotify:track:6bGMSP3H9YqkmaLnaJTIoF,0.858,0.366,0.364,1.15E-05,0.165,-7.814,0.0433,165.902,0.459,76,Adele
30,11,10ImcQk9tihY1EKMDIbvXJ,To Be Loved,spotify:track:10ImcQk9tihY1EKMDIbvXJ,0.843,0.356,0.176,0,0.231,-8.291,0.0391,170.425,0.289,78,Adele
30,12,2j3GxEsbNYNeEzz86wDY4J,Love Is A Game,spotify:track:2j3GxEsbNYNeEzz86wDY4J,0.453,0.269,0.591,0.000695,0.0702,-5.79,0.0416,183.793,0.228,75,Adele
25,1,1Yk0cQdMLx5RzzFTYwmuld,Hello,spotify:track:1Yk0cQdMLx5RzzFTYwmuld,0.33,0.578,0.43,0,0.0854,-6.134,0.0305,78.991,0.288,79,Adele
25,3,6NdG17SJBXKJeYS67f7E74,I Miss You,spotify:track:6NdG17SJBXKJeYS67f7E74,0.00982,0.382,0.578,1.44E-05,0.433,-4.246,0.047,113.072,0.156,65,Adele
25,4,6O5TrlFWTYvznd9fMC0VvU,When We Were Young,spotify:track:6O5TrlFWTYvznd9fMC0VvU,0.303,0.376,0.595,0,0.095,-5.936,0.0496,144.361,0.265,82,Adele
