album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Press Play,1,7ceWpqh2FaUnRQmM9ys4es,Bringin It Back,spotify:track:7ceWpqh2FaUnRQmM9ys4es,0.00211,0.743,0.933,0.353,0.122,-3.244,0.048,128.007,0.459,35,Afrojack
Press Play,2,5EKrRd1ZkvbjuA5ym77eoB,Let It Rip,spotify:track:5EKrRd1ZkvbjuA5ym77eoB,0.047,0.781,0.932,0,0.0792,-3.435,0.259,124.98,0.567,29,Afrojack
Press Play,3,1LLqkSV5cNrfZXnxXI2xhx,Step Back,spotify:track:1LLqkSV5cNrfZXnxXI2xhx,0.000978,0.658,0.963,0.585,0.243,-3.804,0.107,127.953,0.188,31,Afrojack
Press Play,4,2MFrcHl0uJmgWlzA6jr5iT,Own Game,spotify:track:2MFrcHl0uJmgWlzA6jr5iT,0.0102,0.658,0.957,0.513,0.37,-3.927,0.0477,128.01,0.0719,36,Afrojack
Press Play,5,5dLZrsPVqQKvuyLmsJqEAB,Another Level,spotify:track:5dLZrsPVqQKvuyLmsJqEAB,0.0481,0.683,0.891,0.0177,0.327,-4.477,0.114,128.023,0.443,34,Afrojack
Press Play,6,1bRcmDdRraool30RCl8dmU,When You're Gone,spotify:track:1bRcmDdRraool30RCl8dmU,0.025,0.587,0.958,0.0193,0.285,-4.897,0.044,127.97,0.253,28,Afrojack
Press Play,7,6W2nxxERQlWvRCCHdhKYww,One More Day - Nicky Romero Remix,spotify:track:6W2nxxERQlWvRCCHdhKYww,0.11,0.432,0.655,4.55E-06,0.134,-4.202,0.0447,126.011,0.166,44,Afrojack
Press Play,8,6dkjgV7ZoNu3tGPIOVjQMJ,Time,spotify:track:6dkjgV7ZoNu3tGPIOVjQMJ,0.00814,0.642,0.956,0.145,0.0742,-3.425,0.0369,130.022,0.105,23,Afrojack
Press Play,9,6OgkigekZ6kxX2fcvivzaX,2012,spotify:track:6OgkigekZ6kxX2fcvivzaX,0.00368,0.545,0.99,0.738,0.283,-2.756,0.0347,127.993,0.142,33,Afrojack
Press Play,10,4OxxmiGWQ0ZID0iZ4K5HLa,Bassride,spotify:track:4OxxmiGWQ0ZID0iZ4K5HLa,0.0158,0.61,0.996,0.883,0.682,-3.261,0.0704,128.032,0.413,31,Afrojack
Press Play,11,5KvEFiHjRzKsoVTAszGcVm,My City,spotify:track:5KvEFiHjRzKsoVTAszGcVm,0.00398,0.35,0.9,0.0594,0.264,-4.113,0.12,127.891,0.279,30,Afrojack
Press Play,12,52kbhZ34GjxnzLaqO3itJw,Put It Down,spotify:track:52kbhZ34GjxnzLaqO3itJw,0.00616,0.603,0.99,0.157,0.0811,-3.797,0.175,150.033,0.208,23,Afrojack
Press Play,13,3cpWvdAOJaMFhFMr8V07AG,Flawless Victory,spotify:track:3cpWvdAOJaMFhFMr8V07AG,0.00199,0.685,0.891,0.0059,0.0695,-4.598,0.0395,149.921,0.177,26,Afrojack
Press Play,14,0sqrcWwOBKxf2IlHER21u2,Pop That,spotify:track:0sqrcWwOBKxf2IlHER21u2,0.00128,0.674,0.987,0.206,0.154,-3.466,0.0522,140.028,0.64,20,Afrojack
Press Play,9,4N4Z5d0HPKF2bGBYyfC68l,2012 - Extended Mix,spotify:track:4N4Z5d0HPKF2bGBYyfC68l,0.00694,0.595,0.99,0.849,0.575,-3.141,0.04,128.004,0.326,6,Afrojack
Forget The World,17,6DPnTc1fszeKFJeMyBtljO,The Spark - Tetsuya Komuro Remix,spotify:track:6DPnTc1fszeKFJeMyBtljO,0.0021,0.63,0.959,0,0.122,-3.836,0.0329,125.98,0.722,8,Afrojack
Forget The World (Deluxe),1,2ldAdghnrO34HPcZ0IWfTu,Ten Feet Tall,spotify:track:2ldAdghnrO34HPcZ0IWfTu,0.0336,0.523,0.861,0,0.144,-3.447,0.0644,127.049,0.346,68,Afrojack
Forget The World (Deluxe),2,07eHXgt3mtieC4mGJIsO1x,Illuminate,spotify:track:07eHXgt3mtieC4mGJIsO1x,0.176,0.588,0.83,1.53E-05,0.135,-4.284,0.0429,128.013,0.512,43,Afrojack
Forget The World (Deluxe),3,4fDaT9OtW8PWCrxYgGIulm,Born To Run,spotify:track:4fDaT9OtW8PWCrxYgGIulm,0.0351,0.525,0.778,4.90E-05,0.103,-5.36,0.0553,126.044,0.238,38,Afrojack
Forget The World (Deluxe),4,4kkXQDTjiLBgX4vlkLXhDW,Freedom,spotify:track:4kkXQDTjiLBgX4vlkLXhDW,0.0942,0.621,0.838,0.076,0.176,-5.28,0.0342,128.015,0.186,40,Afrojack
Forget The World (Deluxe),5,5CYJB5Md92kvcrZ4lJDALY,The Spark,spotify:track:5CYJB5Md92kvcrZ4lJDALY,0.152,0.651,0.898,0,0.11,-4.942,0.0391,126.051,0.599,62,Afrojack
Forget The World (Deluxe),6,6IPYQZ3qKXJExuD33Z8ha0,Dynamite,spotify:track:6IPYQZ3qKXJExuD33Z8ha0,0.0173,0.55,0.812,0,0.592,-6.717,0.0814,145.037,0.203,42,Afrojack
