album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Konvicted (Complete Edition),13,61BqwgSRTyWH9M4uPjsC3B,"Sorry, Blame It On Me",spotify:track:61BqwgSRTyWH9M4uPjsC3B,0.102,0.716,0.698,0,0.0728,-6.456,0.239,176.012,0.569,66,Akon
Konvicted (Complete Edition),14,0fW9uYl9wticb2ZPSA7hrG,Rush,spotify:track:0fW9uYl9wticb2ZPSA7hrG,0.0814,0.872,0.668,0,0.0904,-6.772,0.0423,110.028,0.689,43,Akon
Konvicted (Complete Edition),15,2pTKJoKYBTtHQ9OxfM3s7q,Struggle Everyday,spotify:track:2pTKJoKYBTtHQ9OxfM3s7q,0.00487,0.68,0.563,0,0.204,-7.978,0.112,75.03,0.502,43,Akon
Konvicted (Complete Edition),16,7LTTtrSwTlEtVIjNfWzXSW,Gringo,spotify:track:7LTTtrSwTlEtVIjNfWzXSW,0.0294,0.651,0.626,0,0.0489,-5.436,0.0668,173.968,0.657,49,Akon
Konvicted (Complete Edition),17,4asiXFMoANXo6RWb8elStT,Fair To You,spotify:track:4asiXFMoANXo6RWb8elStT,0.228,0.739,0.675,0,0.276,-6.041,0.223,90.982,0.773,59,Akon
Konvicted (Complete Edition),18,6bJLubLcUcYGO5N0lNn26L,Still Alone,spotify:track:6bJLubLcUcYGO5N0lNn26L,0.1,0.787,0.631,0,0.0545,-6.089,0.112,90.034,0.586,52,Akon
Konvicted (Complete Edition),19,6WJ9kGmpiCL5hqpQCHAZMA,Don't Matter - Konvict Remix,spotify:track:6WJ9kGmpiCL5hqpQCHAZMA,0.0197,0.724,0.895,6.52E-06,0.103,-4.386,0.0388,126.988,0.696,38,Akon
Konvicted (Complete Edition),20,4sjnmVHQCnDoUOVQxYD3V4,Don't Matter - Calypso Remix,spotify:track:4sjnmVHQCnDoUOVQxYD3V4,0.0419,0.444,0.966,0.00738,0.051,-5.123,0.0593,125.222,0.789,40,Akon
Konvicted (Complete Edition),21,7p5mNdJbsKUx0iwuIPCfEM,I Wanna Love You - Remix,spotify:track:7p5mNdJbsKUx0iwuIPCfEM,0.0285,0.853,0.517,0,0.271,-8.191,0.0676,99.993,0.383,40,Akon
Konvicted (Complete Edition),22,5GVq04ks0htWwdCSr7BNwe,Shake Down - Remix,spotify:track:5GVq04ks0htWwdCSr7BNwe,0.178,0.67,0.838,0,0.79,-5.506,0.313,81.871,0.897,35,Akon
Konvicted (Complete Edition),23,21Ipe0l4JhAccQuEDWzjF6,Mama Africa - Live AOL Session,spotify:track:21Ipe0l4JhAccQuEDWzjF6,0.106,0.574,0.723,0,0.292,-5.589,0.0903,80.874,0.751,34,Akon
Konvicted (Complete Edition),24,09dxQZxDvtaWR5E61LxEYO,Smack That - Live AOL Session,spotify:track:09dxQZxDvtaWR5E61LxEYO,0.592,0.797,0.889,0,0.161,-4.503,0.118,122.456,0.963,38,Akon
Konvicted (Complete Edition),25,6nfbHaLKTjhWXO7DjPetsq,Don't Matter - Live AOL Session,spotify:track:6nfbHaLKTjhWXO7DjPetsq,0.242,0.79,0.55,0,0.284,-6.495,0.0407,128.919,0.461,35,Akon
Konvicted (Complete Edition),26,3z5SrHsf9lcyV4QzgzgvbH,I Wanna Love You - Live AOL Session,spotify:track:3z5SrHsf9lcyV4QzgzgvbH,0.082,0.825,0.704,0,0.202,-6.908,0.0466,101.948,0.387,38,Akon
Konvicted (Complete Edition),27,6Nfyyh69Q9R7W7mdWjnL8C,Don't Matter - BBC Radio 1's Live Lounge,spotify:track:6Nfyyh69Q9R7W7mdWjnL8C,0.125,0.806,0.704,0,0.34,-4.538,0.0579,128.389,0.868,33,Akon
Ain’t No Peace,1,3yodOhtz0y2FvVgVEV6yPC,New Life,spotify:track:3yodOhtz0y2FvVgVEV6yPC,0.548,0.595,0.614,0,0.119,-7.029,0.282,73.206,0.309,37,Akon
Ain’t No Peace,2,68QydKRMQZ1UXEhzpp7RWl,Sweet Love,spotify:track:68QydKRMQZ1UXEhzpp7RWl,0.173,0.767,0.678,3.48E-05,0.0778,-6.182,0.0425,90.017,0.297,43,Akon
Ain’t No Peace,3,4JfCdI6lkQdtRcC9jnNGg7,Letter To My Son,spotify:track:4JfCdI6lkQdtRcC9jnNGg7,0.131,0.575,0.573,3.46E-05,0.374,-6.911,0.0276,103.992,0.289,41,Akon
Ain’t No Peace,4,2NgX56wCTpn6xVc17D4NHO,System Ain’t For Us,spotify:track:2NgX56wCTpn6xVc17D4NHO,0.564,0.749,0.757,8.65E-06,0.175,-5.858,0.197,85.5,0.405,34,Akon
Ain’t No Peace,5,0vXNQCwQzVVPAx3Qr6FtTE,Ain’t No Peace,spotify:track:0vXNQCwQzVVPAx3Qr6FtTE,0.167,0.798,0.881,1.21E-06,0.0828,-3.654,0.0332,120.071,0.509,35,Akon
Ain’t No Peace,6,5TKV0cYhfSekwfpZHzYJNX,Get Out,spotify:track:5TKV0cYhfSekwfpZHzYJNX,0.298,0.719,0.603,1.55E-06,0.182,-7.93,0.407,125.352,0.303,37,Akon
Ain’t No Peace,7,5k1vIy4dftJ6gcNfujW19Z,Remember,spotify:track:5k1vIy4dftJ6gcNfujW19Z,0.301,0.431,0.636,0,0.263,-6.364,0.0577,86.125,0.739,36,Akon
El Negreeto,1,3s8ksVDKmTgoHmf51Czd4p,Te Quiero Amar (feat. Pitbull),spotify:track:3s8ksVDKmTgoHmf51Czd4p,0.0352,0.79,0.779,0.000276,0.0731,-5.183,0.0431,91.991,0.721,48,Akon
El Negreeto,2,3bNjKlhgAPc2R31KNqem4m,Bailame Lento,spotify:track:3bNjKlhgAPc2R31KNqem4m,0.288,0.704,0.757,0,0.351,-3.312,0.0483,91.999,0.532,37,Akon
El Negreeto,3,1CwRFMS5BYudsGXaY0k48M,Como No (feat. Becky G),spotify:track:1CwRFMS5BYudsGXaY0k48M,0.0685,0.763,0.83,0.00505,0.062,-4.496,0.0457,89.98,0.87,52,Akon
El Negreeto,4,6ryvqkOlMIBy3CWk2V7KnE,Boom Boom (feat. Anitta),spotify:track:6ryvqkOlMIBy3CWk2V7KnE,0.112,0.783,0.753,0.000214,0.31,-3.63,0.0548,96.016,0.53,40,Akon
El Negreeto,5,3dGsey4KarIjYaEoei5FXT,Dile,spotify:track:3dGsey4KarIjYaEoei5FXT,0.121,0.623,0.567,0,0.0702,-5.843,0.338,123.941,0.814,34,Akon
El Negreeto,6,4UlYclS6O2uzdCoZalIJ7V,Innocente,spotify:track:4UlYclS6O2uzdCoZalIJ7V,0.461,0.772,0.466,0,0.068,-7.031,0.0437,111.974,0.461,32,Akon
El Negreeto,7,61qJ3rBHw3rbq0h6GdXePy,Solo Tu (feat. Farruko),spotify:track:61qJ3rBHw3rbq0h6GdXePy,0.597,0.434,0.648,5.14E-05,0.0886,-5.08,0.285,74.004,0.5,44,Akon
El Negreeto,8,2Mtx7KXVQq0PJYZZxtJQcB,Baila Conmigo,spotify:track:2Mtx7KXVQq0PJYZZxtJQcB,0.533,0.905,0.425,0.00599,0.102,-10.086,0.0426,120.012,0.735,35,Akon
KonKrete Jungle,1,4YHwQliarh4SDnFw3gv2Lu,Used to Know (feat. Money J & Black Frost),spotify:track:4YHwQliarh4SDnFw3gv2Lu,0.0548,0.817,0.714,0,0.258,-4.024,0.237,129.041,0.388,44,Akon
KonKrete Jungle,2,3mrvebxoRoQmQz7XOYS2Yl,Cashin Out,spotify:track:3mrvebxoRoQmQz7XOYS2Yl,0.172,0.791,0.697,0,0.227,-3.469,0.0997,130.03,0.659,38,Akon
KonKrete Jungle,3,1e17oghmtk2mGm5eftpgvA,We on (feat. Yo Gotti),spotify:track:1e17oghmtk2mGm5eftpgvA,0.0409,0.627,0.645,3.02E-06,0.126,-2.079,0.0494,146.1,0.36,30,Akon
