album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
World Of Walker,1,63dMNGUUu7rXX0NZYVO3Tm,Time - Alan Walker Remix,spotify:track:63dMNGUUu7rXX0NZYVO3Tm,0.0872,0.575,0.941,0.736,0.146,-7.908,0.0581,127.967,0.0387,59,Alan Walker
World Of Walker,2,0zqBZqm5czQ3A4EoSdKFHj,Man On The Moon,spotify:track:0zqBZqm5czQ3A4EoSdKFHj,0.0557,0.668,0.816,1.02E-06,0.197,-5.648,0.0367,129.971,0.5,80,Alan Walker
World Of Walker,3,28VbwtsYnj85UEODGpQRem,"Alone, Pt. II",spotify:track:28VbwtsYnj85UEODGpQRem,0.539,0.673,0.659,0,0.129,-4.493,0.0439,88.011,0.628,73,Alan Walker
World Of Walker,4,2sVcG5mresyV79qpYr3M1C,Paradise,spotify:track:2sVcG5mresyV79qpYr3M1C,0.158,0.779,0.58,0,0.124,-6.168,0.0355,148.916,0.679,69,Alan Walker
World Of Walker,5,1ez5ood0PsYP4Yi6KhYe7H,Out Of Love,spotify:track:1ez5ood0PsYP4Yi6KhYe7H,0.318,0.677,0.723,0,0.232,-5.474,0.107,150.11,0.366,59,Alan Walker
World Of Walker,6,3gktHyhUYSZmJAewFjxcoX,Red Nexus Rising - Interlude,spotify:track:3gktHyhUYSZmJAewFjxcoX,0.127,0.389,0.629,0.944,0.128,-10.449,0.0356,59.925,0.0985,50,Alan Walker
World Of Walker,7,6k1Q8mNcA2jFH0uv5B6g9G,Sorry,spotify:track:6k1Q8mNcA2jFH0uv5B6g9G,0.437,0.542,0.561,0.0704,0.135,-7.029,0.0485,175.998,0.183,66,Alan Walker
World Of Walker,8,1Ph65gYzHdiNDs9yWh4ePY,Fake A Smile,spotify:track:1Ph65gYzHdiNDs9yWh4ePY,0.21,0.427,0.541,0,0.442,-5.726,0.0362,149.802,0.257,60,Alan Walker
World Of Walker,9,3BomnHfqKZCdPJC9bkGBjE,On My Way,spotify:track:3BomnHfqKZCdPJC9bkGBjE,0.0291,0.522,0.697,0,0.319,-5.288,0.103,169.775,0.235,69,Alan Walker
World Of Walker,10,5I9Qa1LfGcQGCIC32lh9Ka,World We Used To Know,spotify:track:5I9Qa1LfGcQGCIC32lh9Ka,0.176,0.48,0.692,0.00011,0.221,-5.324,0.0582,85.343,0.465,60,Alan Walker
World Of Walker,11,0VE9LJ2W1qhjNBfWQLuA5M,Drone Wars - Instrumental,spotify:track:0VE9LJ2W1qhjNBfWQLuA5M,0.00219,0.426,0.879,0.308,0.139,-5.687,0.0422,128.894,0.058,51,Alan Walker
World Of Walker,12,6GZaY8DSHOgllwQ28ok7Rs,Heading Home,spotify:track:6GZaY8DSHOgllwQ28ok7Rs,0.0276,0.73,0.772,0,0.0707,-4.514,0.0348,107.996,0.0951,58,Alan Walker
World Of Walker,13,1fohm4EDuPauFyFIKmTIUm,OK,spotify:track:1fohm4EDuPauFyFIKmTIUm,0.0611,0.522,0.551,0,0.0958,-6.458,0.0309,90.006,0.186,56,Alan Walker
World Of Walker,14,1qFmSPALGSoqjbwM3br4Rl,Hummell Gets The Rockets - Alan Walker Remix,spotify:track:1qFmSPALGSoqjbwM3br4Rl,0.0523,0.523,0.698,0.795,0.0794,-8.377,0.0777,120.015,0.0348,52,Alan Walker
World Of Walker,15,5BKJAuVMDyrFvUTo4dIaiK,Not You,spotify:track:5BKJAuVMDyrFvUTo4dIaiK,0.827,0.573,0.264,1.71E-05,0.103,-8.955,0.0365,129.791,0.379,58,Alan Walker
Live Fast (Japan Exclusive),1,2AyFIMdLgqv5yjbPzIF6Qx,Live Fast - PUBGM,spotify:track:2AyFIMdLgqv5yjbPzIF6Qx,0.104,0.691,0.557,0,0.427,-5.448,0.0454,87.546,0.193,24,Alan Walker
Live Fast (Japan Exclusive),6,13I9qqQBL23ZPxFCUO967w,The Spectre,spotify:track:13I9qqQBL23ZPxFCUO967w,0.0214,0.654,0.711,0.00191,0.0903,-7.438,0.0383,127.957,0.198,40,Alan Walker
Live Fast (Japan Exclusive),8,0mMKRYVhwswhSoccZcSvtv,Faded (Restrung),spotify:track:0mMKRYVhwswhSoccZcSvtv,0.918,0.386,0.387,0.00074,0.14,-6.649,0.0288,179.957,0.34,15,Alan Walker
Different World,1,7dcmZskqXONZuIuqGRLJ1C,Intro,spotify:track:7dcmZskqXONZuIuqGRLJ1C,0.864,0.399,0.222,0.802,0.0906,-11.073,0.0433,128.231,0.0387,55,Alan Walker
Different World,2,0lG6QM1jjbbX5UUn3DPmrZ,Lost Control,spotify:track:0lG6QM1jjbbX5UUn3DPmrZ,0.0345,0.736,0.555,0.000157,0.0798,-4.689,0.0757,91.997,0.323,69,Alan Walker
Different World,3,7kVDkZkZc8qBUBsF6klUoY,I Don't Wanna Go,spotify:track:7kVDkZkZc8qBUBsF6klUoY,0.136,0.423,0.751,0,0.243,-5.632,0.272,148.773,0.522,65,Alan Walker
Different World,4,0lks2Kt9veMOFEAPN0fsqN,Lily,spotify:track:0lks2Kt9veMOFEAPN0fsqN,0.196,0.423,0.634,0,0.189,-5.877,0.0578,150.978,0.467,78,Alan Walker
Different World,5,6HMT7AzGA5wmn5m2t1BuZR,Lonely (feat. ISÁK & Omar Noir),spotify:track:6HMT7AzGA5wmn5m2t1BuZR,0.00911,0.521,0.819,0.00227,0.086,-7.267,0.0413,89.952,0.184,59,Alan Walker
