album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Seasons Change,5,2PWDP24Cy5sBOMHt2eY6Mk,October,spotify:track:2PWDP24Cy5sBOMHt2eY6Mk,0.336,0.743,0.53,3.88E-06,0.0837,-7.831,0.0301,106.966,0.654,32,Alessia Cara
Seasons Change,6,17Ion8wORSKyot8efqepcl,Rooting For You,spotify:track:17Ion8wORSKyot8efqepcl,0.0538,0.763,0.529,0.00349,0.0918,-6.779,0.122,156.047,0.503,28,Alessia Cara
For The Love of Pop,3,6sTi6P1r6Xmams3hGXZTvj,Best Days - King Henry Remix,spotify:track:6sTi6P1r6Xmams3hGXZTvj,0.512,0.686,0.397,0.00314,0.163,-9.765,0.19,88.001,0.352,32,Alessia Cara
Broken Heart,1,5Suay5DSE2n8UqTvFAMx6s,"I Choose - From The Netflix Original Film ""The Willoughbys""",spotify:track:5Suay5DSE2n8UqTvFAMx6s,0.388,0.65,0.63,0,0.16,-6.451,0.0825,137.997,0.411,55,Alessia Cara
Broken Heart,6,63qUIiuNiWCRGUg49jhHm0,Middle Ground,spotify:track:63qUIiuNiWCRGUg49jhHm0,0.347,0.547,0.495,0,0.116,-6.313,0.361,148.377,0.796,35,Alessia Cara
Broken Heart,11,7COqkH9O15sLXuFglw6yfa,Best Days - Remix,spotify:track:7COqkH9O15sLXuFglw6yfa,0.592,0.334,0.322,1.36E-05,0.111,-10.468,0.0374,78.58,0.184,36,Alessia Cara
In The Meantime,1,1wnRsXo9tSvj60Vbc6C7A2,Unboxing Intro,spotify:track:1wnRsXo9tSvj60Vbc6C7A2,0.448,0.502,0.701,0,0.329,-6.679,0.405,50.369,0.974,47,Alessia Cara
In The Meantime,2,7bhR82JEE9bcX8iphymGme,Box In The Ocean,spotify:track:7bhR82JEE9bcX8iphymGme,0.312,0.604,0.592,0.000424,0.269,-7.263,0.0944,89.75,0.583,52,Alessia Cara
In The Meantime,3,1w1UFvNdHZZLhozS2Ysdub,Bluebird,spotify:track:1w1UFvNdHZZLhozS2Ysdub,0.68,0.697,0.403,0,0.126,-9.764,0.0368,107.945,0.717,50,Alessia Cara
In The Meantime,4,3vThkPv25GkMKMSnnxm3ev,Lie To Me,spotify:track:3vThkPv25GkMKMSnnxm3ev,0.00184,0.738,0.659,1.04E-05,0.0352,-5.392,0.254,103.96,0.577,51,Alessia Cara
In The Meantime,5,60O0pUJdobzFB11e88Y9m1,Shapeshifter,spotify:track:60O0pUJdobzFB11e88Y9m1,0.292,0.723,0.577,0.000656,0.17,-7.739,0.0727,95.066,0.612,47,Alessia Cara
In The Meantime,6,0QZcEmktdpeCcwIHSfpAAM,Fishbowl,spotify:track:0QZcEmktdpeCcwIHSfpAAM,0.141,0.793,0.75,0,0.113,-5.164,0.275,108.131,0.677,47,Alessia Cara
In The Meantime,7,3xbiVkfxjHIpd1CVEtrJ8R,"I Miss You, Don't Call Me",spotify:track:3xbiVkfxjHIpd1CVEtrJ8R,0.72,0.791,0.31,1.07E-06,0.0801,-10.629,0.0545,107.007,0.334,49,Alessia Cara
In The Meantime,8,5nGpC4ho50ESHj30ocN3sV,Middle Ground (feat. CHIKA),spotify:track:5nGpC4ho50ESHj30ocN3sV,0.347,0.547,0.495,0,0.116,-6.313,0.361,148.377,0.796,49,Alessia Cara
In The Meantime,9,0O9ijXvoYpXDjqhaYZtA2X,Somebody Else,spotify:track:0O9ijXvoYpXDjqhaYZtA2X,0.019,0.718,0.721,0,0.144,-5.525,0.0429,108.07,0.963,46,Alessia Cara
In The Meantime,10,13RFBaODKzfZz3bSp9RmL6,Drama Queen,spotify:track:13RFBaODKzfZz3bSp9RmL6,0.18,0.798,0.46,5.97E-06,0.0693,-8.335,0.136,130.025,0.712,45,Alessia Cara
In The Meantime,11,14GBa3RpXVFyaoB6wux6eC,Clockwork,spotify:track:14GBa3RpXVFyaoB6wux6eC,0.137,0.751,0.742,6.63E-06,0.17,-4.841,0.0758,76.009,0.935,44,Alessia Cara
In The Meantime,12,3z1DnGBH2uhlDekJr0YVzQ,Best Days,spotify:track:3z1DnGBH2uhlDekJr0YVzQ,0.875,0.518,0.318,4.21E-06,0.13,-11.727,0.0749,77.594,0.227,69,Alessia Cara
In The Meantime,13,3HhrQvdp1HIVluWLEgdAsV,Sweet Dream,spotify:track:3HhrQvdp1HIVluWLEgdAsV,0.253,0.734,0.538,0,0.229,-9.2,0.146,123.052,0.461,59,Alessia Cara
In The Meantime,14,2rmf4QaSE174hUEObAxLpw,Find My Boy,spotify:track:2rmf4QaSE174hUEObAxLpw,0.239,0.636,0.552,1.73E-06,0.132,-6.412,0.121,159.906,0.712,46,Alessia Cara
In The Meantime,15,1wnzW3fMwdf8bn2FLwBZut,Voice In My Head,spotify:track:1wnzW3fMwdf8bn2FLwBZut,0.358,0.747,0.833,0.000126,0.197,-4.495,0.329,150.041,0.894,47,Alessia Cara
In The Meantime,16,2vTZTMjVdn3MKKT2ZXTCFc,Slow Lie,spotify:track:2vTZTMjVdn3MKKT2ZXTCFc,0.887,0.371,0.244,0,0.113,-12.652,0.0421,172.06,0.161,43,Alessia Cara
In The Meantime,17,5vItiIbaaoTxihU8uAlRbq,You Let Me Down,spotify:track:5vItiIbaaoTxihU8uAlRbq,0.103,0.628,0.524,0.00387,0.111,-7.668,0.0347,118.044,0.373,50,Alessia Cara
In The Meantime,18,0h6ymtVt32j6qKZzzMs8aV,Apartment Song,spotify:track:0h6ymtVt32j6qKZzzMs8aV,0.0919,0.697,0.609,0,0.17,-7.547,0.0462,100.971,0.385,46,Alessia Cara
This Summer: Live Off The Floor,1,4v2a1UpuAG5iixbN5EO1Ic,Summertime - Live Off The Floor,spotify:track:4v2a1UpuAG5iixbN5EO1Ic,0.812,0.262,0.151,0.0131,0.476,-17.554,0.0365,105.055,0.0784,31,Alessia Cara
This Summer: Live Off The Floor,2,4g4IV6y4OwtkPqCN56CKr9,Ready - Live Off The Floor,spotify:track:4g4IV6y4OwtkPqCN56CKr9,0.62,0.454,0.279,0,0.111,-10.732,0.0424,140.542,0.582,34,Alessia Cara
This Summer: Live Off The Floor,3,4REkFwoagazUV2dW5IFqYb,What's On Your Mind? - Live Off The Floor,spotify:track:4REkFwoagazUV2dW5IFqYb,0.411,0.572,0.421,5.49E-06,0.0722,-11.189,0.126,179.96,0.666,28,Alessia Cara
This Summer: Live Off The Floor,4,4SKc6fzT8WBksUFCvf4CkC,Like You - Live Off The Floor,spotify:track:4SKc6fzT8WBksUFCvf4CkC,0.895,0.665,0.156,0,0.396,-11.598,0.157,147.063,0.648,29,Alessia Cara
This Summer: Live Off The Floor,5,4iST0VtrQ5XASSGSCUvY40,OKAY OKAY - Live Off The Floor,spotify:track:4iST0VtrQ5XASSGSCUvY40,0.552,0.694,0.287,0,0.126,-11.817,0.0501,89.11,0.518,27,Alessia Cara
This Summer: Live Off The Floor,6,7lqXJF0MwuVpCFJlVS0rFX,Rooting For You - Live Off The Floor,spotify:track:7lqXJF0MwuVpCFJlVS0rFX,0.421,0.645,0.316,0,0.072,-10.719,0.141,155.991,0.526,29,Alessia Cara
This Summer: Live Off The Floor,7,4BS8vxpM32EVqHJ31HdUUP,October - Live Off The Floor,spotify:track:4BS8vxpM32EVqHJ31HdUUP,0.64,0.612,0.37,0,0.0981,-11.823,0.0287,106.883,0.384,31,Alessia Cara
This Summer: Live Off The Floor,8,4iy4hKxFBmr8Liwy4arOUQ,Scars To Your Beautiful - Live Off The Floor (Bonus Track),spotify:track:4iy4hKxFBmr8Liwy4arOUQ,0.86,0.399,0.339,0,0.0872,-11.365,0.042,175.977,0.613,43,Alessia Cara
This Summer: Live Off The Floor,9,7AsODjpT6JoDYa04o1d1F7,Here - Live Off The Floor (Bonus Track),spotify:track:7AsODjpT6JoDYa04o1d1F7,0.623,0.596,0.409,0,0.151,-10.236,0.0459,119.739,0.529,30,Alessia Cara
This Summer: Live Off The Floor,10,3duAXBgphi9PVRSf7e1QeH,I Choose - From The Netflix Original Film The Willoughbys / Acoustic (Bonus Track),spotify:track:3duAXBgphi9PVRSf7e1QeH,0.775,0.594,0.206,0,0.136,-11.343,0.0345,137.44,0.485,37,Alessia Cara
The Pains Of Growing,1,2N6bB5ck67CNILInUX1Ctw,Growing Pains,spotify:track:2N6bB5ck67CNILInUX1Ctw,0.0833,0.353,0.753,0,0.383,-6.277,0.74,191.142,0.432,57,Alessia Cara
The Pains Of Growing,2,1BGIZCaDu29MK8DsykL7Hb,Not Today,spotify:track:1BGIZCaDu29MK8DsykL7Hb,0.0972,0.76,0.462,5.29E-06,0.0933,-6.04,0.123,111.906,0.169,51,Alessia Cara
The Pains Of Growing,3,2DePNQmfS4t6iUETRU72uH,I Don't Want To,spotify:track:2DePNQmfS4t6iUETRU72uH,0.842,0.531,0.291,0,0.321,-10.172,0.379,82.44,0.634,51,Alessia Cara
The Pains Of Growing,4,6qVwzCWDC6Kiatl7v2it7D,7 Days,spotify:track:6qVwzCWDC6Kiatl7v2it7D,0.214,0.503,0.697,0,0.165,-4.888,0.188,79.157,0.798,46,Alessia Cara
The Pains Of Growing,5,7eXT7U3FKrOM88xr1DsNwc,Trust My Lonely,spotify:track:7eXT7U3FKrOM88xr1DsNwc,0.00421,0.613,0.668,2.06E-06,0.324,-6.134,0.162,150.171,0.622,56,Alessia Cara
The Pains Of Growing,6,4MT0yNKM7GYPkRsk1Uvo7G,Wherever I Live,spotify:track:4MT0yNKM7GYPkRsk1Uvo7G,0.936,0.717,0.167,0,0.127,-12.432,0.102,100.813,0.594,45,Alessia Cara
The Pains Of Growing,7,6Dw696uOB5aKDyLzUJREBr,All We Know,spotify:track:6Dw696uOB5aKDyLzUJREBr,0.0483,0.47,0.792,2.08E-06,0.129,-4.788,0.0973,150.959,0.409,43,Alessia Cara
