album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Forever (Deluxe),11,46bTsSGdJ3rWU6CPmYCqOn,Under Control - Radio Edit,spotify:track:46bTsSGdJ3rWU6CPmYCqOn,0.147,0.549,0.919,0.000857,0.11,-3.412,0.08,126.036,0.513,0,Alesso
Forever (Deluxe),18,2EfBXaaueY2s9M3r4d7IHZ,Cool - A-Trak Remix,spotify:track:2EfBXaaueY2s9M3r4d7IHZ,0.0494,0.692,0.751,2.31E-06,0.0879,-3.662,0.0394,127.989,0.692,8,Alesso
Forever,1,260CRUIUjnwScMF32sQP5l,Profondo,spotify:track:260CRUIUjnwScMF32sQP5l,0.159,0.239,0.562,0.414,0.714,-9.403,0.0663,79.262,0.175,33,Alesso
Forever,2,0yr4DKIedcAD4av7wKzHRO,PAYDAY,spotify:track:0yr4DKIedcAD4av7wKzHRO,0.022,0.567,0.931,0.726,0.271,-5.385,0.0734,126.016,0.18,47,Alesso
Forever,3,3zU9rdflI65tK4dkkNSp77,Heroes (we could be),spotify:track:3zU9rdflI65tK4dkkNSp77,0.0305,0.503,0.748,0,0.343,-4.124,0.0619,125.896,0.356,76,Alesso
Forever,4,2ze8tFyaI1W6db1pJBWBGq,Tear The Roof Up - Radio Edit,spotify:track:2ze8tFyaI1W6db1pJBWBGq,0.0233,0.684,0.954,0.305,0.0608,-3.406,0.0553,126.023,0.416,39,Alesso
Forever,5,2ToIksTPpJ4csKPEOdUEyM,Cool,spotify:track:2ToIksTPpJ4csKPEOdUEyM,0.0365,0.537,0.848,0,0.423,-2.431,0.0313,128.023,0.498,61,Alesso
Forever,6,6wZYxok5OMWAZh8r91vFEL,Scars,spotify:track:6wZYxok5OMWAZh8r91vFEL,0.0597,0.526,0.81,2.11E-05,0.303,-2.299,0.0337,126.003,0.519,53,Alesso
Forever,7,6vPJvkEuWZPcv58NnQ3dBR,Sweet Escape,spotify:track:6vPJvkEuWZPcv58NnQ3dBR,0.0721,0.572,0.839,1.74E-06,0.197,-3.865,0.0397,126.029,0.516,57,Alesso
Forever,8,53ccDZYdOil1QZ85rcrJvo,Destinations,spotify:track:53ccDZYdOil1QZ85rcrJvo,0.774,0.614,0.601,0.841,0.117,-6.392,0.0386,122.999,0.514,39,Alesso
Forever,9,0R3aF3iq67sbMgqe0A4nup,If It Wasn't For You,spotify:track:0R3aF3iq67sbMgqe0A4nup,0.0432,0.52,0.717,0,0.146,-4.695,0.0505,125.899,0.239,53,Alesso
Forever,10,6GwsUXCzEQZ7bnEvHcT6O5,In My Blood,spotify:track:6GwsUXCzEQZ7bnEvHcT6O5,0.0715,0.507,0.794,0,0.2,-2.486,0.0549,125.975,0.34,40,Alesso
Forever,12,3ZUEdWfVROkbgOsG53ctme,All This Love,spotify:track:3ZUEdWfVROkbgOsG53ctme,0.156,0.665,0.78,4.16E-05,0.448,-4.982,0.0311,127.979,0.451,46,Alesso
Forever,13,64VzxgaIpjB52YUtsF9St7,If I Lose Myself - Alesso vs OneRepublic,spotify:track:64VzxgaIpjB52YUtsF9St7,0.198,0.518,0.829,5.57E-06,0.13,-3.322,0.0414,125.991,0.149,50,Alesso
Forever,14,7a5WSsxhemaoetb4vPLQld,Immortale,spotify:track:7a5WSsxhemaoetb4vPLQld,0.626,0.15,0.249,0.95,0.113,-12.552,0.0307,136.666,0.039,32,Alesso
Forever (Deluxe),16,0HktpyW5IRWtfYQW90xaB8,Gillionaire,spotify:track:0HktpyW5IRWtfYQW90xaB8,0.00142,0.749,0.884,0.902,0.0891,-4.908,0.0469,125.989,0.303,12,Alesso
Forever (Deluxe),17,4MXnP2Lmgo8Xeuo0ahjzQL,Years,spotify:track:4MXnP2Lmgo8Xeuo0ahjzQL,0.00211,0.362,0.858,1.26E-06,0.25,-3.92,0.0743,127.889,0.279,47,Alesso
