album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
KEYS,1,5kpMJZx9jseAlheN36Orfm,Plentiful (Originals) (feat. Pusha T),spotify:track:5kpMJZx9jseAlheN36Orfm,0.243,0.664,0.765,0.000699,0.11,-6.145,0.134,82.171,0.149,52,Alicia Keys
KEYS,2,5PA2gFY6o222j3nRb5uvPd,Skydive (Originals),spotify:track:5PA2gFY6o222j3nRb5uvPd,0.89,0.464,0.633,0.000368,0.345,-6.816,0.231,151.628,0.574,49,Alicia Keys
KEYS,3,0VuONk2yU3wnSBtB881QXM,Best Of Me (Originals),spotify:track:0VuONk2yU3wnSBtB881QXM,0.123,0.742,0.872,0.00314,0.102,-6.439,0.0656,79.979,0.814,52,Alicia Keys
KEYS,4,1Wf0r1NwBppEb2HmoOGUVJ,Dead End Road (Originals),spotify:track:1Wf0r1NwBppEb2HmoOGUVJ,0.95,0.601,0.397,0,0.232,-5.861,0.032,114.697,0.133,47,Alicia Keys
KEYS,5,7Mhy9CP8YGOJZ9vn6M2b6D,Is It Insane (Originals),spotify:track:7Mhy9CP8YGOJZ9vn6M2b6D,0.884,0.415,0.25,2.59E-05,0.124,-11.81,0.0305,91.984,0.114,46,Alicia Keys
KEYS,6,32Y1Y8TToghJsXjJEn4Toh,Billions (Originals),spotify:track:32Y1Y8TToghJsXjJEn4Toh,0.255,0.381,0.565,8.62E-06,0.124,-6.15,0.0301,100.378,0.0552,47,Alicia Keys
KEYS,7,7sKlDgyVEvTA6k7jpVJ9PJ,Love When You Call My Name (Originals),spotify:track:7sKlDgyVEvTA6k7jpVJ9PJ,0.902,0.553,0.431,0.0116,0.113,-7.588,0.0298,104.889,0.191,45,Alicia Keys
KEYS,8,4CN5QwsYFty7KkcVguSBXr,Only You (Originals),spotify:track:4CN5QwsYFty7KkcVguSBXr,0.963,0.294,0.283,0.167,0.174,-10.538,0.0303,129.614,0.199,44,Alicia Keys
KEYS,9,0NA4CSpUEWzFHCI6RzvbS1,Daffodils (Originals),spotify:track:0NA4CSpUEWzFHCI6RzvbS1,0.978,0.274,0.283,1.52E-05,0.115,-6.642,0.0289,171.043,0.161,45,Alicia Keys
KEYS,10,0Rq2JIejWvQ6ibgWBSTcpu,Old Memories (Originals),spotify:track:0Rq2JIejWvQ6ibgWBSTcpu,0.808,0.455,0.37,3.30E-06,0.386,-8.485,0.0445,179.815,0.178,56,Alicia Keys
KEYS,11,1DO2DASHJl61O13YFMTZLf,Nat King Cole (Originals),spotify:track:1DO2DASHJl61O13YFMTZLf,0.81,0.488,0.577,0.00322,0.132,-7.349,0.0494,126.16,0.228,45,Alicia Keys
KEYS,12,6saHM8nij3vANjWtsQtw2Q,Paper Flowers (Originals) (feat. Brandi Carlile),spotify:track:6saHM8nij3vANjWtsQtw2Q,0.918,0.301,0.376,0.00011,0.238,-7.639,0.0376,72.024,0.101,46,Alicia Keys
KEYS,13,5lVwpU4qZ6XpGee6Zc4Ohd,Like Water (Originals),spotify:track:5lVwpU4qZ6XpGee6Zc4Ohd,0.971,0.391,0.351,0.000545,0.12,-7.294,0.0365,78.919,0.393,43,Alicia Keys
KEYS,14,1RIXer9Ww45TrBy7XAE0qW,KEYS,spotify:track:1RIXer9Ww45TrBy7XAE0qW,0.99,0.2,0.165,0.894,0.111,-20.825,0.0392,74.601,0.085,43,Alicia Keys
KEYS,1,1cE8372XYLlNlerewl1ZTE,Only You (Unlocked),spotify:track:1cE8372XYLlNlerewl1ZTE,0.509,0.731,0.622,0.000608,0.128,-6.667,0.0329,101.008,0.248,44,Alicia Keys
KEYS,2,2NkTPQXGYgEK1yshkio7Wb,Skydive (Unlocked),spotify:track:2NkTPQXGYgEK1yshkio7Wb,0.154,0.787,0.715,0.000474,0.164,-5.283,0.135,92.956,0.841,43,Alicia Keys
KEYS,3,1fjuFBHNdLSGutjypWmAIZ,Best Of Me (Unlocked),spotify:track:1fjuFBHNdLSGutjypWmAIZ,0.259,0.675,0.723,0.0103,0.12,-6.389,0.124,79.957,0.627,43,Alicia Keys
KEYS,4,1P3RSPnpzibXUDIMz3kLxE,LALA (Unlocked) (feat. Swae Lee),spotify:track:1P3RSPnpzibXUDIMz3kLxE,0.0837,0.577,0.563,0.000291,0.119,-5.188,0.275,139.457,0.358,49,Alicia Keys
KEYS,5,7c6RtH1KwiYh3GnUEDOpqb,Nat King Cole (Unlocked) (feat. Lil Wayne),spotify:track:7c6RtH1KwiYh3GnUEDOpqb,0.0659,0.561,0.736,0,0.306,-4.538,0.0532,126.11,0.36,44,Alicia Keys
KEYS,6,4YtdthKvxbTT7pgtuq2tVR,Is It Insane (Unlocked),spotify:track:4YtdthKvxbTT7pgtuq2tVR,0.579,0.625,0.301,0.00745,0.15,-6.877,0.0288,84.734,0.194,42,Alicia Keys
