album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Kisses,1,1U62BQhqoJK5j9SI03aBys,Atención,spotify:track:1U62BQhqoJK5j9SI03aBys,0.00158,0.815,0.784,2.30E-05,0.216,-5.502,0.146,156.042,0.8,54,Anitta
Kisses,2,2eSnW4d3A4SyEVhVPmBffa,Banana,spotify:track:2eSnW4d3A4SyEVhVPmBffa,0.0195,0.752,0.681,0,0.0353,-6.684,0.299,73.233,0.648,60,Anitta
Kisses,3,2H8ETIUEoN9YMf56X66bxd,Onda diferente (feat. Papatinho),spotify:track:2H8ETIUEoN9YMf56X66bxd,0.333,0.705,0.721,0,0.101,-5.545,0.514,75.132,0.574,61,Anitta
Kisses,4,6p6sG45DypURkhhXsVr6MN,Sin miedo,spotify:track:6p6sG45DypURkhhXsVr6MN,0.324,0.82,0.772,0,0.0878,-1.781,0.0663,99.961,0.764,54,Anitta
Kisses,5,5qm2otRZaeZaqdLVVohUjq,Poquito,spotify:track:5qm2otRZaeZaqdLVVohUjq,0.509,0.701,0.852,0,0.309,-4.03,0.126,144.837,0.607,55,Anitta
Kisses,6,2YHR2QhK6nWta7rbY1on6i,Tu y yo,spotify:track:2YHR2QhK6nWta7rbY1on6i,0.376,0.427,0.65,0,0.218,-6.007,0.0514,84.159,0.716,54,Anitta
Kisses,7,32lyOiqQrmCUICCcBfkBeG,Get To Know Me,spotify:track:32lyOiqQrmCUICCcBfkBeG,0.251,0.634,0.84,0,0.623,-3.554,0.042,170.007,0.799,51,Anitta
Kisses,8,7KicgcwT4Pz6wENOTJCNTp,Rosa,spotify:track:7KicgcwT4Pz6wENOTJCNTp,0.449,0.687,0.673,0,0.0746,-4.078,0.0771,87.932,0.551,57,Anitta
Kisses,9,3m9zvjbilaBUMKNFcROBfF,Juego,spotify:track:3m9zvjbilaBUMKNFcROBfF,0.0827,0.815,0.828,2.20E-06,0.134,-3.278,0.163,176.086,0.882,53,Anitta
Kisses,10,2GsvXMAz16fKroAmaCxLfL,Você mentiu,spotify:track:2GsvXMAz16fKroAmaCxLfL,0.648,0.809,0.328,1.51E-05,0.107,-11.966,0.0351,82.01,0.304,55,Anitta
