album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Therapy,1,0k79twDYBMpqqjVLuEnYkh,x2,spotify:track:0k79twDYBMpqqjVLuEnYkh,0.0958,0.865,0.578,1.19E-06,0.147,-7.594,0.0553,110.025,0.241,52,Anne Marie
Therapy,2,2j7WMNAPSknc94Id7Ciuas,Don't Play,spotify:track:2j7WMNAPSknc94Id7Ciuas,0.0889,0.695,0.784,0,0.0843,-6.564,0.0402,128.031,0.52,65,Anne Marie
Therapy,3,0MWiSBKm8Avs8iDIxcertp,Kiss My (Uh Oh),spotify:track:0MWiSBKm8Avs8iDIxcertp,0.0151,0.638,0.878,0.000223,0.308,-3.639,0.0484,103.948,0.481,79,Anne Marie
Therapy,4,1o8kO8YyMWRAeb9bE2AIxO,Who I Am,spotify:track:1o8kO8YyMWRAeb9bE2AIxO,0.0542,0.694,0.806,0,0.0927,-5.597,0.0599,98.077,0.664,58,Anne Marie
Therapy,5,3fGW43fnu3OHEw6ohTC2Bw,Our Song,spotify:track:3fGW43fnu3OHEw6ohTC2Bw,0.127,0.572,0.759,0,0.224,-4.312,0.0506,80.95,0.519,77,Anne Marie
Therapy,6,7fstlS6QMUp3rHA4Ne0C2k,Way Too Long,spotify:track:7fstlS6QMUp3rHA4Ne0C2k,0.024,0.555,0.728,2.35E-06,0.169,-3.54,0.0644,63.458,0.723,48,Anne Marie
Therapy,7,4bhe0XXBRo4EAPKgy4M2xz,Breathing,spotify:track:4bhe0XXBRo4EAPKgy4M2xz,0.726,0.667,0.422,0,0.128,-8.102,0.0527,120.075,0.243,64,Anne Marie
Therapy,8,3zmxLLhTpgdLTAPPVbVRqe,Unlovable (feat. Rudimental),spotify:track:3zmxLLhTpgdLTAPPVbVRqe,0.0225,0.71,0.752,0.000205,0.354,-5.503,0.0349,124.043,0.289,50,Anne Marie
Therapy,9,3RjL8AnKslWWPmlNLTJsAU,Beautiful,spotify:track:3RjL8AnKslWWPmlNLTJsAU,0.337,0.493,0.597,0,0.0711,-6.944,0.305,90.096,0.66,65,Anne Marie
Therapy,10,0Kryggxs2gZqnkujFYEH1D,Tell Your Girlfriend,spotify:track:0Kryggxs2gZqnkujFYEH1D,0.175,0.747,0.536,0,0.0423,-5.536,0.0798,95.489,0.82,50,Anne Marie
Therapy,11,1jAma2op1mdGxvqxkBK5So,Better Not Together,spotify:track:1jAma2op1mdGxvqxkBK5So,0.322,0.624,0.539,0,0.109,-6.376,0.0341,124.891,0.321,53,Anne Marie
Therapy,12,1RkgmvNX2D77vyG6Y9N3jv,Therapy,spotify:track:1RkgmvNX2D77vyG6Y9N3jv,0.0312,0.607,0.65,1.80E-06,0.0617,-6.37,0.0663,97.97,0.284,55,Anne Marie
Speak Your Mind (Deluxe),1,3xtdJnI5fEMtNB6nDqvwyy,Cry,spotify:track:3xtdJnI5fEMtNB6nDqvwyy,0.0576,0.537,0.756,0,0.114,-3.307,0.0372,146.023,0.429,48,Anne Marie
Speak Your Mind (Deluxe),2,01BC4Xj5tfsfV8DLDrma7q,Ciao Adios,spotify:track:01BC4Xj5tfsfV8DLDrma7q,0.136,0.694,0.853,0,0.322,-3.986,0.0934,106.098,0.501,70,Anne Marie
Speak Your Mind (Deluxe),3,572xshmOviSGH70oPYMCZV,Alarm,spotify:track:572xshmOviSGH70oPYMCZV,0.0812,0.756,0.589,0,0.176,-5.093,0.232,146.928,0.811,64,Anne Marie
Speak Your Mind (Deluxe),4,6xVr2J3X0zhEJQz5L0QNAP,Trigger,spotify:track:6xVr2J3X0zhEJQz5L0QNAP,0.7,0.625,0.713,0,0.326,-3.731,0.0777,165.988,0.835,53,Anne Marie
Speak Your Mind (Deluxe),5,4iiOb1mdmh0PCYI4BZYUU9,Then,spotify:track:4iiOb1mdmh0PCYI4BZYUU9,0.441,0.543,0.541,0,0.106,-5.164,0.123,112.308,0.378,56,Anne Marie
Speak Your Mind (Deluxe),6,7zRObPOHA0tWMYTAxLudmA,Perfect,spotify:track:7zRObPOHA0tWMYTAxLudmA,0.229,0.478,0.718,0,0.291,-3.929,0.198,85.53,0.529,53,Anne Marie
Speak Your Mind (Deluxe),7,6IQCmIGaOxzjNNcwScETVD,FRIENDS,spotify:track:6IQCmIGaOxzjNNcwScETVD,0.205,0.626,0.88,0,0.128,-2.384,0.0504,95.079,0.534,54,Anne Marie
Speak Your Mind (Deluxe),8,11z8f8BH1WdIlFI9TNQ9mc,Bad Girlfriend,spotify:track:11z8f8BH1WdIlFI9TNQ9mc,0.189,0.75,0.698,0,0.262,-4.943,0.0555,143.983,0.602,63,Anne Marie
Speak Your Mind (Deluxe),9,1s3lN9mJhWzhNIw28SQTuf,Heavy,spotify:track:1s3lN9mJhWzhNIw28SQTuf,0.283,0.461,0.583,0,0.112,-4.581,0.0814,133.032,0.497,55,Anne Marie
