album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Positions (Deluxe),15,3Os1431WclqyKxWqMzRESE,someone like u - interlude,spotify:track:3Os1431WclqyKxWqMzRESE,0.175,0.639,0.544,2.44E-05,0.14,-9.5,0.0383,118.158,0.179,60,Ariana Grande
Positions (Deluxe),16,3eZYOQO4UzKrUDYDghtnFw,test drive,spotify:track:3eZYOQO4UzKrUDYDghtnFw,0.0251,0.698,0.708,0,0.124,-4.943,0.0454,115.036,0.322,71,Ariana Grande
Positions (Deluxe),17,2sQH02O2HBCPJCztBrCWNa,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",spotify:track:2sQH02O2HBCPJCztBrCWNa,0.211,0.659,0.662,0,0.228,-5.768,0.434,109.957,0.704,73,Ariana Grande
Positions (Deluxe),18,6KIKaWKE9wV6mLjho3w61y,worst behavior,spotify:track:6KIKaWKE9wV6mLjho3w61y,0.37,0.726,0.667,0,0.118,-5.956,0.0617,100.053,0.434,66,Ariana Grande
Positions (Deluxe),19,63WsFFnQ8CL941iZBELYsX,main thing,spotify:track:63WsFFnQ8CL941iZBELYsX,0.317,0.734,0.475,1.41E-06,0.113,-7.77,0.0403,134.119,0.217,63,Ariana Grande
Positions,1,3ko9jEHNt4O5fjKN65ULJp,shut up,spotify:track:3ko9jEHNt4O5fjKN65ULJp,0.801,0.499,0.462,0,0.0946,-5.308,0.0312,127.698,0.599,65,Ariana Grande
Positions,2,6Im9k8u9iIzKMrmV7BWtlF,34+35,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,0.237,0.83,0.585,0,0.248,-6.476,0.094,109.978,0.485,87,Ariana Grande
Positions,3,5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),spotify:track:5GkQIP5mWPi4KZLLXeuFTT,0.0681,0.789,0.742,0,0.166,-5.664,0.0652,116.965,0.661,83,Ariana Grande
Positions,4,7Dx9Z6Aon1qPS2N0rHSWTe,just like magic,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,0.08,0.719,0.607,0,0.125,-5.156,0.165,128.006,0.464,73,Ariana Grande
Positions,5,7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),spotify:track:7E1jVNoWuemqUryI4FxsVD,0.519,0.411,0.522,0,0.398,-7.295,0.0981,88.332,0.382,69,Ariana Grande
Positions,6,2IKJtXeR5UsaUjZB46fTOK,six thirty,spotify:track:2IKJtXeR5UsaUjZB46fTOK,0.67,0.739,0.516,0,0.151,-7.154,0.0539,120.109,0.434,65,Ariana Grande
Positions,7,14gkWVFMwdxBMyqBw1wmIg,safety net (feat. Ty Dolla $ign),spotify:track:14gkWVFMwdxBMyqBw1wmIg,0.0703,0.552,0.599,0,0.0986,-5.75,0.0404,161.884,0.0916,72,Ariana Grande
