album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Love Sux,2,14td7C4K7BX8jsSYtgtQqy,Bois Lie,spotify:track:14td7C4K7BX8jsSYtgtQqy,0.00219,0.547,0.861,0,0.135,-4.674,0.0726,143.986,0.738,50,Avril Lavigne
Love Sux,4,2QzfyN4TnYZd1IGd2D2NLy,Love It When You Hate Me,spotify:track:2QzfyN4TnYZd1IGd2D2NLy,0.00445,0.617,0.81,0,0.526,-4.413,0.0405,92.53,0.593,45,Avril Lavigne
Love Sux,8,6D4TNNvgwGYKORzStK9zOJ,Deja vu,spotify:track:6D4TNNvgwGYKORzStK9zOJ,0.000388,0.63,0.815,0.0042,0.0628,-5.415,0.0657,147.967,0.643,38,Avril Lavigne
Love Sux,9,1TXWpDMe0b73FbiEiZkClE,F. U.,spotify:track:1TXWpDMe0b73FbiEiZkClE,0.00222,0.496,0.855,7.13E-06,0.0764,-5.106,0.0577,175.038,0.572,40,Avril Lavigne
Love Sux,10,7nDkD4VLlX94hgD2IMxTRB,All I Wanted,spotify:track:7nDkD4VLlX94hgD2IMxTRB,0.014,0.607,0.935,0,0.477,-4.517,0.0699,104.994,0.504,38,Avril Lavigne
Love Sux,1,6xXzhKhNNmBJ4q0Qzw485o,Cannonball,spotify:track:6xXzhKhNNmBJ4q0Qzw485o,7.72E-05,0.408,0.921,0,0.336,-4.573,0.142,185.099,0.426,69,Avril Lavigne
Love Sux,3,6dfwRetlyLPBoQzdufbOWj,Bite Me,spotify:track:6dfwRetlyLPBoQzdufbOWj,0.00381,0.491,0.792,0,0.359,-4.382,0.0699,169.997,0.74,77,Avril Lavigne
Love Sux,4,6m0Dk7Cm7rWQLzCjeYIiIt,Love It When You Hate Me (feat. blackbear),spotify:track:6m0Dk7Cm7rWQLzCjeYIiIt,0.00437,0.611,0.803,1.41E-06,0.604,-4.368,0.0394,92.497,0.624,74,Avril Lavigne
Love Sux,5,0ML3PJ6f9lgj1B4FQo4kZB,Love Sux,spotify:track:0ML3PJ6f9lgj1B4FQo4kZB,0.0036,0.552,0.844,3.50E-05,0.134,-4.445,0.0774,174,0.767,71,Avril Lavigne
Love Sux,6,7rYRIG2g3zW0ERcVTenxra,Kiss Me Like The World Is Ending,spotify:track:7rYRIG2g3zW0ERcVTenxra,0.000937,0.599,0.929,2.81E-05,0.312,-4.751,0.0463,92.565,0.666,69,Avril Lavigne
Love Sux,7,0ZzF9Y0nJoBc8iMkITxDYv,Avalanche,spotify:track:0ZzF9Y0nJoBc8iMkITxDYv,0.00272,0.528,0.783,1.90E-05,0.069,-4.952,0.0549,149.976,0.224,69,Avril Lavigne
