album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
EL ÚLTIMO TOUR DEL MUNDO,1,36DHxTW2xdr9GG15T9oK9L,EL MUNDO ES MÍO,spotify:track:36DHxTW2xdr9GG15T9oK9L,0.166,0.716,0.522,6.50E-05,0.113,-6.834,0.0582,76.993,0.224,75,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,2,5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,0.234,0.811,0.637,0.000572,0.118,-4.835,0.0591,92.025,0.471,87,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,3,0tjZv2hChdHZCW1zFXpy1J,HOY COBRÉ,spotify:track:0tjZv2hChdHZCW1zFXpy1J,0.0464,0.86,0.725,9.10E-05,0.0994,-6.7,0.249,145.001,0.375,78,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,4,0Lsis3LB0XAK6XlTHXaJk2,MALDITA POBREZA,spotify:track:0Lsis3LB0XAK6XlTHXaJk2,0.139,0.762,0.861,1.08E-06,0.0956,-4.075,0.0652,133.037,0.588,76,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,5,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,0.0303,0.856,0.618,0,0.0866,-4.892,0.286,81.993,0.391,88,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,6,23XjN1s3DZC8Q9ZwuorYY4,TE DESEO LO MEJOR,spotify:track:23XjN1s3DZC8Q9ZwuorYY4,0.158,0.763,0.597,1.83E-05,0.111,-5.054,0.0416,126.054,0.194,83,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,7,5fROvzNghPid8mbKNDYvpJ,YO VISTO ASÍ,spotify:track:5fROvzNghPid8mbKNDYvpJ,0.0947,0.688,0.881,0,0.0804,-4.889,0.0474,123.013,0.677,78,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,8,26QApq0cuO9brJigr0C0W4,HACIENDO QUE ME AMAS,spotify:track:26QApq0cuO9brJigr0C0W4,0.869,0.584,0.411,4.47E-05,0.0955,-7.147,0.0838,169.934,0.412,85,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,9,26w9NTiE9NGjW1ZvIOd1So,BOOKER T,spotify:track:26w9NTiE9NGjW1ZvIOd1So,0.114,0.883,0.6,7.94E-06,0.0931,-7.188,0.37,113.903,0.691,83,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,10,67ACYA3UI6QMNtHX6b34wX,LA DROGA,spotify:track:67ACYA3UI6QMNtHX6b34wX,0.0439,0.643,0.727,0,0.123,-5.506,0.0389,90.019,0.295,79,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,11,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,0.401,0.731,0.573,5.22E-05,0.113,-10.059,0.0544,109.928,0.145,88,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,12,09WAnxdBuebQopKhJT3oZS,TRELLAS,spotify:track:09WAnxdBuebQopKhJT3oZS,0.2,0.43,0.412,0,0.324,-5.372,0.0281,90.872,0.0508,74,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,13,5jZ32WOU7sqzDYbzINwMUk,SORRY PAPI,spotify:track:5jZ32WOU7sqzDYbzINwMUk,0.0601,0.612,0.561,0,0.145,-6.054,0.0851,191.911,0.393,79,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,14,3KJ3opyV29269SXkPrc19l,120,spotify:track:3KJ3opyV29269SXkPrc19l,0.451,0.636,0.656,7.97E-06,0.287,-5.542,0.0676,171.918,0.439,86,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,15,7kjEqI6eZ7YlFrGhxixnlN,ANTES QUE SE ACABE,spotify:track:7kjEqI6eZ7YlFrGhxixnlN,0.505,0.693,0.549,4.73E-05,0.324,-6.098,0.0577,139.988,0.473,83,Bad Bunny
EL ÚLTIMO TOUR DEL MUNDO,16,2Iv6YBslkxslMJQsxshZh5,CANTARES DE NAVIDAD,spotify:track:2Iv6YBslkxslMJQsxshZh5,0.777,0.764,0.523,0,0.352,-7.371,0.0406,118.671,0.962,63,Bad Bunny
LAS QUE NO IBAN A SALIR,1,1zaDh3qaGSeSmulNyWlUxm,SI ELLA SALE,spotify:track:1zaDh3qaGSeSmulNyWlUxm,0.0589,0.869,0.727,0.00991,0.107,-7.397,0.123,147.967,0.92,70,Bad Bunny
LAS QUE NO IBAN A SALIR,2,4EJHKSnHENfjOxXWryyNtL,MÁS DE UNA CITA,spotify:track:4EJHKSnHENfjOxXWryyNtL,0.0122,0.865,0.5,7.73E-05,0.098,-10.805,0.0861,92.976,0.317,73,Bad Bunny
LAS QUE NO IBAN A SALIR,3,0FktnzDqjClqU6iqOZVEs2,BYE ME FUI,spotify:track:0FktnzDqjClqU6iqOZVEs2,0.412,0.712,0.599,2.15E-05,0.103,-6.342,0.112,179.788,0.588,79,Bad Bunny
LAS QUE NO IBAN A SALIR,4,3pm4XtcsRIFFtH2UErk62R,CANCIÓN CON YANDEL,spotify:track:3pm4XtcsRIFFtH2UErk62R,0.447,0.75,0.741,0,0.121,-4.43,0.402,79.968,0.495,82,Bad Bunny
LAS QUE NO IBAN A SALIR,5,5XqCz18k96K8tx6DAYM97i,PA' ROMPERLA,spotify:track:5XqCz18k96K8tx6DAYM97i,0.016,0.772,0.83,0,0.0843,-5.019,0.0599,94.011,0.697,76,Bad Bunny
LAS QUE NO IBAN A SALIR,6,5bmSver2b3ZXyuyLKtgnFI,BAD CON NICKY,spotify:track:5bmSver2b3ZXyuyLKtgnFI,0.321,0.59,0.729,0,0.659,-4.95,0.0893,93.094,0.712,75,Bad Bunny
LAS QUE NO IBAN A SALIR,7,2CoMYp2uIKsT09nreEZnZn,BENDICIONES,spotify:track:2CoMYp2uIKsT09nreEZnZn,0.0378,0.828,0.581,0,0.103,-9.909,0.0725,143.995,0.843,74,Bad Bunny
LAS QUE NO IBAN A SALIR,8,6KFjMJJq8UZpfUyDgeH0Yl,CÓMO SE SIENTE - Remix,spotify:track:6KFjMJJq8UZpfUyDgeH0Yl,0.0926,0.813,0.616,0,0.122,-8.867,0.0773,93,0.347,0,Bad Bunny
LAS QUE NO IBAN A SALIR,9,3XZeOzJ9tqnu58YP6cqApI,RONCA FREESTYLE,spotify:track:3XZeOzJ9tqnu58YP6cqApI,0.165,0.856,0.656,0,0.0998,-6.483,0.131,90.041,0.586,70,Bad Bunny
LAS QUE NO IBAN A SALIR,10,2DhNdoHxavs7Qtf5MnhZD0,EN CASITA,spotify:track:2DhNdoHxavs7Qtf5MnhZD0,0.221,0.779,0.764,0.000669,0.0909,-8.217,0.0938,158.093,0.675,66,Bad Bunny
YHLQMDLG,1,41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,spotify:track:41wtwzCZkXwpnakmwJ239F,0.402,0.9,0.603,4.81E-06,0.134,-5.313,0.0646,129.928,0.824,88,Bad Bunny
YHLQMDLG,2,6NfrH0ANGmgBXyxgV2PeXt,La Difícil,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,0.0861,0.685,0.848,7.14E-06,0.0783,-4.561,0.0858,179.87,0.761,86,Bad Bunny
YHLQMDLG,3,75pQqzwgCjUOSSy5CpmAjy,Pero Ya No,spotify:track:75pQqzwgCjUOSSy5CpmAjy,0.0475,0.882,0.612,5.07E-06,0.182,-6.103,0.118,147.982,0.742,80,Bad Bunny
YHLQMDLG,4,69vlMrzHwATKzupwNcUPyK,La Santa,spotify:track:69vlMrzHwATKzupwNcUPyK,0.0326,0.744,0.868,0,0.0822,-4.524,0.047,93.037,0.586,90,Bad Bunny
YHLQMDLG,5,0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,spotify:track:0SqqAgdovOE24BzxIClpjw,0.021,0.86,0.758,6.54E-05,0.344,-5.16,0.0695,97.014,0.453,84,Bad Bunny
YHLQMDLG,6,4j4w4CXm6BSr0s25wAWrrX,Bichiyal,spotify:track:4j4w4CXm6BSr0s25wAWrrX,0.31,0.737,0.766,6.63E-06,0.114,-4.242,0.0458,93.956,0.662,84,Bad Bunny
YHLQMDLG,7,7sOfmPd18RWp3FoCzpa7Kw,Soliá,spotify:track:7sOfmPd18RWp3FoCzpa7Kw,0.117,0.71,0.81,0.000132,0.154,-5.507,0.0854,92.041,0.184,82,Bad Bunny
YHLQMDLG,8,5kqNIqFjijuzvVLhuY9B8j,La Zona,spotify:track:5kqNIqFjijuzvVLhuY9B8j,0.2,0.762,0.801,7.04E-05,0.254,-3.661,0.0409,93.992,0.81,89,Bad Bunny
YHLQMDLG,9,53v2u51nq3CxiKUNphRzP1,Que Malo,spotify:track:53v2u51nq3CxiKUNphRzP1,0.0832,0.802,0.787,0,0.153,-6.181,0.0599,94.026,0.446,82,Bad Bunny
YHLQMDLG,10,2n7ohqg1s68ToAHh4u9mcW,Vete,spotify:track:2n7ohqg1s68ToAHh4u9mcW,0.0363,0.886,0.672,8.78E-06,0.101,-4.394,0.188,91.976,0.526,81,Bad Bunny
YHLQMDLG,11,38RIEav39FGi86jppxO0du,Ignorantes,spotify:track:38RIEav39FGi86jppxO0du,0.267,0.85,0.536,3.89E-05,0.0996,-5.161,0.0599,96.029,0.505,80,Bad Bunny
YHLQMDLG,12,4r9jkMEnArtWGH2rL2FZl0,A Tu Merced,spotify:track:4r9jkMEnArtWGH2rL2FZl0,0.169,0.86,0.791,0.000106,0.106,-4.784,0.0568,92.023,0.887,92,Bad Bunny
YHLQMDLG,13,5J7teKIJGtqVypgYI6sqXj,Una Vez,spotify:track:5J7teKIJGtqVypgYI6sqXj,0.132,0.55,0.598,2.58E-06,0.0955,-5.402,0.0831,83.836,0.543,88,Bad Bunny
YHLQMDLG,14,2DEZmgHKAvm41k4J3R2E9Y,Safaera,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,0.0103,0.607,0.829,0,0.107,-4.074,0.379,96.172,0.685,86,Bad Bunny
YHLQMDLG,15,4NqQaovM14WR2hNPMFxgjb,25-Aug,spotify:track:4NqQaovM14WR2hNPMFxgjb,0.092,0.761,0.732,0,0.0716,-5.469,0.0549,151.982,0.542,79,Bad Bunny
YHLQMDLG,16,4saHEjXw7O1NXJOzBkUKKG,Está Cabrón Ser Yo,spotify:track:4saHEjXw7O1NXJOzBkUKKG,0.0732,0.81,0.854,0,0.123,-3.999,0.254,154.083,0.879,78,Bad Bunny
YHLQMDLG,17,5gCg2qMPzKkW4jS4dBKdDs,Puesto Pa' Guerrial,spotify:track:5gCg2qMPzKkW4jS4dBKdDs,0.311,0.867,0.686,0,0.1,-5.342,0.221,139.968,0.658,73,Bad Bunny
YHLQMDLG,18,0fgsKar6uBO08vzHXkTjWi,P FKN R,spotify:track:0fgsKar6uBO08vzHXkTjWi,0.409,0.82,0.635,0,0.244,-5.749,0.0772,101.024,0.528,75,Bad Bunny
YHLQMDLG,19,1V8XneTrX6kKeoxYbk4x6h,Hablamos Mañana,spotify:track:1V8XneTrX6kKeoxYbk4x6h,0.0869,0.683,0.677,0,0.0998,-4.496,0.0469,156.019,0.514,78,Bad Bunny
YHLQMDLG,20,4MZSqgwlE71CWZ6qQ3gkKm,<3,spotify:track:4MZSqgwlE71CWZ6qQ3gkKm,0.602,0.631,0.665,1.70E-06,0.152,-7.589,0.229,80.353,0.634,77,Bad Bunny
OASIS,1,71pEiUWwfDFiRO6RmFpnBf,MOJAITA,spotify:track:71pEiUWwfDFiRO6RmFpnBf,0.0171,0.45,0.842,0,0.377,-3.602,0.102,172.069,0.885,73,Bad Bunny
OASIS,2,0uIfrUwwg0Z7KTitul7E3T,YO LE LLEGO,spotify:track:0uIfrUwwg0Z7KTitul7E3T,0.0104,0.785,0.792,0,0.104,-4.695,0.0641,155.036,0.528,72,Bad Bunny
OASIS,3,6SYSu569pfYdkDT9A5lZqi,CUIDAO POR AHÍ,spotify:track:6SYSu569pfYdkDT9A5lZqi,0.111,0.845,0.813,0.00241,0.174,-2.979,0.077,90.98,0.586,69,Bad Bunny
OASIS,4,25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,spotify:track:25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,0.791,0,0.362,-4.443,0.253,92.603,0.939,83,Bad Bunny
OASIS,5,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,0.152,0.754,0.646,1.85E-05,0.108,-5.795,0.317,176.089,0.429,90,Bad Bunny
OASIS,6,7hynhxDoDpgMIV12JuVtNa,UN PESO,spotify:track:7hynhxDoDpgMIV12JuVtNa,0.125,0.627,0.675,0,0.0784,-7.125,0.213,79.31,0.961,82,Bad Bunny
OASIS,7,7alOsNr36sJ8CyOEP4aILq,ODIO,spotify:track:7alOsNr36sJ8CyOEP4aILq,0.215,0.74,0.698,0,0.116,-3.838,0.0388,139.99,0.529,73,Bad Bunny
OASIS,8,7knLcYCOSaURD0d7HUULFM,COMO UN BEBÉ,spotify:track:7knLcYCOSaURD0d7HUULFM,0.0732,0.825,0.807,4.79E-06,0.138,-5.753,0.0949,103.053,0.816,76,Bad Bunny
X 100PRE,1,278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,spotify:track:278kSqsZIiYp8p3QjYAqa8,0.556,0.826,0.449,1.85E-05,0.273,-8.33,0.0674,128.028,0.337,80,Bad Bunny
X 100PRE,2,5jGUJXnELDaDTgiRjD9lsg,200 Mph,spotify:track:5jGUJXnELDaDTgiRjD9lsg,0.0139,0.85,0.5,0.000384,0.0947,-6.708,0.0665,160.02,0.816,74,Bad Bunny
X 100PRE,3,6kN06eEOblRAuWI0xUUS91,¿Quien Tu Eres?,spotify:track:6kN06eEOblRAuWI0xUUS91,0.185,0.727,0.58,3.58E-06,0.125,-6.804,0.136,137.048,0.325,72,Bad Bunny
X 100PRE,4,6it15CsDlkqB7N4lF0C1qM,Caro,spotify:track:6it15CsDlkqB7N4lF0C1qM,0.627,0.651,0.575,0.000202,0.0961,-7.739,0.299,160.007,0.248,76,Bad Bunny
X 100PRE,5,5VQpJ2AY2iMzrRZKgcvNjh,Tenemos Que Hablar,spotify:track:5VQpJ2AY2iMzrRZKgcvNjh,0.146,0.855,0.512,0.000854,0.107,-8.165,0.0534,146.075,0.144,73,Bad Bunny
