album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Better Mistakes,2,1nil655gJpCzrbqiqC0NLX,Sabotage,spotify:track:1nil655gJpCzrbqiqC0NLX,0.438,0.562,0.565,0,0.138,-5.111,0.044,89.862,0.208,55,Bebe Rexha
Better Mistakes,3,6jm6543STio3hL0bHV2xZ8,Trust Fall,spotify:track:6jm6543STio3hL0bHV2xZ8,0.0804,0.593,0.697,0,0.43,-6.166,0.0911,79.045,0.226,49,Bebe Rexha
Better Mistakes,4,2HKWYj37hvdZ9xQNPW3GrD,Better Mistakes,spotify:track:2HKWYj37hvdZ9xQNPW3GrD,0.255,0.799,0.711,0.000169,0.0805,-7.604,0.126,123.963,0.712,47,Bebe Rexha
Better Mistakes,5,5fKTWlpV4hT7ujXV45WbtN,Sacrifice,spotify:track:5fKTWlpV4hT7ujXV45WbtN,0.0878,0.659,0.877,0,0.094,-5.089,0.0288,119.992,0.471,67,Bebe Rexha
Better Mistakes,6,3FcFDiiCEM1QPBdt3ON8H0,My Dear Love (feat. Ty Dolla $ign & Trevor Daniel),spotify:track:3FcFDiiCEM1QPBdt3ON8H0,0.236,0.702,0.662,0,0.203,-5.453,0.0329,96.997,0.301,47,Bebe Rexha
Better Mistakes,7,19EfF6QYRTk4LMntq1Kuhc,Die For a Man (feat. Lil Uzi Vert),spotify:track:19EfF6QYRTk4LMntq1Kuhc,0.0736,0.669,0.893,0,0.14,-3.319,0.0372,89.996,0.314,48,Bebe Rexha
Better Mistakes,8,5r0cOO77xkM5jjHk67Z2Lt,"Baby, I'm Jealous (feat. Doja Cat)",spotify:track:5r0cOO77xkM5jjHk67Z2Lt,0.0398,0.737,0.867,0,0.32,-2.259,0.0458,98.05,0.506,66,Bebe Rexha
Better Mistakes,9,63VYzrJIEVMcKEXRy3MiuH,On The Go (feat. Pink Sweat$ & Lunay),spotify:track:63VYzrJIEVMcKEXRy3MiuH,0.0749,0.716,0.709,0.00261,0.182,-4.683,0.0529,100.059,0.434,46,Bebe Rexha
Better Mistakes,10,07K1WRKXskn1izYOFPnl0A,Death Row,spotify:track:07K1WRKXskn1izYOFPnl0A,0.0933,0.644,0.853,8.58E-06,0.1,-4.655,0.122,128.417,0.574,43,Bebe Rexha
Better Mistakes,11,1LxLkxWL22Z9aJhkqrkUlz,Empty,spotify:track:1LxLkxWL22Z9aJhkqrkUlz,0.108,0.619,0.593,0.00064,0.506,-7.137,0.0354,126.097,0.172,42,Bebe Rexha
Better Mistakes,12,77AyJAWtrpoyi9ZDW4dn46,Amore (feat. Rick Ross),spotify:track:77AyJAWtrpoyi9ZDW4dn46,0.524,0.474,0.654,0,0.19,-5.863,0.0671,180.191,0.363,45,Bebe Rexha
Better Mistakes,13,016mggZAtUrDvsrEV6rMYj,Mama,spotify:track:016mggZAtUrDvsrEV6rMYj,0.419,0.445,0.54,2.42E-05,0.111,-5.744,0.0287,138.102,0.27,40,Bebe Rexha
Better Mistakes,1,3UjGudrhckjEQjKHLR3p5G,Break My Heart Myself (feat. Travis Barker),spotify:track:3UjGudrhckjEQjKHLR3p5G,0.31,0.751,0.857,0,0.0801,-4.385,0.0752,104.984,0.501,60,Bebe Rexha
Expectations,1,3hfPmifit8Rtc0zj9WYQlU,Ferrari,spotify:track:3hfPmifit8Rtc0zj9WYQlU,0.0161,0.577,0.48,0,0.104,-5.908,0.0297,76.54,0.422,54,Bebe Rexha
Expectations,2,04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,spotify:track:04ZTP5KsCypmtCmQg5tH9R,0.00281,0.63,0.694,0,0.0719,-6.257,0.0253,97.005,0.216,79,Bebe Rexha
Expectations,3,2dMUJy0El3BcQUy9gP9gt0,2 Souls on Fire (feat. Quavo),spotify:track:2dMUJy0El3BcQUy9gP9gt0,0.181,0.713,0.592,0,0.338,-4.621,0.0272,106.013,0.619,53,Bebe Rexha
Expectations,4,1B3o1yfiEDSQ0G5L9TDbhp,Shining Star,spotify:track:1B3o1yfiEDSQ0G5L9TDbhp,0.331,0.751,0.55,5.34E-05,0.186,-8.425,0.0457,130.092,0.57,47,Bebe Rexha
Expectations,5,7IOxauZfx5l18mYfX0GZm6,Knees,spotify:track:7IOxauZfx5l18mYfX0GZm6,0.0781,0.777,0.577,1.02E-06,0.0869,-6.872,0.0357,109.019,0.381,66,Bebe Rexha
Expectations,6,2jB9QaPJyVdz2Q0Va8rrnU,I Got You,spotify:track:2jB9QaPJyVdz2Q0Va8rrnU,0.0498,0.606,0.887,3.47E-06,0.0958,-4.782,0.052,97.972,0.349,67,Bebe Rexha
Expectations,7,14FmT2vkYihAs64ixAbk6t,Self Control,spotify:track:14FmT2vkYihAs64ixAbk6t,0.0593,0.652,0.773,0,0.0615,-4.815,0.0337,97.515,0.183,61,Bebe Rexha
Expectations,8,6xRwb6TnpsRIDWPbwktEmD,Sad,spotify:track:6xRwb6TnpsRIDWPbwktEmD,0.44,0.686,0.708,0,0.16,-4.432,0.0428,128.001,0.312,47,Bebe Rexha
Expectations,9,2SuKjwPDuZ7g6PFcBeGX3X,Mine,spotify:track:2SuKjwPDuZ7g6PFcBeGX3X,0.568,0.603,0.494,0,0.109,-7.397,0.199,174.063,0.47,46,Bebe Rexha
Expectations,10,0XbAySkD2xUPUudQ1a0kGc,Steady (feat. Tory Lanez),spotify:track:0XbAySkD2xUPUudQ1a0kGc,0.135,0.666,0.642,6.41E-05,0.118,-6.31,0.0427,94.018,0.321,50,Bebe Rexha
Expectations,11,4Of27nwjXcl2Pgo5VhnLQ5,Don't Get Any Closer,spotify:track:4Of27nwjXcl2Pgo5VhnLQ5,0.0109,0.555,0.499,0,0.0797,-7.147,0.0324,124.963,0.199,47,Bebe Rexha
Expectations,12,0xtu9tJlzxiPfHF82g6Xrp,Grace,spotify:track:0xtu9tJlzxiPfHF82g6Xrp,0.814,0.469,0.309,0,0.166,-10.358,0.0329,165.88,0.265,52,Bebe Rexha
Expectations,13,5MrNSHoWvFKjBQ7TRMkp9I,Pillow,spotify:track:5MrNSHoWvFKjBQ7TRMkp9I,0.133,0.622,0.476,0,0.269,-8.943,0.0378,77.023,0.213,43,Bebe Rexha
Expectations,14,4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),spotify:track:4e4fqjx0Izh4svvTef1z7e,0.0476,0.642,0.772,0,0.0646,-6.61,0.0848,153.995,0.589,75,Bebe Rexha
