album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
MALA SANTA,1,5e50NiIlOc2YJIftHzoehd,MALA SANTA,spotify:track:5e50NiIlOc2YJIftHzoehd,0.311,0.851,0.701,0.000211,0.163,-3.649,0.0396,98.039,0.527,72,Becky G
MALA SANTA,2,2uhMYJq2TODWBuZhHRrdWy,DOLLAR,spotify:track:2uhMYJq2TODWBuZhHRrdWy,0.205,0.876,0.512,0,0.663,-6.878,0.242,76.983,0.701,62,Becky G
MALA SANTA,3,5q4VCiu0mpLX3ObuZ77CYc,24-Jul,spotify:track:5q4VCiu0mpLX3ObuZ77CYc,0.0486,0.887,0.633,1.16E-05,0.109,-4.075,0.0896,91.99,0.892,59,Becky G
MALA SANTA,4,1x3up3nu4wFC1PCKpxddgh,SI SI,spotify:track:1x3up3nu4wFC1PCKpxddgh,0.141,0.902,0.65,0.0533,0.125,-3.678,0.0443,100.979,0.729,50,Becky G
MALA SANTA,5,56oworO3N4afW1jVPA6TCR,VÁMONOS,spotify:track:56oworO3N4afW1jVPA6TCR,0.0788,0.785,0.684,0.000125,0.118,-4.184,0.298,167.984,0.793,53,Becky G
MALA SANTA,6,5toFwwO0qh5MwDXuPYRLe2,MEJOR ASÍ,spotify:track:5toFwwO0qh5MwDXuPYRLe2,0.102,0.747,0.736,0.000241,0.138,-4.655,0.157,89.905,0.853,53,Becky G
MALA SANTA,7,1WM8ow5z3QyLEB5br1u7Y5,PELEAS,spotify:track:1WM8ow5z3QyLEB5br1u7Y5,0.18,0.754,0.702,0,0.123,-5.54,0.0994,159.898,0.53,49,Becky G
MALA SANTA,8,6qvTyqt6PDlkAbsRRv55xo,NO TE PERTENEZCO,spotify:track:6qvTyqt6PDlkAbsRRv55xo,0.2,0.908,0.571,3.63E-06,0.0978,-7.395,0.0899,94.99,0.708,53,Becky G
MALA SANTA,9,2GDyAwz1vg3p73aSgmjdtm,EN MI CONTRA,spotify:track:2GDyAwz1vg3p73aSgmjdtm,0.0413,0.808,0.496,0.00191,0.118,-6.46,0.231,90.017,0.281,51,Becky G
MALA SANTA,10,65tCqCMNr7tGPSAWFVGvat,ME ACOSTUMBRÉ,spotify:track:65tCqCMNr7tGPSAWFVGvat,0.0783,0.868,0.628,0.000113,0.116,-4.477,0.125,91.012,0.618,53,Becky G
MALA SANTA,11,669yKzDjTWdKyB2KnTbhxG,NI DE TI NI DE NADIE,spotify:track:669yKzDjTWdKyB2KnTbhxG,0.326,0.718,0.692,0,0.105,-4.77,0.501,184,0.535,53,Becky G
MALA SANTA,12,2c01EKNE0HjmQCBG9zLHAg,SUBIENDO,spotify:track:2c01EKNE0HjmQCBG9zLHAg,0.0789,0.692,0.65,0,0.123,-5.668,0.266,172.06,0.421,51,Becky G
MALA SANTA,13,2y6EbYibgxMVQ0T5YjZYWN,TE SUPERÉ,spotify:track:2y6EbYibgxMVQ0T5YjZYWN,0.055,0.738,0.783,0,0.125,-4.576,0.0693,176.027,0.699,59,Becky G
MALA SANTA,14,74wEiOpnvCe1tCTWKGSYta,Cuando Te Besé,spotify:track:74wEiOpnvCe1tCTWKGSYta,0.3,0.78,0.731,2.45E-06,0.0981,-4.003,0.162,100.044,0.338,73,Becky G
MALA SANTA,15,62vDrkBEyJYEOFj1ScBqM7,Sin Pijama,spotify:track:62vDrkBEyJYEOFj1ScBqM7,0.352,0.788,0.745,4.56E-05,0.0973,-4.417,0.0448,94.002,0.79,72,Becky G
MALA SANTA,16,2AY1UAimvTqjJC8vDJsOyy,Mayores,spotify:track:2AY1UAimvTqjJC8vDJsOyy,0.145,0.745,0.836,0.00314,0.116,-4.336,0.0444,96.993,0.874,75,Becky G
