album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Only Honest On The Weekend (Deluxe),1,02em5H1JIgXssJzQKN6h4M,Run,spotify:track:02em5H1JIgXssJzQKN6h4M,0.0417,0.606,0.883,0,0.0761,-2.71,0.0379,124.026,0.569,59,Becky Hill
Only Honest On The Weekend (Deluxe),1,3WUSeDStXyrybmiHEH0aO3,Personally,spotify:track:3WUSeDStXyrybmiHEH0aO3,0.209,0.453,0.477,0,0.279,-7.664,0.154,105.056,0.439,64,Becky Hill
Only Honest On The Weekend (Deluxe),2,1L48gbJGkwp5hGRsZ8dQCE,Here For You,spotify:track:1L48gbJGkwp5hGRsZ8dQCE,0.163,0.33,0.782,0.00154,0.287,-3.383,0.0449,173.928,0.0387,41,Becky Hill
Only Honest On The Weekend (Deluxe),3,5tUnegdDwcCbM514Yqyabw,Hold On,spotify:track:5tUnegdDwcCbM514Yqyabw,0.01,0.546,0.668,6.67E-05,0.102,-6.017,0.0345,86.021,0.147,40,Becky Hill
Only Honest On The Weekend (Deluxe),4,77n0mBXfcvN7W2csCdRqdo,Remember - Acoustic,spotify:track:77n0mBXfcvN7W2csCdRqdo,0.796,0.626,0.382,0,0.188,-8.628,0.0383,118.743,0.508,47,Becky Hill
Only Honest On The Weekend (Deluxe),5,2rbwySrVbJZjzv348w476h,Space,spotify:track:2rbwySrVbJZjzv348w476h,0.0102,0.547,0.809,0,0.133,-5.652,0.0492,121.968,0.331,41,Becky Hill
Only Honest On The Weekend,1,1EG3ata2XhUsu1XaokvLZV,I Got You,spotify:track:1EG3ata2XhUsu1XaokvLZV,0.0746,0.568,0.728,4.20E-06,0.349,-4.418,0.182,195.984,0.62,51,Becky Hill
Only Honest On The Weekend,2,54EL4HvZbEhG6pvrAGXGNQ,Last Time,spotify:track:54EL4HvZbEhG6pvrAGXGNQ,0.291,0.731,0.793,0,0.14,-2.36,0.0744,123.901,0.752,60,Becky Hill
Only Honest On The Weekend,3,0cJ19SMVX83SJnNfIjmX8c,Make It Hard To Love You,spotify:track:0cJ19SMVX83SJnNfIjmX8c,0.0291,0.716,0.815,0,0.136,-3.909,0.0445,121.992,0.531,50,Becky Hill
Only Honest On The Weekend,4,3kHVz4Vq7ab4RN7WrcJLdp,Better Off Without You (feat. Shift K3Y),spotify:track:3kHVz4Vq7ab4RN7WrcJLdp,0.0679,0.692,0.858,0,0.0944,-3.268,0.0418,124.014,0.278,59,Becky Hill
Only Honest On The Weekend,5,6feiJqgHqeSvkGUzf11AYs,Remember (and David Guetta),spotify:track:6feiJqgHqeSvkGUzf11AYs,0.0682,0.626,0.864,0,0.087,-3.12,0.0378,123.833,0.555,75,Becky Hill
