album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
FRIENDS KEEP SECRETS 2,1,6VX9VzdCkJn0C3zCQlMHAL,Lonely (with benny blanco),spotify:track:6VX9VzdCkJn0C3zCQlMHAL,0.868,0.636,0.239,0,0.115,-7.048,0.0394,79.723,0.0997,29,benny blanco
FRIENDS KEEP SECRETS 2,2,1k7e3WDAZUoULF3WfY1lTq,Lost (with 6 Dogs),spotify:track:1k7e3WDAZUoULF3WfY1lTq,0.125,0.497,0.353,0,0.0785,-9.641,0.108,143.916,0.169,36,benny blanco
FRIENDS KEEP SECRETS 2,3,0eT4sEeeudOolC4hivApL9,Unlearn (with Gracie Abrams),spotify:track:0eT4sEeeudOolC4hivApL9,0.896,0.505,0.217,0,0.107,-12.269,0.16,138.199,0.209,62,benny blanco
FRIENDS KEEP SECRETS 2,4,3tE8IIjFgalbMK9bEVU9YO,Real Shit (with benny blanco),spotify:track:3tE8IIjFgalbMK9bEVU9YO,0.608,0.684,0.711,0,0.12,-4.688,0.163,152.036,0.694,32,benny blanco
FRIENDS KEEP SECRETS 2,5,3wCk9LASPqyp2VovekThtF,You (with Marshmello & Vance Joy),spotify:track:3wCk9LASPqyp2VovekThtF,0.054,0.667,0.572,2.01E-06,0.109,-6.416,0.041,103.077,0.272,65,benny blanco
FRIENDS KEEP SECRETS 2,6,5E9YnE354Ua2h05nu4lmcA,Graduation (with Juice WRLD),spotify:track:5E9YnE354Ua2h05nu4lmcA,0.109,0.728,0.643,0,0.123,-5.353,0.248,155.009,0.62,68,benny blanco
FRIENDS KEEP SECRETS 2,7,296wnQ0NPmj0hwpdhICSRy,Care (with Omar Apollo),spotify:track:296wnQ0NPmj0hwpdhICSRy,0.759,0.618,0.215,0.00962,0.109,-12.8,0.04,90.004,0.214,50,benny blanco
FRIENDS KEEP SECRETS,1,7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),spotify:track:7FGq80cy8juXBCD2nrqdWU,0.549,0.632,0.686,0,0.2,-7.665,0.243,89.949,0.329,78,benny blanco
FRIENDS KEEP SECRETS,2,1KVczjazCcCCgM3gXXUl47,Roses (with Juice WRLD feat. Brendon Urie),spotify:track:1KVczjazCcCCgM3gXXUl47,0.168,0.612,0.601,0,0.117,-7.089,0.164,147.018,0.525,75,benny blanco
FRIENDS KEEP SECRETS,3,6Rfs2oVALQmUodC9DURPED,Just For Us Pt. 2,spotify:track:6Rfs2oVALQmUodC9DURPED,0.95,0.341,0.0549,0.276,0.122,-13.5,0.0422,116.691,0.0388,38,benny blanco
FRIENDS KEEP SECRETS,4,1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),spotify:track:1kQhi22kyluRCnIPAXtxEZ,0.0264,0.79,0.865,0.0892,0.24,-4.159,0.0438,122.99,0.362,58,benny blanco
FRIENDS KEEP SECRETS,5,6fq5GyXeT7kfzkK97b9rGC,Better to Lie (with Jesse & Swae Lee),spotify:track:6fq5GyXeT7kfzkK97b9rGC,0.0514,0.773,0.617,8.00E-06,0.11,-7.545,0.0672,155.026,0.551,50,benny blanco
FRIENDS KEEP SECRETS,6,0v56EFhzpi5Gs5zeGx3IGO,More/Diamond Ring (feat. Ty Dolla $ign & 6LACK),spotify:track:0v56EFhzpi5Gs5zeGx3IGO,0.813,0.489,0.446,4.83E-05,0.096,-9.468,0.298,75.343,0.299,45,benny blanco
FRIENDS KEEP SECRETS,7,1EIp5b5DgFGvYQpHjYi7J4,Break My Heart (feat. Ryan Beatty),spotify:track:1EIp5b5DgFGvYQpHjYi7J4,0.738,0.421,0.455,0.00534,0.12,-8.849,0.0734,104.609,0.178,36,benny blanco
