album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
The Lion King: The Gift [Deluxe Edition],11,15PJ40rcij5eTMSs71uRlq,OTHERSIDE,spotify:track:15PJ40rcij5eTMSs71uRlq,0.94,0.33,0.244,0.00466,0.0969,-9.508,0.0339,136.344,0.4,47,Beyonce
The Lion King: The Gift [Deluxe Edition],13,08xkNDko1wfeqOZdkCXC9K,SCAR,spotify:track:08xkNDko1wfeqOZdkCXC9K,0.284,0.576,0.434,1.56E-06,0.118,-7.769,0.0491,118.259,0.0588,47,Beyonce
The Lion King: The Gift [Deluxe Edition],15,16NfpiFEck1VUNP1rbmWaH,BLACK PARADE - Extended Version,spotify:track:16NfpiFEck1VUNP1rbmWaH,0.00333,0.807,0.544,1.67E-05,0.146,-5.875,0.0409,120.006,0.0541,50,Beyonce
The Lion King: The Gift [Deluxe Edition],16,1g0k1bFcLKyIrdsdUkF3eW,FIND YOUR WAY BACK - MELO-X Remix,spotify:track:1g0k1bFcLKyIrdsdUkF3eW,0.0227,0.777,0.588,0.0545,0.267,-9.759,0.0756,119.109,0.195,58,Beyonce
The Lion King: The Gift [Deluxe Edition],17,1TeDbA2Hfy14sEjoUvZ8Pa,BLACK PARADE,spotify:track:1TeDbA2Hfy14sEjoUvZ8Pa,0.00337,0.824,0.555,6.42E-06,0.217,-5.817,0.05,120.002,0.0611,51,Beyonce
The Lion King: The Gift,1,1RMvRv1tAvWXgYdH8DUdLX,balance (mufasa interlude),spotify:track:1RMvRv1tAvWXgYdH8DUdLX,0.533,0.386,0.288,0.0167,0.141,-18.513,0.0602,76.796,0.399,40,Beyonce
The Lion King: The Gift,2,4R2KJOgEUP2qO3re9BwIhs,BIGGER,spotify:track:4R2KJOgEUP2qO3re9BwIhs,0.645,0.484,0.363,0,0.125,-8.094,0.0368,127.822,0.201,54,Beyonce
The Lion King: The Gift,3,50QREAhIciZoAiRNtyELEh,the stars (mufasa interlude),spotify:track:50QREAhIciZoAiRNtyELEh,0.199,0.537,0.247,1.04E-05,0.423,-17.75,0.0793,109.981,0.17,41,Beyonce
The Lion King: The Gift,4,65kk9CAAqFI3LWBEhUwVqd,FIND YOUR WAY BACK,spotify:track:65kk9CAAqFI3LWBEhUwVqd,0.2,0.672,0.696,0.0275,0.0736,-6.693,0.177,118.742,0.642,58,Beyonce
The Lion King: The Gift,5,4KJ3NHQvLjA0hB2nv43cxD,uncle scar (scar interlude),spotify:track:4KJ3NHQvLjA0hB2nv43cxD,0.524,0,0.00515,0.95,0.114,-22.612,0,0,0,0,Beyonce
The Lion King: The Gift,6,1yvFoBp2Bq1ilD0518ZpQx,DON'T JEALOUS ME,spotify:track:1yvFoBp2Bq1ilD0518ZpQx,0.0184,0.932,0.775,0.0157,0.318,-5.345,0.115,119.976,0.584,59,Beyonce
The Lion King: The Gift,7,6Y6BbZoYe2mNLceeoUZdoT,danger (young simba & young nala interlude),spotify:track:6Y6BbZoYe2mNLceeoUZdoT,0.0306,0.563,0.47,0.661,0.283,-13.47,0.147,95.011,0.186,1,Beyonce
The Lion King: The Gift,8,6pdip6qgVJOI5JxqgbAlu6,JA ARA E,spotify:track:6pdip6qgVJOI5JxqgbAlu6,0.042,0.79,0.693,0.0267,0.079,-5.767,0.0605,91.991,0.855,59,Beyonce
The Lion King: The Gift,9,19omXUq2TcREoUoHqbVLTq,run away (scar & young simba interlude),spotify:track:19omXUq2TcREoUoHqbVLTq,0.491,0.489,0.353,2.17E-05,0.229,-17.619,0.664,127.814,0.175,9,Beyonce
The Lion King: The Gift,10,0lboDHM9hSR5j5CFlWDR9k,NILE,spotify:track:0lboDHM9hSR5j5CFlWDR9k,0.738,0.484,0.457,0,0.536,-9.458,0.204,83.493,0.342,51,Beyonce
The Lion King: The Gift,11,3c3XyNDlGm6607OfqGyBHa,"new lesson (timon, pumbaa & young simba interlude)",spotify:track:3c3XyNDlGm6607OfqGyBHa,0.703,0.494,0.411,0,0.156,-15.021,0.771,77.539,0.403,40,Beyonce
The Lion King: The Gift,12,7oqftogUN82Q7VNy2TmTJW,MOOD 4 EVA (feat. Oumou Sangaré),spotify:track:7oqftogUN82Q7VNy2TmTJW,0.119,0.608,0.709,0,0.337,-6.175,0.374,105.742,0.709,59,Beyonce
The Lion King: The Gift,13,1T41VK2fuFYbsXjIM7qKif,reunited (nala & simba interlude),spotify:track:1T41VK2fuFYbsXjIM7qKif,0.756,0,0.558,0,0.533,-17.238,0,0,0,0,Beyonce
The Lion King: The Gift,14,5vIiGOCqhPwnQDZhWhewGU,WATER,spotify:track:5vIiGOCqhPwnQDZhWhewGU,0.0984,0.804,0.823,3.78E-06,0.246,-3.667,0.0745,124.062,0.489,58,Beyonce
The Lion King: The Gift,15,0B3FovCVaGKS5w1FTidEUP,BROWN SKIN GIRL,spotify:track:0B3FovCVaGKS5w1FTidEUP,0.049,0.603,0.602,0,0.279,-7.083,0.23,119.703,0.595,68,Beyonce
The Lion King: The Gift,16,5DgGXyOQGaAvyhMEAdn164,come home (nala interlude),spotify:track:5DgGXyOQGaAvyhMEAdn164,0.783,0,0.186,0.00014,0.333,-17.37,0,0,0,0,Beyonce
The Lion King: The Gift,17,3KZK9MF3bAixN5UWOHVTbf,KEYS TO THE KINGDOM,spotify:track:3KZK9MF3bAixN5UWOHVTbf,0.0057,0.731,0.674,2.54E-05,0.109,-6.704,0.0801,90.022,0.73,53,Beyonce
