album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Glory (Deluxe),1,6wZgnzxBD8n7tdIyIcrgQB,Invitation,spotify:track:6wZgnzxBD8n7tdIyIcrgQB,0.0314,0.369,0.667,4.95E-05,0.0952,-7.216,0.182,113.022,0.2,43,Britney Spears
Glory (Deluxe),8,5xohcwt1FZVGBzdfNRMhfp,Slumber Party,spotify:track:5xohcwt1FZVGBzdfNRMhfp,0.227,0.733,0.784,0,0.0766,-7.023,0.0715,135.028,0.455,44,Britney Spears
Glory (Deluxe),18,6NKjfTR7VV2oJnCeKVPNSw,Mood Ring (By Demand),spotify:track:6NKjfTR7VV2oJnCeKVPNSw,0.204,0.479,0.441,0,0.152,-9.303,0.0679,104.816,0.288,47,Britney Spears
Glory (Deluxe),19,1eICo4HFsizq3z9xnT3pcd,Swimming In The Stars,spotify:track:1eICo4HFsizq3z9xnT3pcd,0.00095,0.507,0.826,0,0.0928,-5.36,0.0684,139.782,0.504,43,Britney Spears
Glory (Deluxe),21,3PHuhdDHBUEPZTCANtHXct,Mood Ring (By Demand) - Pride Remix,spotify:track:3PHuhdDHBUEPZTCANtHXct,0.000721,0.623,0.799,0.00885,0.1,-5.17,0.0304,119.989,0.639,44,Britney Spears
Glory (Deluxe),22,12SmfIw4nxJ6WHE3b3ly3P,Mood Ring (By Demand) - Wuki Remix,spotify:track:12SmfIw4nxJ6WHE3b3ly3P,0.000383,0.776,0.821,0.00438,0.125,-5.477,0.0468,121.989,0.654,35,Britney Spears
Glory (Deluxe),23,1CxvhiXRnEoEFtN0YwRggY,Mood Ring (By Demand) - Ape Drums Remix,spotify:track:1CxvhiXRnEoEFtN0YwRggY,0.153,0.821,0.594,0.000199,0.0587,-3.981,0.0681,104.995,0.873,34,Britney Spears
Glory (Deluxe),20,2ZUJj80Mfmj13MKJXf9pnP,Matches,spotify:track:2ZUJj80Mfmj13MKJXf9pnP,0.0451,0.957,0.507,0,0.0543,-6.206,0.0539,123.998,0.817,53,Britney Spears
Glory : Japan Tour Edition,18,69oF3Fr0A1BNTGY8oYZOC5,Mood Ring,spotify:track:69oF3Fr0A1BNTGY8oYZOC5,0.208,0.52,0.45,0,0.188,-9.128,0.068,104.799,0.313,12,Britney Spears
Glory : Japan Tour Edition,1,0MLZEyLFMbsk033Lqati9F,Work B**ch,spotify:track:0MLZEyLFMbsk033Lqati9F,0.155,0.629,0.824,0.000628,0.0651,-6.53,0.159,128.01,0.852,17,Britney Spears
Glory : Japan Tour Edition,2,3s0C4p4iso1oCBMoIPNpze,Womanizer - Remastered,spotify:track:3s0C4p4iso1oCBMoIPNpze,0.0671,0.716,0.69,0,0.131,-5.239,0.0713,139.007,0.233,8,Britney Spears
Glory : Japan Tour Edition,3,61Uu401cJZ10tvcmDBhbnX,Piece of Me - Remastered,spotify:track:61Uu401cJZ10tvcmDBhbnX,0.0998,0.764,0.644,0,0.0986,-5.046,0.253,114.961,0.775,6,Britney Spears
Glory : Japan Tour Edition,4,5m86s0QWwFs696rnpdgAOB,Me Against the Music - Dragon Man Mix,spotify:track:5m86s0QWwFs696rnpdgAOB,0.12,0.543,0.902,0,0.321,-6.82,0.398,143.034,0.644,7,Britney Spears
Glory : Japan Tour Edition,5,35KffpPZWszHsCCSczDip5,Gimme More - Remastered,spotify:track:35KffpPZWszHsCCSczDip5,0.274,0.794,0.84,0.00545,0.0578,-3.426,0.0324,113.317,0.433,8,Britney Spears
Glory : Japan Tour Edition,6,4vPyQ7jv4vxgeu3bD7kgHu,Everytime - Remastered,spotify:track:4vPyQ7jv4vxgeu3bD7kgHu,0.972,0.564,0.271,3.45E-05,0.121,-13.369,0.0311,109.565,0.113,9,Britney Spears
Glory : Japan Tour Edition,7,3OhKBya9hv1PufHL0QBceV,...Baby One More Time - Remastered,spotify:track:3OhKBya9hv1PufHL0QBceV,0.187,0.755,0.774,0.000129,0.553,-4.114,0.0331,92.976,0.904,11,Britney Spears
Glory : Japan Tour Edition,8,0U4Y2eJjZMXdwhyY4GLcQo,Oops!...I Did It Again - Remastered,spotify:track:0U4Y2eJjZMXdwhyY4GLcQo,0.294,0.768,0.816,0.000106,0.262,-5.547,0.0461,95.077,0.881,9,Britney Spears
Glory : Japan Tour Edition,9,2m0nQOCVxvVkHO453sn8TF,Boys - 2009 Remaster,spotify:track:2m0nQOCVxvVkHO453sn8TF,0.0807,0.888,0.745,0.000737,0.036,-2.336,0.0629,107.017,0.833,4,Britney Spears
Glory : Japan Tour Edition,11,7f2MN7OeTOkSlrrpyT5FrQ,I'm a Slave 4 U - Remastered,spotify:track:7f2MN7OeTOkSlrrpyT5FrQ,0.481,0.845,0.814,0.000103,0.0641,-3.772,0.0942,109.991,0.965,6,Britney Spears
Glory : Japan Tour Edition,13,5hwGMBQ4dL1k8ybCGuZVuu,Do Somethin',spotify:track:5hwGMBQ4dL1k8ybCGuZVuu,0.0296,0.837,0.939,3.38E-05,0.346,-3.289,0.0654,129.965,0.963,17,Britney Spears
Glory : Japan Tour Edition,14,3v7OIbEBugGa9Cq7wDmxAH,Circus - Remastered,spotify:track:3v7OIbEBugGa9Cq7wDmxAH,0.133,0.791,0.733,0.000222,0.0886,-5.245,0.0505,114.967,0.706,8,Britney Spears
Glory : Japan Tour Edition,18,4Occ9qCWN6wzgHZP79soIP,Toxic - Remastered,spotify:track:4Occ9qCWN6wzgHZP79soIP,0.0443,0.788,0.864,0.108,0.231,-3.343,0.141,143.008,0.911,12,Britney Spears
Glory : Japan Tour Edition,19,3kbVRlQPghJ1yYbNgFBD2g,Stronger - Remastered,spotify:track:3kbVRlQPghJ1yYbNgFBD2g,0.174,0.706,0.954,0.0142,0.623,-2.875,0.0604,108.039,0.842,5,Britney Spears
Glory (Deluxe Version),2,0nUGa8WQpQqg2vzJUprEo5,Make Me... (feat. G-Eazy),spotify:track:0nUGa8WQpQqg2vzJUprEo5,0.146,0.701,0.7,0,0.206,-6.672,0.0925,122.984,0.592,61,Britney Spears
Glory (Deluxe Version),3,1Pk4BGCEwlTKgDhKNZUbRg,Private Show,spotify:track:1Pk4BGCEwlTKgDhKNZUbRg,0.221,0.753,0.456,0,0.449,-5.892,0.0419,112.519,0.523,41,Britney Spears
Glory (Deluxe Version),4,1Jp3egueDGwbrgylNPws6F,Man On The Moon,spotify:track:1Jp3egueDGwbrgylNPws6F,0.0311,0.711,0.668,9.51E-06,0.101,-5.962,0.0385,110.026,0.318,43,Britney Spears
Glory (Deluxe Version),5,6yyZu4GqZ4u1WUY9EHy6Wj,Just Luv Me,spotify:track:6yyZu4GqZ4u1WUY9EHy6Wj,0.158,0.616,0.492,0.0071,0.139,-9.79,0.0609,91.997,0.361,44,Britney Spears
Glory (Deluxe Version),6,3ZLnlVXe06mavQFjD4PBR3,Clumsy,spotify:track:3ZLnlVXe06mavQFjD4PBR3,0.0578,0.774,0.473,0,0.0888,-7.07,0.131,103.884,0.362,41,Britney Spears
Glory (Deluxe Version),7,29MOQfRQS4b7ptGsbbSRVi,Do You Wanna Come Over?,spotify:track:29MOQfRQS4b7ptGsbbSRVi,0.00618,0.751,0.696,0.00258,0.107,-6.027,0.0657,121,0.446,52,Britney Spears
Glory (Deluxe Version),8,2i9q8CteBmpslOJeQdMGqA,Slumber Party feat. Tinashe,spotify:track:2i9q8CteBmpslOJeQdMGqA,0.322,0.752,0.784,0,0.11,-4.941,0.0754,135.039,0.464,61,Britney Spears
Glory (Deluxe Version),9,2UalvsKqlhHShfzYTV2LkT,Just Like Me,spotify:track:2UalvsKqlhHShfzYTV2LkT,0.0734,0.751,0.591,1.82E-05,0.108,-7.091,0.0451,101.942,0.563,42,Britney Spears
Glory (Deluxe Version),10,2E8MXBzwmLJPXzhqoziRRe,Love Me Down,spotify:track:2E8MXBzwmLJPXzhqoziRRe,0.00592,0.657,0.645,0.000199,0.236,-6.52,0.0603,91.988,0.658,41,Britney Spears
Glory (Deluxe Version),11,3e1UBmb9i92xeCjwukljSc,Hard To Forget Ya,spotify:track:3e1UBmb9i92xeCjwukljSc,0.0168,0.672,0.743,0,0.0443,-6.073,0.0909,114.994,0.36,37,Britney Spears
Glory (Deluxe Version),12,3edcgP9BqXAwdyhblIiASA,What You Need,spotify:track:3edcgP9BqXAwdyhblIiASA,0.458,0.698,0.709,0,0.0967,-5.055,0.253,153.776,0.859,37,Britney Spears
Glory (Deluxe Version),13,31fsj6wSyLkOGVWDsJAsAF,Better,spotify:track:31fsj6wSyLkOGVWDsJAsAF,0.0189,0.657,0.824,0.00108,0.0859,-3.155,0.0347,96.996,0.76,39,Britney Spears
Glory (Deluxe Version),14,1SEzEo04ivkvN8x6rppuwD,Change Your Mind (No Seas Cortes),spotify:track:1SEzEo04ivkvN8x6rppuwD,0.13,0.757,0.69,0,0.108,-7.923,0.162,117.937,0.652,47,Britney Spears
Glory (Deluxe Version),15,5hj8bVmhltSOVIXY9HNFi8,Liar,spotify:track:5hj8bVmhltSOVIXY9HNFi8,0.00705,0.59,0.776,1.69E-05,0.414,-5.272,0.0705,159.946,0.81,43,Britney Spears
Glory (Deluxe Version),16,7AzuAVNOs7yg0BozFJF09p,If I'm Dancing,spotify:track:7AzuAVNOs7yg0BozFJF09p,0.0593,0.807,0.859,0.00127,0.0277,-5.526,0.0633,124.011,0.707,40,Britney Spears
Glory (Deluxe Version),17,4j5YzAphVCaOIgEWsenWlx,Coupure Électrique,spotify:track:4j5YzAphVCaOIgEWsenWlx,0.689,0.771,0.463,0.00487,0.195,-8.932,0.0425,110.035,0.492,37,Britney Spears
Britney Jean (Deluxe Version),1,3eBxSM7L8AL5wcYd1t4NC0,Alien,spotify:track:3eBxSM7L8AL5wcYd1t4NC0,0.262,0.611,0.732,0.00352,0.266,-6.078,0.0314,111.984,0.375,44,Britney Spears
Britney Jean (Deluxe Version),2,3KliPMvk1EvFZu9cvkj8p1,Work Bitch,spotify:track:3KliPMvk1EvFZu9cvkj8p1,0.155,0.629,0.824,0.000628,0.0651,-6.53,0.159,128.01,0.852,75,Britney Spears
Britney Jean (Deluxe Version),3,0DOgMeHlNponAEqczZoxX0,Perfume,spotify:track:0DOgMeHlNponAEqczZoxX0,0.452,0.39,0.557,0,0.125,-6.344,0.0521,79.34,0.317,56,Britney Spears
Britney Jean (Deluxe Version),4,6M3ldm7rniOAMGamL68cog,It Should Be Easy (feat. will.i.am),spotify:track:6M3ldm7rniOAMGamL68cog,0.246,0.706,0.56,0,0.0807,-5.482,0.0777,129.851,0.539,42,Britney Spears
Britney Jean (Deluxe Version),5,4mWmOPT9SIWWSJxc4qT7If,Tik Tik Boom (feat. T.I.),spotify:track:4mWmOPT9SIWWSJxc4qT7If,0.238,0.751,0.767,0,0.562,-6.477,0.0639,134.851,0.56,41,Britney Spears
Britney Jean (Deluxe Version),6,45MpoG2B3CEHoZa8OhrAw2,Body Ache,spotify:track:45MpoG2B3CEHoZa8OhrAw2,0.128,0.696,0.587,2.17E-05,0.106,-6.992,0.059,128.003,0.581,40,Britney Spears
Britney Jean (Deluxe Version),7,6I9livBOOwAOV5YcVa9Npk,Til It's Gone,spotify:track:6I9livBOOwAOV5YcVa9Npk,0.0187,0.587,0.693,0,0.165,-5.348,0.0614,127.991,0.396,41,Britney Spears
Britney Jean (Deluxe Version),8,3ZmxqcNIPVDOLVgyjQW4Lb,Passenger,spotify:track:3ZmxqcNIPVDOLVgyjQW4Lb,0.127,0.478,0.856,0,0.158,-4.274,0.101,89.863,0.339,39,Britney Spears
Britney Jean (Deluxe Version),9,5zNkxQzn7HNUyYTSUnw577,Chillin' With You (feat. Jamie Lynn),spotify:track:5zNkxQzn7HNUyYTSUnw577,0.209,0.75,0.752,9.14E-05,0.131,-5.776,0.0399,140.001,0.527,46,Britney Spears
Britney Jean (Deluxe Version),10,7z7CFkyOOAggoMDoSQgZvA,Don't Cry,spotify:track:7z7CFkyOOAggoMDoSQgZvA,0.34,0.678,0.515,0,0.641,-6.313,0.0326,139.931,0.513,37,Britney Spears
