album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
An Evening With Silk Sonic,1,4K09vJ27xCOreumtSuU6Ao,Silk Sonic Intro,spotify:track:4K09vJ27xCOreumtSuU6Ao,0.097,0.696,0.553,3.91E-06,0.617,-8.702,0.0759,114.993,0.674,58,Bruno Mars
An Evening With Silk Sonic,7,2K6vUau7bnZUamjbRSOOvJ,777,spotify:track:2K6vUau7bnZUamjbRSOOvJ,0.00269,0.836,0.622,0.000566,0.335,-11.003,0.0946,102.015,0.892,63,Bruno Mars
An Evening With Silk Sonic,9,2ALh2jqA7KldpHMUHvRomw,Love's Train,spotify:track:2ALh2jqA7KldpHMUHvRomw,0.0396,0.711,0.605,2.29E-05,0.104,-9.801,0.031,140.981,0.807,63,Bruno Mars
An Evening With Silk Sonic,2,02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,spotify:track:02VBYrHfVwfEWXk5DXyf0T,0.182,0.586,0.616,0,0.0927,-7.964,0.0324,148.088,0.719,82,Bruno Mars
An Evening With Silk Sonic,3,3a6FcTyvSf0ED3VXeH3PJ5,Fly As Me,spotify:track:3a6FcTyvSf0ED3VXeH3PJ5,0.00756,0.783,0.627,0,0.0606,-8.521,0.102,100.025,0.48,65,Bruno Mars
An Evening With Silk Sonic,4,3jiKUMXqwEodB7gVv1RMZU,After Last Night (with Thundercat & Bootsy Collins),spotify:track:3jiKUMXqwEodB7gVv1RMZU,0.0297,0.651,0.703,0,0.0608,-8.958,0.0816,140.051,0.647,67,Bruno Mars
An Evening With Silk Sonic,5,3xVZYkcuWalGudeKl861wb,Smokin Out The Window,spotify:track:3xVZYkcuWalGudeKl861wb,0.0558,0.627,0.618,0,0.351,-8.529,0.0437,82.03,0.848,80,Bruno Mars
An Evening With Silk Sonic,6,5f7UJCMrA1VRLvbPrq1h0G,Put On A Smile,spotify:track:5f7UJCMrA1VRLvbPrq1h0G,0.0471,0.548,0.627,0,0.285,-8.949,0.0409,143.994,0.493,61,Bruno Mars
An Evening With Silk Sonic,8,7jvCeWOSnJs2N3spqobWnO,Skate,spotify:track:7jvCeWOSnJs2N3spqobWnO,0.037,0.708,0.598,0,0.17,-8.365,0.0291,112.027,0.698,73,Bruno Mars
An Evening With Silk Sonic,10,2kpoReN3MY7I0tSF902n0z,Blast Off,spotify:track:2kpoReN3MY7I0tSF902n0z,0.0363,0.482,0.548,2.28E-06,0.3,-9.946,0.0373,76.017,0.346,65,Bruno Mars
24K Magic,1,6b8Be6ljOzmkOmFslEb23P,24K Magic,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.034,0.818,0.803,0,0.153,-4.282,0.0797,106.97,0.632,83,Bruno Mars
