album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
So Happy It Hurts,1,6RZNw4khjjd6mehiLQ6Ztz,So Happy It Hurts,spotify:track:6RZNw4khjjd6mehiLQ6Ztz,0.00205,0.615,0.773,0,0.106,-3.491,0.0319,123.476,0.666,56,Bryan Adams
So Happy It Hurts,2,6QYtCZjxl44kEBTUCzWfBs,Never Gonna Rain,spotify:track:6QYtCZjxl44kEBTUCzWfBs,0.125,0.751,0.683,0,0.0789,-4.637,0.0284,98.973,0.827,53,Bryan Adams
So Happy It Hurts,3,3DxnBErRruq0yypv85mdOO,You Lift Me Up,spotify:track:3DxnBErRruq0yypv85mdOO,0.134,0.574,0.575,0,0.275,-4.815,0.0244,78.005,0.471,53,Bryan Adams
So Happy It Hurts,4,2BB42sfZaeUMUpQESgj0P3,I've Been Looking For You,spotify:track:2BB42sfZaeUMUpQESgj0P3,0.223,0.495,0.918,0,0.155,-4.237,0.0614,199.946,0.796,52,Bryan Adams
So Happy It Hurts,5,02p16pYf7Hk0zgkwGF5EzL,"Always Have, Always Will",spotify:track:02p16pYf7Hk0zgkwGF5EzL,0.159,0.633,0.684,1.41E-06,0.368,-3.858,0.0265,132.999,0.727,59,Bryan Adams
So Happy It Hurts,6,60uhNXNCgG2xWvHZJvTxbK,On The Road,spotify:track:60uhNXNCgG2xWvHZJvTxbK,0.00856,0.66,0.791,3.77E-06,0.118,-4.607,0.0295,117.508,0.818,51,Bryan Adams
So Happy It Hurts,7,5jx0Var4vjw2FDEtTsYr05,Kick Ass,spotify:track:5jx0Var4vjw2FDEtTsYr05,0.0101,0.533,0.855,0,0.775,-4.478,0.0859,148.037,0.511,50,Bryan Adams
So Happy It Hurts,8,4u69rAEnGGLLW3xNRU2J3l,I Ain't Worth Shit Without You,spotify:track:4u69rAEnGGLLW3xNRU2J3l,0.0103,0.654,0.91,4.60E-06,0.212,-3.061,0.0346,113.972,0.771,49,Bryan Adams
So Happy It Hurts,9,1thUBnY8HHA9Yrma6WQsOO,Let's Do This,spotify:track:1thUBnY8HHA9Yrma6WQsOO,0.0495,0.634,0.729,0,0.286,-5.375,0.0262,78.015,0.719,50,Bryan Adams
So Happy It Hurts,10,5bD9MN63bBmPDVewWU27ai,"Just Like Me, Just Like You",spotify:track:5bD9MN63bBmPDVewWU27ai,0.00699,0.639,0.819,0,0.12,-5.033,0.0279,125.046,0.824,49,Bryan Adams
So Happy It Hurts,11,1quCUXrxRgGuZDCvjq2ETW,Just About Gone,spotify:track:1quCUXrxRgGuZDCvjq2ETW,0.22,0.463,0.938,0,0.319,-3.371,0.0618,165.063,0.813,49,Bryan Adams
So Happy It Hurts,12,2b547blFDhWrbTpU4OVcTx,These Are The Moments That Make Up My Life,spotify:track:2b547blFDhWrbTpU4OVcTx,0.00701,0.611,0.701,4.57E-05,0.103,-5.957,0.0238,111.021,0.217,50,Bryan Adams
Pretty Woman - The Musical,1,06sKo9TjlzTVskNta5TU9Y,Welcome To Hollywood,spotify:track:06sKo9TjlzTVskNta5TU9Y,0.00651,0.714,0.827,0,0.191,-4.507,0.033,126.993,0.666,44,Bryan Adams
Pretty Woman - The Musical,2,7gy4wEy8lkzWvvGFSoedD5,Anywhere But Here,spotify:track:7gy4wEy8lkzWvvGFSoedD5,0.154,0.664,0.62,0,0.131,-5.607,0.032,124.952,0.287,38,Bryan Adams
Pretty Woman - The Musical,3,56VvV2CQUzt79pw0Qshdmt,Something About Her,spotify:track:56VvV2CQUzt79pw0Qshdmt,0.0851,0.501,0.612,7.37E-05,0.0623,-5.335,0.0278,94.957,0.222,38,Bryan Adams
Pretty Woman - The Musical,4,1w7LCHwjxjGOYPNGqCgfua,Luckiest Girl In The World,spotify:track:1w7LCHwjxjGOYPNGqCgfua,0.914,0.506,0.258,0,0.0892,-10.878,0.0403,184.228,0.4,37,Bryan Adams
Pretty Woman - The Musical,5,3UJZqO3WVo8bmgfyUmJn8g,Rodeo Drive,spotify:track:3UJZqO3WVo8bmgfyUmJn8g,0.0151,0.711,0.784,0,0.0738,-4.488,0.0359,132,0.608,36,Bryan Adams
Pretty Woman - The Musical,6,4hDXf2Om6ul3f21S3wrDAO,On A Night Like Tonight,spotify:track:4hDXf2Om6ul3f21S3wrDAO,0.12,0.705,0.663,0,0.0725,-5.81,0.03,122.019,0.621,36,Bryan Adams
Pretty Woman - The Musical,7,03p0naYb6P9yhzdumNg2y8,Don't Forget To Dance,spotify:track:03p0naYb6P9yhzdumNg2y8,0.919,0.619,0.137,0,0.108,-10.865,0.0644,113.139,0.197,47,Bryan Adams
Pretty Woman - The Musical,8,6E2juCyIByns2h1FM4RjKR,Freedom,spotify:track:6E2juCyIByns2h1FM4RjKR,0.285,0.657,0.466,6.52E-05,0.0657,-7.626,0.0255,93.041,0.412,36,Bryan Adams
Pretty Woman - The Musical,9,6JUCki6JEcWhmeumhLP8R7,You're Beautiful,spotify:track:6JUCki6JEcWhmeumhLP8R7,0.00123,0.69,0.778,5.70E-06,0.473,-5.15,0.0276,133.987,0.561,38,Bryan Adams
Pretty Woman - The Musical,10,7lvOsNYcNgPgiRkgcTpqcd,This Is Your Life,spotify:track:7lvOsNYcNgPgiRkgcTpqcd,0.00967,0.524,0.606,6.33E-05,0.12,-6.48,0.0292,139.872,0.244,35,Bryan Adams
Pretty Woman - The Musical,11,27RbSUPckHrV3qpaYNKQs1,Never Give Up On A Dream,spotify:track:27RbSUPckHrV3qpaYNKQs1,0.0259,0.715,0.618,0,0.293,-5.141,0.0378,160.111,0.796,34,Bryan Adams
Pretty Woman - The Musical,12,2ICQFdhZsFAd3Cva1JzKh7,You And I,spotify:track:2ICQFdhZsFAd3Cva1JzKh7,0.0816,0.596,0.649,0,0.222,-4.808,0.026,140.118,0.384,37,Bryan Adams
Pretty Woman - The Musical,13,47RBr9z8UddgfMEDoXPp8w,I Could Get Used To This,spotify:track:47RBr9z8UddgfMEDoXPp8w,0.00355,0.62,0.923,0,0.508,-4.723,0.0411,125.016,0.859,34,Bryan Adams
Pretty Woman - The Musical,14,7zz378zL0WIiHYbSLeZ2U9,You Can't Go Back,spotify:track:7zz378zL0WIiHYbSLeZ2U9,0.0764,0.639,0.638,0,0.0874,-5.127,0.0293,94.998,0.382,34,Bryan Adams
Pretty Woman - The Musical,15,51ovdjG3GyVi9grGeByKoB,Long Way Home,spotify:track:51ovdjG3GyVi9grGeByKoB,0.0899,0.617,0.546,0,0.118,-6.78,0.0262,99.524,0.312,34,Bryan Adams
