album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
A Different Christmas,1,2TYcxKCale4adLTwDRKkmV,be mine this christmas,spotify:track:2TYcxKCale4adLTwDRKkmV,0.209,0.617,0.624,0,0.323,-6.896,0.481,86.087,0.727,51,Bryson Tiller
A Different Christmas,2,1Gj06DJZBCKKvwurPprOZc,cold december interlude,spotify:track:1Gj06DJZBCKKvwurPprOZc,0.123,0.6,0.588,8.26E-06,0.139,-7.581,0.493,164.141,0.437,44,Bryson Tiller
A Different Christmas,3,4QyO5yNf3W534HK5gI1lMA,presents (feat. Kiana Ledé),spotify:track:4QyO5yNf3W534HK5gI1lMA,0.0795,0.718,0.652,0,0.102,-7.373,0.132,84.014,0.482,53,Bryson Tiller
A Different Christmas,4,4RbbPu7WWsF49Gis4aRfqS,i'll be home for christmas,spotify:track:4RbbPu7WWsF49Gis4aRfqS,0.786,0.435,0.114,0,0.352,-10.369,0.042,115.251,0.368,40,Bryson Tiller
A Different Christmas,5,5FZNkiHoC7fbc30acoRpfb,lonely christmas (feat. Justin Bieber & Poo Bear),spotify:track:5FZNkiHoC7fbc30acoRpfb,0.0678,0.74,0.759,9.19E-06,0.088,-4.972,0.0356,100.015,0.631,51,Bryson Tiller
A Different Christmas,6,1WSOncoBvbmkvujGKVBQKu,ain't a lonely christmas song (feat. Tayla Parx),spotify:track:1WSOncoBvbmkvujGKVBQKu,0.0513,0.63,0.682,3.93E-06,0.226,-4.998,0.0639,134.88,0.121,41,Bryson Tiller
A Different Christmas,7,4k2VqYy2brbDYjBaeQtsjE,winter wonderland (feat. Halo),spotify:track:4k2VqYy2brbDYjBaeQtsjE,0.113,0.67,0.673,0,0.266,-5.65,0.0812,122.192,0.307,51,Bryson Tiller
A N N I V E R S A R Y (Deluxe),11,0vaurfXBWA3owUdvkfhEGy,Still Yours (feat. Big Sean),spotify:track:0vaurfXBWA3owUdvkfhEGy,0.0114,0.595,0.637,0,0.336,-6.21,0.17,84.601,0.103,60,Bryson Tiller
A N N I V E R S A R Y (Deluxe),12,62D6Bjz4IgTKDJRLPD3gJY,Timeless Interlude Pt. II,spotify:track:62D6Bjz4IgTKDJRLPD3gJY,0.665,0.481,0.613,0,0.177,-7.965,0.41,152.218,0.668,50,Bryson Tiller
A N N I V E R S A R Y (Deluxe),13,1k1GjmGx9mkaW8I3rOCriP,Losing Focus,spotify:track:1k1GjmGx9mkaW8I3rOCriP,0.0212,0.774,0.485,0,0.688,-6.315,0.145,129.136,0.313,56,Bryson Tiller
A N N I V E R S A R Y (Deluxe),14,7LJZyNjN5U0LdYSBQ9hlLz,07:00,spotify:track:7LJZyNjN5U0LdYSBQ9hlLz,0.11,0.685,0.572,0,0.183,-5.685,0.147,117.336,0.275,64,Bryson Tiller
A N N I V E R S A R Y (Deluxe),15,3lHjq5Q6WvVVMJfc1FmUYr,Like Clockwork,spotify:track:3lHjq5Q6WvVVMJfc1FmUYr,0.19,0.864,0.691,0,0.112,-4.884,0.332,115.906,0.144,54,Bryson Tiller
A N N I V E R S A R Y,1,4SVTus5gJc5cfkFZ8ELK1p,Years Go By,spotify:track:4SVTus5gJc5cfkFZ8ELK1p,0.0279,0.374,0.577,5.60E-06,0.562,-7.085,0.302,184.201,0.0658,59,Bryson Tiller
A N N I V E R S A R Y,2,1LV5cAo02H8h5YlZNcjULM,Always Forever,spotify:track:1LV5cAo02H8h5YlZNcjULM,0.168,0.605,0.489,2.36E-06,0.187,-7.234,0.174,147.341,0.326,63,Bryson Tiller
A N N I V E R S A R Y,3,1zmv0tPVWdbCuvBw90MYwO,I'm Ready For You,spotify:track:1zmv0tPVWdbCuvBw90MYwO,0.228,0.741,0.64,8.55E-05,0.138,-6.452,0.405,179.095,0.893,57,Bryson Tiller
A N N I V E R S A R Y,4,0LLsvPLHxlUk1x8r77H2b6,Things Change,spotify:track:0LLsvPLHxlUk1x8r77H2b6,0.245,0.758,0.613,4.36E-05,0.111,-4.851,0.37,145.756,0.491,59,Bryson Tiller
A N N I V E R S A R Y,5,6Iw6fQVKZi0fWtEQBrTFcP,Timeless Interlude,spotify:track:6Iw6fQVKZi0fWtEQBrTFcP,0.815,0.467,0.429,5.22E-05,0.177,-8.689,0.0964,148.53,0.24,56,Bryson Tiller
A N N I V E R S A R Y,6,5TXQCMKN6TgemTL3c4wRTn,Sorrows,spotify:track:5TXQCMKN6TgemTL3c4wRTn,0.148,0.633,0.793,0,0.867,-6.847,0.182,109.093,0.761,75,Bryson Tiller
A N N I V E R S A R Y,7,0ycIrEpkyb4lrqE7M1emju,Inhale,spotify:track:0ycIrEpkyb4lrqE7M1emju,0.321,0.498,0.705,0.000441,0.414,-8.088,0.392,156.519,0.571,66,Bryson Tiller
A N N I V E R S A R Y,8,4SCnCPOUOUXUmCX2uHb3r7,Outta Time (feat. Drake),spotify:track:4SCnCPOUOUXUmCX2uHb3r7,0.0129,0.714,0.582,0,0.0774,-7.272,0.0808,92.819,0.338,72,Bryson Tiller
A N N I V E R S A R Y,9,1MpQyTgfVMpUOnwKMTSMzu,Keep Doing What You're Doing,spotify:track:1MpQyTgfVMpUOnwKMTSMzu,0.84,0.363,0.359,9.11E-05,0.353,-12.19,0.101,74.526,0.142,68,Bryson Tiller
A N N I V E R S A R Y,10,2SSyJ6hTS0JeHTg63wVDZ7,Next To You,spotify:track:2SSyJ6hTS0JeHTg63wVDZ7,0.0375,0.639,0.439,3.56E-06,0.0699,-8.425,0.0601,141.408,0.559,67,Bryson Tiller
T R A P S O U L (Deluxe),15,4Vwg5CDYqAOf50Rt1WC6Kh,Just Another Interlude,spotify:track:4Vwg5CDYqAOf50Rt1WC6Kh,0.163,0.578,0.545,0,0.202,-9.403,0.314,93.045,0.515,66,Bryson Tiller
T R A P S O U L (Deluxe),16,4w9dTbEcJx8uBTxGvUYC0h,Self Righteous,spotify:track:4w9dTbEcJx8uBTxGvUYC0h,0.204,0.521,0.576,0,0.223,-7.019,0.272,100.02,0.234,63,Bryson Tiller
T R A P S O U L (Deluxe),17,62itulOgU4flQFuI7f7JF8,Rambo (Last Blood) (feat. The Weeknd),spotify:track:62itulOgU4flQFuI7f7JF8,0.228,0.508,0.686,0,0.102,-6.994,0.136,181.333,0.4,59,Bryson Tiller
T R A P S O U L (Deluxe),18,30f1CJ2yzc1VLF7IdTle4v,Outro (Thank You),spotify:track:30f1CJ2yzc1VLF7IdTle4v,0.602,0.596,0.407,0.351,0.111,-9.172,0.175,100.002,0.66,38,Bryson Tiller
True to Self,1,52LjL3x9tNh6C4eI6SMceX,Rain On Me (Intro),spotify:track:52LjL3x9tNh6C4eI6SMceX,0.0236,0.471,0.564,3.89E-06,0.103,-9.241,0.21,122.119,0.406,46,Bryson Tiller
True to Self,2,4IdAIZRVkwuQQnHpi529cn,No Longer Friends,spotify:track:4IdAIZRVkwuQQnHpi529cn,0.205,0.651,0.663,0,0.105,-7.78,0.327,114.137,0.377,58,Bryson Tiller
True to Self,3,0OVhQZkNe7lh0fQeH96EFW,Don't Get Too High,spotify:track:0OVhQZkNe7lh0fQeH96EFW,0.0148,0.88,0.495,1.47E-06,0.121,-3.476,0.0695,124.024,0.469,56,Bryson Tiller
