album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
BE,1,5FVbvttjEvQ8r2BgUcJgNg,Life Goes On,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,0.00691,0.566,0.716,0,0.37,-5.733,0.0424,81.068,0.45,85,BTS
BE,2,1NHl9g36Ebu3g16y0vtUNV,Fly To My Room,spotify:track:1NHl9g36Ebu3g16y0vtUNV,0.0484,0.764,0.526,0,0.0718,-7.355,0.212,114.91,0.588,75,BTS
BE,3,7Ki0hse0IfXEcXUlpyECbJ,Blue & Grey,spotify:track:7Ki0hse0IfXEcXUlpyECbJ,0.42,0.547,0.605,0,0.125,-6.755,0.0415,121.953,0.364,80,BTS
BE,4,16SFlxZd0oH4YA7KvCQlsG,Skit,spotify:track:16SFlxZd0oH4YA7KvCQlsG,0.864,0.703,0.321,0,0.908,-13.135,0.884,114.822,0.544,59,BTS
BE,5,6Fnvi5QnVkTskSzeRvvQds,Telepathy,spotify:track:6Fnvi5QnVkTskSzeRvvQds,0.00782,0.787,0.669,0,0.123,-4.333,0.0428,104.994,0.57,79,BTS
BE,6,0hxeouHqP3qzpTHerA7ha2,Dis-ease,spotify:track:0hxeouHqP3qzpTHerA7ha2,0.0132,0.731,0.845,0,0.0782,-5.352,0.132,101.085,0.484,77,BTS
BE,7,0TdWVbcerMAcvljXrl9gpG,Stay,spotify:track:0TdWVbcerMAcvljXrl9gpG,0.114,0.582,0.693,0,0.13,-5.048,0.0465,125.904,0.341,77,BTS
BE,8,5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,0.0112,0.746,0.765,0,0.0936,-4.41,0.0993,114.044,0.737,91,BTS
BE,2,5JcUAMvjUUM0z3OVIcnuvM,내 방을 여행하는 법,spotify:track:5JcUAMvjUUM0z3OVIcnuvM,0.0484,0.764,0.526,0,0.0718,-7.355,0.212,114.91,0.588,37,BTS
BE,5,6XesM5tApm8ARWMjoD1EMm,잠시,spotify:track:6XesM5tApm8ARWMjoD1EMm,0.00782,0.787,0.669,0,0.123,-4.333,0.0428,104.994,0.57,39,BTS
BE,6,6aGtSx8xkaDULmxdx92gkO,병,spotify:track:6aGtSx8xkaDULmxdx92gkO,0.0132,0.731,0.845,0,0.0782,-5.352,0.132,101.085,0.484,38,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,1,5raJ9QoZOdoRZ1MZOcygkR,INTRO : Calling,spotify:track:5raJ9QoZOdoRZ1MZOcygkR,0.582,0.486,0.61,0.791,0.144,-12.063,0.0348,144.992,0.0806,57,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2,3Ys2PYl1wyPKQIwyqhP9cQ,Stay Gold,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,0.0892,0.723,0.634,0,0.0787,-5.415,0.0542,129.017,0.582,74,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,3,1GAAUZBTaIM1LwNpOJQJrZ,Boy With Luv - Japanese ver.,spotify:track:1GAAUZBTaIM1LwNpOJQJrZ,0.0661,0.673,0.855,0,0.209,-4.65,0.089,119.917,0.78,58,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,4,6P0Ni8GrnwRScC4uk8tKqM,Make It Right - Japanese ver.,spotify:track:6P0Ni8GrnwRScC4uk8tKqM,0.0163,0.571,0.703,0,0.262,-7.401,0.468,104.067,0.238,55,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,5,6j0NiWoRQDiNC05RwVVZNa,Dionysus - Japanese ver.,spotify:track:6j0NiWoRQDiNC05RwVVZNa,0.0218,0.455,0.893,0,0.358,-3.712,0.148,175.992,0.588,54,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,6,2vYF5MHeCNtqCVastthDAo,IDOL - Japanese ver.,spotify:track:2vYF5MHeCNtqCVastthDAo,0.000331,0.705,0.754,0,0.129,-5.453,0.0895,126.014,0.422,55,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,7,4EeVAiJtyblHzvkN9sZCmM,Airplane pt.2 - Japanese ver.,spotify:track:4EeVAiJtyblHzvkN9sZCmM,0.04,0.752,0.782,1.04E-06,0.0841,-5.173,0.0297,139.994,0.901,57,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,8,4jTEbIwCMcHSwlSEiR4NlQ,FAKE LOVE - Japanese ver.,spotify:track:4jTEbIwCMcHSwlSEiR4NlQ,0.00362,0.546,0.682,0,0.295,-5.628,0.039,154.923,0.433,56,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,9,5smmjzMNkj4YSacTBH6taZ,Black Swan - Japanese ver.,spotify:track:5smmjzMNkj4YSacTBH6taZ,0.166,0.714,0.736,0,0.133,-5.724,0.0819,147.037,0.536,54,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,10,2hhizKAVm9wNn0d2N05jkG,ON - Japanese ver.,spotify:track:2hhizKAVm9wNn0d2N05jkG,0.119,0.598,0.821,0,0.298,-5.653,0.114,105.991,0.428,54,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,11,3TDUktzfYXMWjkWqwoT5F1,Lights,spotify:track:3TDUktzfYXMWjkWqwoT5F1,0.156,0.608,0.644,0,0.124,-5.588,0.0314,99.005,0.431,72,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,12,3TZ7NHkMT82AhwuYsd00Hz,Your eyes tell,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,0.279,0.449,0.491,0,0.0654,-6.433,0.029,139.923,0.258,76,BTS
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,13,0VF357Gjay5vvCqWA1kSu6,OUTRO : The Journey,spotify:track:0VF357Gjay5vvCqWA1kSu6,0.704,0.523,0.455,0.459,0.135,-14.26,0.0632,136.959,0.165,56,BTS
MAP OF THE SOUL : 7,2,5sF9xwCDidhTovLRrr22sT,작은 것들을 위한 시 (Boy With Luv) [feat. Halsey],spotify:track:5sF9xwCDidhTovLRrr22sT,0.0933,0.645,0.862,0,0.193,-4.761,0.0845,119.947,0.803,19,BTS
MAP OF THE SOUL : 7,9,4Yqung81v8CmhDCEXUyjTm,시차,spotify:track:4Yqung81v8CmhDCEXUyjTm,0.149,0.674,0.641,0,0.0925,-5.139,0.0339,99.91,0.664,49,BTS
MAP OF THE SOUL : 7,12,4QWPKecgt2lc4GpWtYgYtJ,욱 (UGH!),spotify:track:4QWPKecgt2lc4GpWtYgYtJ,0.0394,0.72,0.824,0,0.0509,-5.086,0.128,165.996,0.333,32,BTS
MAP OF THE SOUL : 7,15,4NQ8DTueMrnI7u5qUEaR7b,친구,spotify:track:4NQ8DTueMrnI7u5qUEaR7b,0.0668,0.55,0.747,0,0.0536,-5.211,0.0407,79.979,0.649,43,BTS
