album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Romance,1,2ogKhhoMClkFXek7ZgxAhN,Shameless,spotify:track:2ogKhhoMClkFXek7ZgxAhN,0.0197,0.377,0.651,5.31E-05,0.174,-5.437,0.0589,129.607,0.0851,68,Camilla Cabello
Romance,2,4jFD7byoPdGkEdjHLMduR9,Living Proof,spotify:track:4jFD7byoPdGkEdjHLMduR9,0.109,0.735,0.514,0,0.359,-5.464,0.082,77.566,0.517,60,Camilla Cabello
Romance,3,0sHc1EEeOnmgjP6QmsR7px,Should've Said It,spotify:track:0sHc1EEeOnmgjP6QmsR7px,0.0281,0.666,0.549,0.000181,0.136,-5.781,0.0269,98.014,0.596,62,Camilla Cabello
Romance,4,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),spotify:track:3yOlyBJuViE2YSGn3nVE1K,0.018,0.724,0.491,1.29E-05,0.0887,-6.024,0.0296,105.046,0.383,81,Camilla Cabello
Romance,5,3BVgrFWuH01GmCUy9Y2EE8,Señorita,spotify:track:3BVgrFWuH01GmCUy9Y2EE8,0.0376,0.759,0.539,0,0.0906,-6.039,0.0287,116.959,0.74,58,Camilla Cabello
Romance,6,073ILU1C3APNRGF66VhtyA,Liar,spotify:track:073ILU1C3APNRGF66VhtyA,0.0169,0.74,0.498,0.00282,0.319,-6.684,0.0456,98.016,0.652,69,Camilla Cabello
Romance,7,0Q2kFlgnqusKAqCDpCKAIY,Bad Kind of Butterflies,spotify:track:0Q2kFlgnqusKAqCDpCKAIY,0.506,0.495,0.308,0,0.247,-9.528,0.141,108.484,0.273,62,Camilla Cabello
Romance,8,7DoNtK2gVFRwJh0hkHe5wQ,Easy,spotify:track:7DoNtK2gVFRwJh0hkHe5wQ,0.411,0.574,0.593,1.55E-06,0.0966,-5.731,0.0463,128.073,0.355,63,Camilla Cabello
Romance,9,39jcp8zJH7nHWbB7Hr3sFJ,Feel It Twice,spotify:track:39jcp8zJH7nHWbB7Hr3sFJ,0.842,0.516,0.436,0,0.0901,-5.568,0.0283,132.07,0.376,59,Camilla Cabello
Romance,10,7jJ4y8hXMLMlGBu7Zm1XZj,Dream of You,spotify:track:7jJ4y8hXMLMlGBu7Zm1XZj,0.205,0.659,0.663,0,0.105,-6.823,0.0811,140.013,0.333,59,Camilla Cabello
