album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Invasion of Privacy,1,7p2ewixAShLpjDZrnzZK7c,Get Up 10,spotify:track:7p2ewixAShLpjDZrnzZK7c,0.0977,0.806,0.57,0,0.105,-6.927,0.246,93.015,0.454,63,Cardi B
Invasion of Privacy,2,2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),spotify:track:2qcG0nZ6S3zZV0UrkY5nFo,0.0511,0.968,0.589,0,0.0731,-7.808,0.255,129.993,0.268,66,Cardi B
Invasion of Privacy,3,17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,spotify:track:17Yq72h0p15OhCbZ5lJ5gd,0.154,0.884,0.814,1.67E-06,0.158,-5.333,0.303,155.938,0.907,59,Cardi B
Invasion of Privacy,4,6KBYefIoo7KydImq1uUQlL,Bodak Yellow,spotify:track:6KBYefIoo7KydImq1uUQlL,0.0659,0.926,0.703,0,0.231,-6.337,0.103,125.022,0.485,77,Cardi B
Invasion of Privacy,5,2Yl4OmDby9iitgNWZPwxkd,Be Careful,spotify:track:2Yl4OmDby9iitgNWZPwxkd,0.0256,0.82,0.568,0,0.0952,-8.23,0.411,152.279,0.535,72,Cardi B
Invasion of Privacy,6,00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),spotify:track:00B7TZ0Xawar6NZ00JFomN,0.287,0.62,0.625,0,0.314,-7.438,0.553,167.911,0.665,60,Cardi B
Invasion of Privacy,7,58q2HKrzhC3ozto2nDdN4z,I Like It,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.099,0.816,0.726,0,0.372,-3.998,0.129,136.048,0.65,84,Cardi B
Invasion of Privacy,8,5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),spotify:track:5DfWF0jqMgZDCiu9zJENTA,0.049,0.767,0.543,0,0.115,-7.881,0.103,106.029,0.485,69,Cardi B
Invasion of Privacy,9,1vBeIXlzbAieGoDqInav5j,Money Bag,spotify:track:1vBeIXlzbAieGoDqInav5j,0.107,0.947,0.788,0.000691,0.108,-6.138,0.124,129.977,0.454,60,Cardi B
Invasion of Privacy,10,0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),spotify:track:0dIoGTQXDh1wVnhIiSyYEa,0.00111,0.908,0.524,0.000678,0.383,-7.955,0.181,138.015,0.109,71,Cardi B
Invasion of Privacy,11,0CfmNX2TXk7yoJqHJiixnp,She Bad,spotify:track:0CfmNX2TXk7yoJqHJiixnp,0.0183,0.791,0.504,0,0.0963,-7.864,0.266,159.949,0.355,62,Cardi B
Invasion of Privacy,12,74cVJfmK18rhWnscIpGXjt,Thru Your Phone,spotify:track:74cVJfmK18rhWnscIpGXjt,0.17,0.837,0.549,0,0.057,-5.722,0.167,121.954,0.209,75,Cardi B
Invasion of Privacy,13,1f5PNhkNgUpvDEeZfcIlO1,I Do (feat. SZA),spotify:track:1f5PNhkNgUpvDEeZfcIlO1,0.27,0.886,0.473,2.58E-05,0.0864,-7.338,0.255,135.065,0.438,70,Cardi B
Gangsta Bitch Music Vol. 2,1,5rsH1ezDwyf4o8JJguPgRc,Bronx Season,spotify:track:5rsH1ezDwyf4o8JJguPgRc,0.134,0.808,0.593,0,0.124,-5.063,0.247,88.057,0.239,49,Cardi B
Gangsta Bitch Music Vol. 2,2,5XdHz3HfGGOsvdhe06oxts,Lick (feat. Offset),spotify:track:5XdHz3HfGGOsvdhe06oxts,0.159,0.838,0.637,0,0.0704,-4.708,0.22,116.077,0.352,55,Cardi B
Gangsta Bitch Music Vol. 2,3,6GBEjkFlNzM2trwa8rgnIU,Hectic (feat. DJ Hardwerk),spotify:track:6GBEjkFlNzM2trwa8rgnIU,0.782,0.718,0.715,6.48E-06,0.14,-3.449,0.33,89.088,0.616,47,Cardi B
Gangsta Bitch Music Vol. 2,4,1k3xls4mMxRv5do5nkun3S,Leave That Bitch Alone (Skit) (feat. Justvlad),spotify:track:1k3xls4mMxRv5do5nkun3S,0.623,0.685,0.329,0,0.385,-10.159,0.875,86.993,0.698,30,Cardi B
Gangsta Bitch Music Vol. 2,5,5YcPaD42EIHnDSDE5FT5Xe,Leave That Bitch Alone,spotify:track:5YcPaD42EIHnDSDE5FT5Xe,0.358,0.762,0.658,0,0.0885,-3.423,0.136,130.003,0.389,39,Cardi B
Gangsta Bitch Music Vol. 2,6,5FY4uYtImpQporoncKhclK,Rollin,spotify:track:5FY4uYtImpQporoncKhclK,0.0044,0.788,0.673,0.0226,0.108,-8.203,0.0502,120.972,0.419,48,Cardi B
Gangsta Bitch Music Vol. 2,7,6J4khM5qxAUjCsxoURWem1,Back It Up (feat. Konshens & Hoodcelebrityy),spotify:track:6J4khM5qxAUjCsxoURWem1,0.0158,0.703,0.594,1.93E-05,0.0802,-6.996,0.268,123.234,0.451,50,Cardi B
Gangsta Bitch Music Vol. 2,8,39bonbD9XI0Wv2D7tD8s2H,Never Give Up (feat. Josh X),spotify:track:39bonbD9XI0Wv2D7tD8s2H,0.296,0.459,0.806,0,0.0912,-3.454,0.196,150.266,0.702,37,Cardi B
