album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Voicenotes,1,6qNALlmZa1ESnCxJmXE1K9,The Way I Am,spotify:track:6qNALlmZa1ESnCxJmXE1K9,0.314,0.755,0.769,2.38E-06,0.0628,-5.658,0.186,114.966,0.642,68,Charlie Puth
Voicenotes,2,5cF0dROlMOK5uNZtivgu50,Attention,spotify:track:5cF0dROlMOK5uNZtivgu50,0.109,0.775,0.613,2.33E-05,0.134,-4.586,0.0542,100.066,0.797,85,Charlie Puth
Voicenotes,3,6pQadiopoIsS4x78tjSkJt,LA Girls,spotify:track:6pQadiopoIsS4x78tjSkJt,0.359,0.869,0.642,1.42E-06,0.0694,-5.03,0.0367,99.992,0.917,62,Charlie Puth
Voicenotes,4,6wmAHw1szh5RCKSRjiXhPe,How Long,spotify:track:6wmAHw1szh5RCKSRjiXhPe,0.211,0.845,0.561,3.49E-06,0.0383,-5.253,0.0778,109.974,0.811,77,Charlie Puth
Voicenotes,5,1lsBTdE6MGsKeZCD6llNu7,Done for Me (feat. Kehlani),spotify:track:1lsBTdE6MGsKeZCD6llNu7,0.193,0.856,0.632,0,0.0688,-3.692,0.074,112.009,0.697,72,Charlie Puth
Voicenotes,6,2ZrHbO88rM6Ijeg0aJmSzl,Patient,spotify:track:2ZrHbO88rM6Ijeg0aJmSzl,0.752,0.675,0.604,0,0.111,-6.266,0.193,168.034,0.456,64,Charlie Puth
Voicenotes,7,5QLAHKawoQwVRNf1waaVW7,If You Leave Me Now (feat. Boyz II Men),spotify:track:5QLAHKawoQwVRNf1waaVW7,0.909,0.362,0.268,0,0.15,-7.757,0.0399,81.912,0.394,60,Charlie Puth
Voicenotes,8,7aSvPfoqiM0zwPqupLGaHd,BOY,spotify:track:7aSvPfoqiM0zwPqupLGaHd,0.149,0.725,0.77,2.17E-05,0.0641,-6.24,0.0539,93.009,0.647,62,Charlie Puth
Voicenotes,9,6TapyDFlRUlZ4cmIaqJx4k,Slow It Down,spotify:track:6TapyDFlRUlZ4cmIaqJx4k,0.264,0.733,0.754,0,0.131,-3.392,0.0593,115.024,0.849,61,Charlie Puth
Voicenotes,10,17RMnDmv5CEo3s0tmipRyb,Change (feat. James Taylor),spotify:track:17RMnDmv5CEo3s0tmipRyb,0.872,0.502,0.413,0,0.213,-7.373,0.039,175.507,0.474,61,Charlie Puth
Voicenotes,11,1PuQTv1Kr1gzLgVeATSuh6,Somebody Told Me,spotify:track:1PuQTv1Kr1gzLgVeATSuh6,0.101,0.592,0.839,0,0.0528,-4.944,0.0564,168.501,0.457,59,Charlie Puth
Voicenotes,12,7k7JKDjCd9zuL0iF7iWaNs,Empty Cups,spotify:track:7k7JKDjCd9zuL0iF7iWaNs,0.224,0.77,0.555,1.78E-06,0.0754,-6.361,0.0754,100.035,0.776,60,Charlie Puth
Voicenotes,13,4jgF1sLf3TkQbZkLHsc6SI,Through It All,spotify:track:4jgF1sLf3TkQbZkLHsc6SI,0.762,0.562,0.383,0,0.0775,-8.54,0.0356,119.113,0.225,56,Charlie Puth
Nine Track Mind (Deluxe Edition),14,3ZAbzT3EIBAM4pDB6pD8V6,River,spotify:track:3ZAbzT3EIBAM4pDB6pD8V6,0.838,0.775,0.329,0,0.108,-6.962,0.034,100.034,0.252,55,Charlie Puth
