album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
CRASH (Deluxe),13,4qo8MT581bE5mDm7FGi5qB,Selfish Girl,spotify:track:4qo8MT581bE5mDm7FGi5qB,0.214,0.681,0.95,2.34E-05,0.149,-3.741,0.185,125.886,0.52,68,Charlie XCX
CRASH (Deluxe),14,29KYqUjF9Oc9NCxvs7srlP,How Can I Not Know What I Need Right Now,spotify:track:29KYqUjF9Oc9NCxvs7srlP,0.0299,0.604,0.916,0.000415,0.372,-4.526,0.0709,119.986,0.694,64,Charlie XCX
CRASH (Deluxe),15,2qbgcxEMIZgyHAySxxHywc,Sorry if I Hurt You,spotify:track:2qbgcxEMIZgyHAySxxHywc,0.0293,0.556,0.826,0,0.236,-4.669,0.0356,127.968,0.0718,64,Charlie XCX
CRASH (Deluxe),16,1Qokr1fQFm6DRtzeNPfKIM,What You Think About Me,spotify:track:1Qokr1fQFm6DRtzeNPfKIM,0.0453,0.799,0.775,0.004,0.344,-6.027,0.0592,116.039,0.455,63,Charlie XCX
CRASH,1,6WKDtdVILJvcfqpvSQgwAQ,Crash,spotify:track:6WKDtdVILJvcfqpvSQgwAQ,0.378,0.688,0.905,0,0.411,-3.361,0.054,112.075,0.85,74,Charlie XCX
CRASH,2,1K9yH9EpJsH2kXWX4ozH68,New Shapes (feat. Christine and the Queens and Caroline Polachek),spotify:track:1K9yH9EpJsH2kXWX4ozH68,0.111,0.735,0.74,0,0.032,-4.929,0.0552,107.061,0.553,71,Charlie XCX
CRASH,3,2grSOc6HNTXQQXNoRKt9UM,Good Ones,spotify:track:2grSOc6HNTXQQXNoRKt9UM,0.072,0.764,0.672,3.32E-06,0.0806,-5.947,0.0293,129.049,0.789,72,Charlie XCX
CRASH,4,0U9ltIN4q3aBKGZDZq5cAW,Constant Repeat,spotify:track:0U9ltIN4q3aBKGZDZq5cAW,0.113,0.832,0.677,0,0.241,-6.442,0.0414,126.015,0.49,74,Charlie XCX
CRASH,5,11M8c9SHQYpd8DOrmcu25k,Beg For You (feat. Rina Sawayama),spotify:track:11M8c9SHQYpd8DOrmcu25k,0.223,0.788,0.945,2.97E-06,0.115,-5.091,0.0599,128.036,0.466,72,Charlie XCX
CRASH,6,2A8lxHaI7sJD1oABvXwly1,Move Me,spotify:track:2A8lxHaI7sJD1oABvXwly1,0.0864,0.748,0.737,0.000121,0.118,-5.377,0.0449,139.967,0.0859,73,Charlie XCX
CRASH,7,2lE8pY64icLsx6k0Wr9iVF,Baby,spotify:track:2lE8pY64icLsx6k0Wr9iVF,0.139,0.779,0.859,0.0472,0.093,-1.572,0.0364,128.04,0.904,72,Charlie XCX
CRASH,8,4aguR8nLIlmF6WCOlCArhT,Lightning,spotify:track:4aguR8nLIlmF6WCOlCArhT,0.0265,0.715,0.683,2.31E-05,0.209,-5.042,0.0476,119.159,0.471,73,Charlie XCX
CRASH,9,3qT67cZ6ZloAk6jDgG1Zc8,Every Rule,spotify:track:3qT67cZ6ZloAk6jDgG1Zc8,0.519,0.714,0.521,2.32E-06,0.117,-7.384,0.033,91.957,0.336,70,Charlie XCX
CRASH,10,5cYEuFqzITZlZzpoR1sHvu,Yuck,spotify:track:5cYEuFqzITZlZzpoR1sHvu,0.0585,0.765,0.675,1.51E-06,0.0703,-5.687,0.0402,100.939,0.886,74,Charlie XCX
CRASH,11,5dry5tz8yLcLuOJ3l6ZEQd,Used To Know Me,spotify:track:5dry5tz8yLcLuOJ3l6ZEQd,0.0914,0.711,0.931,4.41E-05,0.0892,-4.042,0.0323,118.009,0.775,78,Charlie XCX
CRASH,12,3phMvUDFwKvFbKABGrmqMV,Twice,spotify:track:3phMvUDFwKvFbKABGrmqMV,0.186,0.779,0.739,0.148,0.109,-4.769,0.0391,99.992,0.38,70,Charlie XCX
how i'm feeling now,1,3V0PgcsUMlAGXwCD0084pY,pink diamond,spotify:track:3V0PgcsUMlAGXwCD0084pY,0.0693,0.675,0.787,0,0.0494,-2.468,0.334,140.959,0.647,58,Charlie XCX
how i'm feeling now,2,5GsJIVCBFjhCcUwJaTW2sB,forever,spotify:track:5GsJIVCBFjhCcUwJaTW2sB,0.578,0.577,0.927,0,0.116,-3.195,0.107,87.389,0.462,59,Charlie XCX
how i'm feeling now,3,7Dexi5Z2IowCkHrnzlWysc,claws,spotify:track:7Dexi5Z2IowCkHrnzlWysc,0.036,0.707,0.771,6.87E-05,0.547,-4.246,0.038,135.049,0.629,62,Charlie XCX
how i'm feeling now,4,4jQDJPgw3qkc1T2f1safdy,7 years,spotify:track:4jQDJPgw3qkc1T2f1safdy,0.343,0.671,0.786,1.21E-06,0.345,-2.211,0.221,160.054,0.659,55,Charlie XCX
