album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
When I Close My Eyes (Deluxe),5,67FM9o3ttGiXM1cPlSNWi1,When I Close My Eyes,spotify:track:67FM9o3ttGiXM1cPlSNWi1,0.501,0.62,0.43,1.04E-06,0.285,-9.499,0.0641,139.873,0.425,51,Chelsea Cutler
When I Close My Eyes (Deluxe),9,5ZPRHcglk4ztDoZb312PEl,Under,spotify:track:5ZPRHcglk4ztDoZb312PEl,0.0326,0.574,0.488,0.00307,0.0614,-8.589,0.0382,122.061,0.124,51,Chelsea Cutler
When I Close My Eyes (Deluxe),12,2di0451m6P7LkwM0A8f4Nz,If I Hadn't Met You,spotify:track:2di0451m6P7LkwM0A8f4Nz,0.376,0.525,0.435,0,0.205,-8.734,0.375,175.84,0.367,49,Chelsea Cutler
When I Close My Eyes (Deluxe),13,1GlzE0MDKeVGlsJgky3yWq,You're Gonna Miss This,spotify:track:1GlzE0MDKeVGlsJgky3yWq,0.759,0.838,0.347,2.12E-06,0.0995,-7.66,0.0578,137.944,0.247,48,Chelsea Cutler
When I Close My Eyes (Deluxe),14,6qY6IZtn59bCJsEl0tos9X,the lifeboat's empty!,spotify:track:6qY6IZtn59bCJsEl0tos9X,0.00712,0.534,0.649,6.22E-06,0.137,-7.531,0.0435,161.828,0.358,54,Chelsea Cutler
When I Close My Eyes (Deluxe),15,6xkghIDZwnZtTfpjEqccrr,What Everybody Wants,spotify:track:6xkghIDZwnZtTfpjEqccrr,0.286,0.812,0.526,3.49E-06,0.276,-9.961,0.0457,118.028,0.439,65,Chelsea Cutler
When I Close My Eyes (Deluxe),16,08hDgOQBkKWiD5QI1XGRoO,Marlboro Lights,spotify:track:08hDgOQBkKWiD5QI1XGRoO,0.624,0.531,0.353,0,0.283,-10.267,0.0597,94.96,0.37,59,Chelsea Cutler
When I Close My Eyes,2,18ogPzQRSl9oUcYUS35g7D,Calling All Angels (with Quinn XCII),spotify:track:18ogPzQRSl9oUcYUS35g7D,0.234,0.893,0.391,0,0.138,-9.046,0.0512,91.035,0.358,58,Chelsea Cutler
When I Close My Eyes,3,5LJvcwcCmqJn0iaK2jbmkz,Easy,spotify:track:5LJvcwcCmqJn0iaK2jbmkz,0.614,0.675,0.351,7.43E-06,0.189,-11.097,0.0534,98.031,0.431,53,Chelsea Cutler
When I Close My Eyes,4,6cBfo1CGrBhVl8gsZ0HOQJ,Devil On My Shoulder,spotify:track:6cBfo1CGrBhVl8gsZ0HOQJ,0.649,0.661,0.323,1.82E-05,0.193,-9.579,0.0412,129.955,0.372,52,Chelsea Cutler
When I Close My Eyes,6,4QMaWCZm48GyQrNN2WP9Ds,Walking Away,spotify:track:4QMaWCZm48GyQrNN2WP9Ds,0.762,0.553,0.375,0,0.134,-8.917,0.192,98.712,0.262,53,Chelsea Cutler
