album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
What Is Love? (Deluxe Edition),1,72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),spotify:track:72gv4zhNvRVdQA0eOenCal,0.239,0.715,0.605,1.41E-05,0.189,-5.128,0.0428,122.956,0.454,80,Clean Bandit
What Is Love? (Deluxe Edition),2,5XWCc9wQes7X5uyYH9h5JR,Baby (feat. MARINA & Luis Fonsi),spotify:track:5XWCc9wQes7X5uyYH9h5JR,0.356,0.755,0.74,1.05E-05,0.0994,-5.354,0.04,116.946,0.33,60,Clean Bandit
What Is Love? (Deluxe Edition),3,3NuK5xMlSlB6K2Qp16zf3h,Solo (feat. Demi Lovato),spotify:track:3NuK5xMlSlB6K2Qp16zf3h,0.0357,0.74,0.622,4.85E-05,0.356,-4.608,0.0446,104.966,0.556,72,Clean Bandit
What Is Love? (Deluxe Edition),4,2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),spotify:track:2hrUO4drrO63i7FYbCLBl2,0.383,0.717,0.73,0,0.398,-4.729,0.0568,102.002,0.792,77,Clean Bandit
What Is Love? (Deluxe Edition),5,3WDIhWoRWVcaHdRwMEHkkS,Mama (feat. Ellie Goulding),spotify:track:3WDIhWoRWVcaHdRwMEHkkS,0.225,0.737,0.714,3.79E-06,0.267,-6.138,0.0367,102.046,0.608,62,Clean Bandit
What Is Love? (Deluxe Edition),6,1t3HCpt49x27PE1uuy06md,Should've Known Better (feat. Anne-Marie),spotify:track:1t3HCpt49x27PE1uuy06md,0.144,0.638,0.729,3.86E-06,0.257,-5.859,0.0405,75.029,0.506,49,Clean Bandit
What Is Love? (Deluxe Edition),7,7DKSHIR389td3F1MrTOerW,Out at Night (feat. KYLE & Big Boi),spotify:track:7DKSHIR389td3F1MrTOerW,0.0906,0.736,0.71,6.10E-05,0.216,-7.138,0.0429,105.005,0.334,46,Clean Bandit
What Is Love? (Deluxe Edition),8,6Vly9VOZmMnHDDambtb32p,Last Goodbye (feat. Tove Styrke & Stefflon Don),spotify:track:6Vly9VOZmMnHDDambtb32p,0.00591,0.607,0.588,9.05E-06,0.219,-6.727,0.0858,158.016,0.396,43,Clean Bandit
What Is Love? (Deluxe Edition),9,4w1Lnjryh7voWNEfNdj37G,We Were Just Kids (feat. Craig David & Kirsten Joy),spotify:track:4w1Lnjryh7voWNEfNdj37G,0.267,0.773,0.568,0,0.112,-7.71,0.0493,99.975,0.467,47,Clean Bandit
What Is Love? (Deluxe Edition),10,0zZE4gBv25outVrHKJgiry,Nowhere (feat. Rita Ora & KYLE),spotify:track:0zZE4gBv25outVrHKJgiry,0.0574,0.793,0.624,2.08E-06,0.208,-6.024,0.0344,100.024,0.755,46,Clean Bandit
