album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Music Of The Spheres,1,1a3G9SNslcKsPAOuIikaxd,🪐,spotify:track:1a3G9SNslcKsPAOuIikaxd,0.887,0.326,0.322,0.841,0.116,-20.192,0.0337,89.657,0.0651,64,Coldplay
Music Of The Spheres,2,65OR4ywy8Cgs3FDHK82Idl,Higher Power,spotify:track:65OR4ywy8Cgs3FDHK82Idl,0.00643,0.507,0.832,1.60E-05,0.229,-5.931,0.0425,177.894,0.485,75,Coldplay
Music Of The Spheres,3,23BO6YozrAXUta1buxFZ80,Humankind,spotify:track:23BO6YozrAXUta1buxFZ80,0.000172,0.575,0.838,0.000103,0.458,-6.498,0.0454,135.006,0.215,69,Coldplay
Music Of The Spheres,4,1danObd53GynoY83wRz3Ua,✨,spotify:track:1danObd53GynoY83wRz3Ua,0.805,0.0859,0.289,0.99,0.141,-17.24,0.0359,166.784,0.038,63,Coldplay
Music Of The Spheres,5,4cGqn0E8JCSY9gQllQj4Mf,Let Somebody Go,spotify:track:4cGqn0E8JCSY9gQllQj4Mf,0.193,0.592,0.342,0.00245,0.11,-8.93,0.0339,130.953,0.155,83,Coldplay
Music Of The Spheres,6,3oTYv0yShT4sjuPncoUXfK,❤️,spotify:track:3oTYv0yShT4sjuPncoUXfK,0.97,0.348,0.0491,0.000186,0.0918,-15.431,0.0404,136.68,0.232,67,Coldplay
Music Of The Spheres,7,5ophZLHA9mwSZhQSmboyDN,People of The Pride,spotify:track:5ophZLHA9mwSZhQSmboyDN,0.00581,0.432,0.613,0.0151,0.312,-6.785,0.0349,136.362,0.0911,68,Coldplay
Music Of The Spheres,8,2L2mM3rEO3arNIMQnb3dou,Biutyful,spotify:track:2L2mM3rEO3arNIMQnb3dou,0.0168,0.614,0.68,0.00056,0.118,-7.84,0.0425,153.937,0.347,66,Coldplay
Music Of The Spheres,9,0RbekAlUrwR6ZWJdwB3V4y,🌎,spotify:track:0RbekAlUrwR6ZWJdwB3V4y,0.969,0.115,0.907,0.981,0.98,-20.358,0.223,189.885,0.0185,16,Coldplay
Music Of The Spheres,10,46HNZY1i7O6jwTA7Slo2PI,My Universe,spotify:track:46HNZY1i7O6jwTA7Slo2PI,0.0114,0.573,0.711,0,0.328,-6.268,0.0406,105.006,0.47,88,Coldplay
Music Of The Spheres,11,2wleRXcIPqltoDPLMH5WDa,♾,spotify:track:2wleRXcIPqltoDPLMH5WDa,0.00941,0.576,0.896,0.955,0.153,-8.994,0.0412,135.01,0.412,63,Coldplay
Music Of The Spheres,12,0jH7gF7KCk2Lom9gimaKms,Coloratura,spotify:track:0jH7gF7KCk2Lom9gimaKms,0.629,0.285,0.265,0.179,0.066,-10.836,0.0288,134.055,0.0699,65,Coldplay
Everyday Life,9,4S2lJPZBoyl28MilRBgxgb,Flags,spotify:track:4S2lJPZBoyl28MilRBgxgb,0.00107,0.55,0.796,1.18E-05,0.123,-7.262,0.0378,89.876,0.51,16,Coldplay
Everyday Life,1,6Tb7Zfo4PcSiS4TqQ4NnTh,Sunrise,spotify:track:6Tb7Zfo4PcSiS4TqQ4NnTh,0.939,0.146,0.216,0.54,0.0773,-12.302,0.0399,78.045,0.0341,62,Coldplay
Everyday Life,2,1e8D1BCD2afT56Km7UahpB,Church,spotify:track:1e8D1BCD2afT56Km7UahpB,0.00865,0.449,0.736,0.145,0.147,-6.98,0.0368,123.973,0.133,57,Coldplay
Everyday Life,3,45PqOIkZ9PdCjsCJQYzx9G,Trouble In Town,spotify:track:45PqOIkZ9PdCjsCJQYzx9G,0.427,0.595,0.315,0.648,0.111,-11.456,0.0296,96.018,0.336,62,Coldplay
Everyday Life,4,1cXXhzPnbrXjNQYbLdUJdy,BrokEn,spotify:track:1cXXhzPnbrXjNQYbLdUJdy,0.923,0.55,0.271,0,0.147,-11.836,0.0495,130.151,0.521,54,Coldplay
Everyday Life,5,3pcPPhPAiurm2Ior11SHrz,Daddy,spotify:track:3pcPPhPAiurm2Ior11SHrz,0.931,0.633,0.18,0.801,0.513,-19.54,0.034,116.981,0.2,64,Coldplay
Everyday Life,6,7jib2tJjQ82kTIZZATMvAK,WOTW / POTP,spotify:track:7jib2tJjQ82kTIZZATMvAK,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,0.802,50,Coldplay
Everyday Life,7,0ZlVUhjO8c0bOx1D2Btznf,Arabesque,spotify:track:0ZlVUhjO8c0bOx1D2Btznf,0.000114,0.401,0.834,0.849,0.373,-7.727,0.055,172.009,0.163,64,Coldplay
Everyday Life,8,0UvUivL70eDwhTWBd8S38I,When I Need A Friend,spotify:track:0UvUivL70eDwhTWBd8S38I,0.921,0.141,0.28,0.368,0.135,-18.225,0.0618,64.501,0.434,61,Coldplay
Everyday Life,1,6VzRvCbolqcUswaSPm48rI,Guns,spotify:track:6VzRvCbolqcUswaSPm48rI,0.775,0.475,0.565,0.188,0.138,-8.336,0.0326,85.25,0.708,50,Coldplay
Everyday Life,2,03T4ttRCiLXST6MZjeMwmR,Orphans,spotify:track:03T4ttRCiLXST6MZjeMwmR,0.0258,0.503,0.808,0.00149,0.557,-5.051,0.0451,107.973,0.282,68,Coldplay
Everyday Life,3,2HUtNS9qtfgWbnaagK6AAe,Èkó,spotify:track:2HUtNS9qtfgWbnaagK6AAe,0.722,0.341,0.365,0.00194,0.184,-13.871,0.0322,182.995,0.0486,52,Coldplay
Everyday Life,4,4Kwhm5VU4huxmQtBqd1AXo,Cry Cry Cry,spotify:track:4Kwhm5VU4huxmQtBqd1AXo,0.89,0.491,0.262,0.288,0.207,-10.458,0.0572,204.52,0.338,57,Coldplay
Everyday Life,5,3E3zYgQul8EaJioNvD2tv9,Old Friends,spotify:track:3E3zYgQul8EaJioNvD2tv9,0.943,0.476,0.18,0.235,0.138,-17.499,0.0346,134.025,0.236,61,Coldplay
Everyday Life,6,6DGzLNiawTtntC9NHzeMeY,بنی آدم,spotify:track:6DGzLNiawTtntC9NHzeMeY,0.758,0.393,0.301,0.764,0.161,-20.428,0.0497,140.438,0.0384,52,Coldplay
Everyday Life,7,6mf7BNgXs8JipPr2QILnyN,Champion Of The World,spotify:track:6mf7BNgXs8JipPr2QILnyN,0.00276,0.503,0.594,0.0102,0.109,-7.095,0.0263,108.9,0.168,64,Coldplay
Everyday Life,8,0h9fnCSnbUgOEgibnQByFv,Everyday Life,spotify:track:0h9fnCSnbUgOEgibnQByFv,0.775,0.512,0.452,0.0818,0.065,-8.991,0.0292,124.103,0.235,70,Coldplay
Everyday Life,3,54XS0PDjYnK85mMByQ03we,Trouble in Town,spotify:track:54XS0PDjYnK85mMByQ03we,0.432,0.603,0.308,0.732,0.111,-11.442,0.0291,96.032,0.342,26,Coldplay
Live in Buenos Aires,1,5H8lr4az4Vo3LloH67yVRt,A Head Full of Dreams - Live in Buenos Aires,spotify:track:5H8lr4az4Vo3LloH67yVRt,0.0132,0.32,0.923,0.00654,0.705,-6.33,0.136,122.756,0.255,53,Coldplay
Live in Buenos Aires,2,2s2Ld1Xm7t88gSVvohNbPL,Yellow - Live in Buenos Aires,spotify:track:2s2Ld1Xm7t88gSVvohNbPL,0.000343,0.322,0.873,0.000698,0.362,-5.818,0.0639,91.033,0.144,56,Coldplay
Live in Buenos Aires,3,4Q0yfgpERfkp59Pf2tdI4q,Every Teardrop Is a Waterfall - Live in Buenos Aires,spotify:track:4Q0yfgpERfkp59Pf2tdI4q,0.00406,0.397,0.943,0,0.981,-5.619,0.0663,118.005,0.325,54,Coldplay
Live in Buenos Aires,4,1aZhbOdRqshLS6uPjiO8Y4,The Scientist - Live in Buenos Aires,spotify:track:1aZhbOdRqshLS6uPjiO8Y4,0.105,0.294,0.652,0.00196,0.378,-7.314,0.0336,75.335,0.167,57,Coldplay
