album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
7,1,2zy9TMoZlYGuCNY4TLqG24,Don't Leave Me Alone (feat. Anne-Marie),spotify:track:2zy9TMoZlYGuCNY4TLqG24,0.177,0.694,0.617,0,0.11,-7.838,0.0469,127.928,0.496,58,David Guetta
7,2,58adTUxM5N810ZVYuW9tmW,Battle (feat. Faouzia),spotify:track:58adTUxM5N810ZVYuW9tmW,0.0518,0.516,0.691,0,0.238,-4.975,0.0431,160.086,0.384,52,David Guetta
7,3,66BjcDhhwWCcQIBxHMpKXh,Flames,spotify:track:66BjcDhhwWCcQIBxHMpKXh,0.0817,0.631,0.649,3.80E-06,0.0934,-5.892,0.0385,93.95,0.421,64,David Guetta
7,4,4a35MftzWTiOPhG9zE7W0s,Blame It on Love (feat. Madison Beer),spotify:track:4a35MftzWTiOPhG9zE7W0s,0.112,0.671,0.729,0,0.1,-7.47,0.202,94.955,0.35,50,David Guetta
7,5,0YammaEkYSeo9vQYZ1OwS6,Say My Name,spotify:track:0YammaEkYSeo9vQYZ1OwS6,0.137,0.703,0.66,0,0.192,-5.119,0.123,95.031,0.79,77,David Guetta
7,6,5f3JSGmXvBk2PxE1hvMG8w,Goodbye (feat. Nicki Minaj & Willy William),spotify:track:5f3JSGmXvBk2PxE1hvMG8w,0.0776,0.643,0.904,0,0.189,-3.694,0.0739,103.028,0.481,51,David Guetta
7,7,7jJVq2u7EP9XoAxMIc5Dro,I'm That Bitch (feat. Saweetie),spotify:track:7jJVq2u7EP9XoAxMIc5Dro,0.012,0.826,0.834,0.0133,0.12,-5.856,0.104,122.992,0.902,49,David Guetta
7,8,4aBYzs8RxZMuqyOanNlf8I,Like I Do,spotify:track:4aBYzs8RxZMuqyOanNlf8I,0.00569,0.667,0.871,0.00655,0.165,-4.905,0.0343,128.042,0.187,60,David Guetta
7,9,265zv3IDBskSIkvgPOSiGQ,2U (feat. Justin Bieber),spotify:track:265zv3IDBskSIkvgPOSiGQ,0.234,0.534,0.613,0,0.227,-7.41,0.0591,144.878,0.528,65,David Guetta
7,10,5LHTgByvupvwtTfxOqW4Xw,She Knows How to Love Me (feat. Jess Glynne & Stefflon Don),spotify:track:5LHTgByvupvwtTfxOqW4Xw,0.112,0.629,0.676,0,0.396,-5.413,0.156,171.801,0.441,50,David Guetta
7,11,5geGPE69kNm7CFKh8mdZve,"Motto (feat. Lil Uzi Vert, G-Eazy & Mally Mall)",spotify:track:5geGPE69kNm7CFKh8mdZve,0.052,0.742,0.827,0,0.263,-5.067,0.0584,85.014,0.654,47,David Guetta
7,13,6ExOeqdAGRIl2epdTdOqFA,Para que te quedes (feat. J. Balvin),spotify:track:6ExOeqdAGRIl2epdTdOqFA,0.122,0.863,0.584,0,0.0707,-4.785,0.279,94,0.698,52,David Guetta
7,14,2F83FxNVkK6PPMHuYnwyVc,Let It Be Me (feat. Ava Max),spotify:track:2F83FxNVkK6PPMHuYnwyVc,0.128,0.743,0.529,0,0.181,-6.187,0.0505,102.048,0.438,69,David Guetta
7,15,63lctya7LlMoW5iht9JAVZ,Light Headed,spotify:track:63lctya7LlMoW5iht9JAVZ,0.0595,0.452,0.709,0,0.124,-6.053,0.0448,139.883,0.343,47,David Guetta
7,1,4LI1LaB0bKCIZUyey7I97g,Reach For Me,spotify:track:4LI1LaB0bKCIZUyey7I97g,0.017,0.789,0.896,0.217,0.101,-6.588,0.0574,124.986,0.496,37,David Guetta
7,2,1TcNWttaet1eKCwl2p6Qae,Freedom,spotify:track:1TcNWttaet1eKCwl2p6Qae,0.00266,0.456,0.802,0.37,0.122,-7.173,0.0962,116.497,0.0616,36,David Guetta
7,3,4t2pbeCfKh9JboqNG6t3YU,Grenade,spotify:track:4t2pbeCfKh9JboqNG6t3YU,0.027,0.627,0.883,0.172,0.0917,-6.915,0.081,124,0.479,35,David Guetta
7,4,1P0RYGP8i90T63FCmMLVIb,Inferno,spotify:track:1P0RYGP8i90T63FCmMLVIb,0.00191,0.311,0.734,0.898,0.201,-7.74,0.0641,191.814,0.225,37,David Guetta
7,5,1qB0pBoaZ3xag69lZ3wsjq,Overtone,spotify:track:1qB0pBoaZ3xag69lZ3wsjq,0.00132,0.656,0.792,0.71,0.113,-6.815,0.0314,121.002,0.0472,36,David Guetta
7,6,1398PWJxupakwoj2Ulkv2W,Back and Forth,spotify:track:1398PWJxupakwoj2Ulkv2W,0.00633,0.788,0.751,0.489,0.162,-5.636,0.0522,124.016,0.738,35,David Guetta
7,7,6i2HdhGvdouYMK1Ruo7s03,Pelican,spotify:track:6i2HdhGvdouYMK1Ruo7s03,0.00513,0.416,0.611,0.883,0.109,-6.974,0.0347,122.986,0.0495,33,David Guetta
7,8,31BEz9IE8KlSxig3GTA3NG,Afterglow,spotify:track:31BEz9IE8KlSxig3GTA3NG,0.0851,0.667,0.69,0.847,0.11,-12.317,0.037,122.03,0.0386,34,David Guetta
7,9,5LGdqP9bBxxNlzAiMNxTWw,Think Think Think,spotify:track:5LGdqP9bBxxNlzAiMNxTWw,0.137,0.648,0.71,0.0294,0.0417,-7.853,0.039,127.965,0.408,34,David Guetta
7,10,3MW40zf5R22WFTD5dDCfCE,Orion,spotify:track:3MW40zf5R22WFTD5dDCfCE,0.0963,0.633,0.824,0.884,0.112,-9.721,0.0355,122.018,0.169,33,David Guetta
7,11,2zkTwxTJCiwWjXwXJWxqpd,What 2 Say,spotify:track:2zkTwxTJCiwWjXwXJWxqpd,0.0228,0.758,0.464,0.535,0.147,-10.375,0.052,123.03,0.222,34,David Guetta
7,12,1h66tR1OkaN8Z4SirC1Dx4,Just a Little More Love (feat. Chris Willis) - Jack Back 2018 Remix,spotify:track:1h66tR1OkaN8Z4SirC1Dx4,0.00848,0.62,0.86,0.000141,0.0852,-5.391,0.0445,127.967,0.0972,48,David Guetta
7,12,6lXPxNJVBoIRUitMJZw64Y,Drive (feat. Delilah Montagu),spotify:track:6lXPxNJVBoIRUitMJZw64Y,0.00163,0.711,0.829,0.0125,0.0809,-7.37,0.037,118.021,0.435,0,David Guetta
Listen Again,23,19UJXRWv1AXlvf6PAfsuxY,"Hey Mama (feat. Nicki Minaj, TANAKA ALICE & Afrojack)",spotify:track:19UJXRWv1AXlvf6PAfsuxY,0.158,0.547,0.742,4.05E-06,0.25,-4.208,0.179,172.269,0.531,6,David Guetta
Listen Again,24,5liMujTkY8BsIvnjmH4c9Y,What I Did for Love (feat. Namie Amuro),spotify:track:5liMujTkY8BsIvnjmH4c9Y,0.0904,0.452,0.704,0,0.0997,-5.588,0.036,127.741,0.39,15,David Guetta
Listen Again,7,0tYszKcoxeQqH5JGbgWVjm,Listen (feat. John Legend),spotify:track:0tYszKcoxeQqH5JGbgWVjm,0.394,0.564,0.723,0,0.111,-4.232,0.0427,130.006,0.292,44,David Guetta
Listen Again,15,53Y0kdCa1CZ9gRqEuknfwy,Bang My Head (feat. Sia & Fetty Wap),spotify:track:53Y0kdCa1CZ9gRqEuknfwy,0.0525,0.599,0.869,0.00719,0.103,-3.697,0.0789,108.061,0.593,66,David Guetta
