album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",1,2ifqSIC3VoaZsHNcKhQvTS,Now - Radio Edit,spotify:track:2ifqSIC3VoaZsHNcKhQvTS,0.00277,0.411,0.772,0.00103,0.316,-8.036,0.0365,174.057,0.4,31,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",2,4wFGlcDQL8zbQZP3Ad08sa,Long Long Way To Go - Radio Edit,spotify:track:4wFGlcDQL8zbQZP3Ad08sa,0.094,0.472,0.51,0,0.143,-10.949,0.0311,144.069,0.185,32,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",3,0KLrEUoMsDIRXakGRgfdQX,Kiss The Day,spotify:track:0KLrEUoMsDIRXakGRgfdQX,0.000147,0.386,0.622,0.000149,0.106,-7.885,0.0331,67.497,0.309,29,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",4,6r8n6KSc83rBDn6bEViox0,10 Times Bigger Than Love,spotify:track:6r8n6KSc83rBDn6bEViox0,0.00117,0.574,0.788,0,0.126,-7.05,0.0357,124.991,0.257,30,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",5,0BfAOqfIw4hoOb6EqLSKVQ,Love Don't Lie - Demo,spotify:track:0BfAOqfIw4hoOb6EqLSKVQ,0.00512,0.482,0.781,0.00248,0.0717,-7.274,0.0815,96.071,0.713,28,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",6,6U9anhQgpGgWSwe1hypgGj,Let Me Be The One - Demo,spotify:track:6U9anhQgpGgWSwe1hypgGj,0.128,0.508,0.538,0,0.0955,-6.563,0.0265,83.032,0.18,38,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",7,622lBylcK4cK2zkdkjkyYF,Gimme A Job,spotify:track:622lBylcK4cK2zkdkjkyYF,0.000195,0.57,0.549,0,0.075,-6.531,0.0335,127.982,0.66,27,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",8,2gy5FYR3LFCbhEhWyT1jBS,Now - Live Acoustic Version / 2003,spotify:track:2gy5FYR3LFCbhEhWyT1jBS,0.378,0.355,0.46,0,0.101,-9.828,0.0271,170.468,0.37,26,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",9,061RiNlxHO1ZT3BObqhBjT,Long Long Way To Go - Stripped Version,spotify:track:061RiNlxHO1ZT3BObqhBjT,0.0227,0.312,0.365,0,0.0855,-11.004,0.0289,141.818,0.161,27,Def Leppard
"X, Yeah! & Songs From The Sparkle Lounge: Rarities From The Vault",10,707vMaXMerBVWk4qX1FPPA,Nine Lives - Joe Only Vocal Version,spotify:track:707vMaXMerBVWk4qX1FPPA,9.14E-05,0.489,0.677,0,0.602,-6.044,0.0471,119.315,0.515,36,Def Leppard
