album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Dancing With The Devil…The Art of Starting Over (Deluxe Edition),20,1qYnqHydtG4iV9YenAz8Ux,Sunset,spotify:track:1qYnqHydtG4iV9YenAz8Ux,0.0421,0.629,0.566,0,0.337,-6.061,0.035,77.653,0.476,47,Demi Lovato
Dancing With The Devil…The Art of Starting Over (Deluxe Edition),21,4Ua0nnuFz8rmHLZt8f0TCk,Anyone - Live Acoustic,spotify:track:4Ua0nnuFz8rmHLZt8f0TCk,0.798,0.417,0.429,0,0.115,-4.733,0.0338,135.878,0.227,42,Demi Lovato
Dancing With The Devil…The Art of Starting Over (Deluxe Edition),22,4tB9pfcdjPcTZwFIXDUzcm,Dancing With The Devil - Live Acoustic,spotify:track:4tB9pfcdjPcTZwFIXDUzcm,0.514,0.415,0.529,0,0.194,-3.729,0.0304,70.18,0.122,38,Demi Lovato
Dancing With The Devil…The Art of Starting Over (Deluxe Edition),23,6VM9OZ0oGu0kUInRZWNPiB,ICU (Madison's Lullabye) - Live Acoustic,spotify:track:6VM9OZ0oGu0kUInRZWNPiB,0.786,0.447,0.312,0,0.313,-6.056,0.0394,119.552,0.314,34,Demi Lovato
Dancing With The Devil…The Art of Starting Over,1,3XabMu0mJaQmrqz57UkEZI,Anyone,spotify:track:3XabMu0mJaQmrqz57UkEZI,0.875,0.578,0.386,0,0.108,-6.338,0.0385,86.075,0.321,59,Demi Lovato
Dancing With The Devil…The Art of Starting Over,2,0XqQxKtAdYbOC8OVIjWLZD,Dancing With The Devil,spotify:track:0XqQxKtAdYbOC8OVIjWLZD,0.273,0.413,0.64,0,0.11,-5.811,0.0427,75.245,0.149,59,Demi Lovato
Dancing With The Devil…The Art of Starting Over,3,4wnswT59TvNDhJZ24zjEnI,ICU (Madison's Lullabye),spotify:track:4wnswT59TvNDhJZ24zjEnI,0.877,0.502,0.353,0,0.0707,-7.338,0.0345,115.941,0.371,46,Demi Lovato
Dancing With The Devil…The Art of Starting Over,4,0SxGGYVDR7Rn0Qa6EnBnLn,Intro,spotify:track:0SxGGYVDR7Rn0Qa6EnBnLn,0.0405,0.628,0.34,0,0.0997,-17.676,0.897,170.681,0.66,5,Demi Lovato
Dancing With The Devil…The Art of Starting Over,5,57ijZDKnYdHw5ZpHLyHblW,The Art Of Starting Over,spotify:track:57ijZDKnYdHw5ZpHLyHblW,0.000545,0.638,0.683,7.39E-05,0.64,-3.587,0.0627,119.93,0.719,50,Demi Lovato
Dancing With The Devil…The Art of Starting Over,6,6qcMdeGLSkio2IhkEcU4J9,Lonely People,spotify:track:6qcMdeGLSkio2IhkEcU4J9,0.00605,0.656,0.548,0,0.0954,-5.269,0.0304,90.996,0.764,45,Demi Lovato
Dancing With The Devil…The Art of Starting Over,7,38KHLuvLbQTIsRGiy66RrQ,The Way You Don't Look At Me,spotify:track:38KHLuvLbQTIsRGiy66RrQ,0.259,0.612,0.551,0,0.0691,-7.967,0.0367,98.991,0.241,48,Demi Lovato
