album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
KHALED KHALED,1,5suOUHDyRxvWDYF5GA6dly,THANKFUL (feat. Lil Wayne & Jeremih),spotify:track:5suOUHDyRxvWDYF5GA6dly,0.536,0.352,0.758,0,0.161,-2.491,0.0434,84.281,0.653,53,DJ Khaled
KHALED KHALED,2,1EJIcDYXwSqipW5dFe4uJz,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),spotify:track:1EJIcDYXwSqipW5dFe4uJz,0.000866,0.477,0.727,0,0.108,-4.053,0.286,150.062,0.227,82,DJ Khaled
KHALED KHALED,3,2ES75ADP1RR9TQmYqtDtyB,BIG PAPER (feat. Cardi B),spotify:track:2ES75ADP1RR9TQmYqtDtyB,0.00838,0.725,0.638,0,0.104,-4.906,0.204,119.795,0.316,50,DJ Khaled
KHALED KHALED,4,6BvcWv1vfVJSoWix7L5BAP,WE GOING CRAZY (feat. H.E.R. & Migos),spotify:track:6BvcWv1vfVJSoWix7L5BAP,0.00749,0.512,0.917,0,0.163,-2.969,0.339,139.748,0.64,58,DJ Khaled
KHALED KHALED,5,20GrahbI4AzAOWxpYfDKkf,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",spotify:track:20GrahbI4AzAOWxpYfDKkf,0.00196,0.757,0.721,0,0.647,-2.906,0.0691,124.036,0.364,74,DJ Khaled
KHALED KHALED,6,1cEhrSF6EylAEqdhUGuNpX,LET IT GO (feat. Justin Bieber & 21 Savage),spotify:track:1cEhrSF6EylAEqdhUGuNpX,0.24,0.877,0.444,0,0.169,-7.547,0.172,129.06,0.658,74,DJ Khaled
KHALED KHALED,7,1IZGMPe57hATuLJgmMR4eP,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)",spotify:track:1IZGMPe57hATuLJgmMR4eP,0.009,0.669,0.687,0,0.508,-5.782,0.12,91.969,0.335,69,DJ Khaled
KHALED KHALED,8,1sbEeUY8KsdvgiQi26JBFz,POPSTAR (feat. Drake),spotify:track:1sbEeUY8KsdvgiQi26JBFz,0.0558,0.803,0.565,0,0.141,-4.711,0.235,163.085,0.474,72,DJ Khaled
KHALED KHALED,9,3pBt8B92anUJVIllwPrIuR,"THIS IS MY YEAR (feat. A Boogie Wit Da Hoodie, Big Sean, Rick Ross & Puff Daddy)",spotify:track:3pBt8B92anUJVIllwPrIuR,0.0684,0.454,0.824,0,0.448,-4.657,0.356,118.524,0.384,49,DJ Khaled
KHALED KHALED,10,5OypcrFg58e4k2iYHi69ED,"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) - Harmonies by The Hive",spotify:track:5OypcrFg58e4k2iYHi69ED,0.133,0.397,0.545,0,0.116,-8.052,0.0985,142.214,0.301,57,DJ Khaled
KHALED KHALED,11,4eSsGiCHi75eMYx31ntNuI,JUST BE (feat. Justin Timberlake),spotify:track:4eSsGiCHi75eMYx31ntNuI,0.123,0.339,0.706,0,0.0912,-4.383,0.0495,91.064,0.226,47,DJ Khaled
KHALED KHALED,12,1WTv76ouGCJZ0Rhz15YkIC,"I CAN HAVE IT ALL (feat. Bryson Tiller, H.E.R. & Meek Mill)",spotify:track:1WTv76ouGCJZ0Rhz15YkIC,0.0567,0.428,0.725,0,0.112,-6.035,0.188,74.946,0.376,54,DJ Khaled
KHALED KHALED,13,3gruCKVuhCsRjs3a3dG8CA,GREECE (feat. Drake),spotify:track:3gruCKVuhCsRjs3a3dG8CA,0.0755,0.687,0.336,0,0.126,-10.748,0.0456,85.828,0.215,72,DJ Khaled
KHALED KHALED,14,6MtawOWcSDL2YJAhGD6SC3,"WHERE YOU COME FROM (feat. Buju Banton, Capleton & Bounty Killer)",spotify:track:6MtawOWcSDL2YJAhGD6SC3,0.0724,0.624,0.76,0,0.443,-6.05,0.398,158.449,0.528,56,DJ Khaled
Father Of Asahd,1,74LujaXmzGQi5wRZ2HFh0G,"Holy Mountain (feat. Buju Banton, Sizzla, Mavado & 070 Shake)",spotify:track:74LujaXmzGQi5wRZ2HFh0G,0.166,0.579,0.8,0,0.963,-3.152,0.367,145.53,0.604,53,DJ Khaled
Father Of Asahd,2,1Hd2XLitkt1PYCWSbfF5qV,Wish Wish (feat. Cardi B & 21 Savage),spotify:track:1Hd2XLitkt1PYCWSbfF5qV,0.00218,0.861,0.666,0,0.272,-5.18,0.343,145.041,0.853,65,DJ Khaled
Father Of Asahd,3,6Dq8FZrvx9S28iyaKSwn9x,"Jealous (feat. Chris Brown, Lil Wayne & Big Sean)",spotify:track:6Dq8FZrvx9S28iyaKSwn9x,0.0133,0.614,0.685,0,0.313,-3.684,0.147,94.9,0.61,63,DJ Khaled
Father Of Asahd,4,0BnTBAGmr9FtYwkZrwKhwS,Just Us (feat. SZA),spotify:track:0BnTBAGmr9FtYwkZrwKhwS,0.135,0.639,0.859,0,0.129,-2.758,0.147,93.132,0.566,68,DJ Khaled
Father Of Asahd,5,4U6ubKsTd8RBDP5tPPhh7I,"You Stay (feat. Meek Mill, J Balvin, Lil Baby & Jeremih)",spotify:track:4U6ubKsTd8RBDP5tPPhh7I,0.0314,0.479,0.63,0,0.073,-5.628,0.133,117.988,0.227,61,DJ Khaled
Father Of Asahd,6,0b6UoVjUzFyZNpHI0aAhKt,Celebrate (feat. Travis Scott & Post Malone),spotify:track:0b6UoVjUzFyZNpHI0aAhKt,0.269,0.362,0.714,0,0.21,-3.07,0.0835,67.4,0.309,60,DJ Khaled
Father Of Asahd,7,6O10oTtZIZ4DkkUqyfCbrR,Higher (feat. Nipsey Hussle & John Legend),spotify:track:6O10oTtZIZ4DkkUqyfCbrR,0.0949,0.351,0.956,0,0.226,-1.996,0.245,83.655,0.446,56,DJ Khaled
Father Of Asahd,8,3ErERvCgbRm3KCEc58w5za,Won't Take My Soul (feat. Nas & CeeLo Green),spotify:track:3ErERvCgbRm3KCEc58w5za,0.476,0.25,0.917,0,0.274,-2.938,0.288,174.397,0.417,39,DJ Khaled
Father Of Asahd,9,6xVhqLT40s5sVhepe9Mckc,Weather the Storm (feat. Meek Mill & Lil Baby),spotify:track:6xVhqLT40s5sVhepe9Mckc,0.18,0.515,0.802,0,0.241,-2.655,0.283,76.069,0.279,54,DJ Khaled
Father Of Asahd,10,6L8MHp94PFckbkfZm2foUJ,Big Boy Talk (feat. Jeezy & Rick Ross),spotify:track:6L8MHp94PFckbkfZm2foUJ,0.0656,0.406,0.793,0,0.346,-4.389,0.425,78.264,0.363,49,DJ Khaled
