album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Shang-Chi and The Legend of The Ten Rings: The Album,1,7m4xUEEivwPGz4U0TA1TWD,Always Rising,spotify:track:7m4xUEEivwPGz4U0TA1TWD,0.28,0.376,0.694,1.93E-06,0.102,-6.381,0.261,75.625,0.0399,58,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,2,314oBdIvnoTPDwSP4zOP8p,Diamonds + And Pearls,spotify:track:314oBdIvnoTPDwSP4zOP8p,0.46,0.531,0.902,6.36E-05,0.124,-2.886,0.111,94.009,0.366,60,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,3,0zaoWwS8RpE3LSDdmkg8TC,In The Dark (with Jhené Aiko),spotify:track:0zaoWwS8RpE3LSDdmkg8TC,0.433,0.686,0.654,0,0.108,-6.7,0.0936,98.077,0.663,72,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,4,2XbG1IRDzoQQzLJSmwWIqC,Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei),spotify:track:2XbG1IRDzoQQzLJSmwWIqC,0.0428,0.766,0.825,0,0.102,-5.622,0.299,155.967,0.646,59,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,5,753sRMieYWBC6HGodwtkjI,Nomad,spotify:track:753sRMieYWBC6HGodwtkjI,0.00729,0.555,0.64,5.53E-05,0.0571,-5.242,0.0258,91.98,0.429,59,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,6,3zpGIFghtnVlwMXWyKW474,Fire In The Sky,spotify:track:3zpGIFghtnVlwMXWyKW474,0.0837,0.668,0.856,0.0446,0.096,-6.386,0.0453,79.008,0.737,71,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,7,1Mut1YA6ZxKZ7F6MKsMSQu,Lose Control,spotify:track:1Mut1YA6ZxKZ7F6MKsMSQu,0.223,0.56,0.75,0.427,0.204,-5.885,0.0816,100.077,0.279,61,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,8,06nIuUCXydh4DcVfFhJa4R,Every Summertime,spotify:track:06nIuUCXydh4DcVfFhJa4R,0.399,0.608,0.657,3.10E-05,0.0918,-4.251,0.0482,78.973,0.681,63,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,9,2u2QmdOex0MnbWuHmC7jcD,Never Gonna Come Down,spotify:track:2u2QmdOex0MnbWuHmC7jcD,0.656,0.777,0.689,0,0.062,-5.291,0.0785,150.036,0.873,59,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,10,3nXWCSTtbJFwvnLuMTIYwF,Foolish,spotify:track:3nXWCSTtbJFwvnLuMTIYwF,0.031,0.869,0.794,0,0.0769,-5.217,0.0426,112.017,0.339,54,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,11,4aZXxStzucuminkE8up916,Clocked Out!,spotify:track:4aZXxStzucuminkE8up916,0.0351,0.743,0.72,0.00333,0.287,-7.789,0.14,127.983,0.117,54,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,12,36Ajx3OHw1qOAjS4tJs38V,Act Up,spotify:track:36Ajx3OHw1qOAjS4tJs38V,0.328,0.609,0.772,0,0.321,-4.152,0.119,78.052,0.384,64,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,13,0RszjqOiIwaZGnXUDuAq1C,Baba Says,spotify:track:0RszjqOiIwaZGnXUDuAq1C,0.0289,0.626,0.656,1.03E-05,0.128,-7.16,0.0535,138.026,0.34,51,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,14,5x4vgABKiGp4Vg7ZyFRxhn,Run It (feat. Rick Ross & Rich Brian),spotify:track:5x4vgABKiGp4Vg7ZyFRxhn,0.0195,0.688,0.725,7.63E-06,0.0726,-7.806,0.044,104.006,0.225,73,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,15,790TzR1UxBXVMFSGq8p7bv,Swan Song,spotify:track:790TzR1UxBXVMFSGq8p7bv,0.0378,0.714,0.587,0,0.167,-5.124,0.0401,151.898,0.542,59,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,16,14gmLQPNYokqB8OKxAp69f,War With Heaven,spotify:track:14gmLQPNYokqB8OKxAp69f,0.014,0.622,0.671,0,0.304,-6.426,0.026,84.996,0.572,71,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,17,5BPtR7o6xDRRp1s2UkBjmb,Hot Soup,spotify:track:5BPtR7o6xDRRp1s2UkBjmb,0.657,0.243,0.339,0.33,0.113,-9.188,0.0284,94.64,0.066,51,DJ Snake
Shang-Chi and The Legend of The Ten Rings: The Album,18,4JfbAMCkYLAU3g5SPsDh42,Warriors,spotify:track:4JfbAMCkYLAU3g5SPsDh42,0.436,0.461,0.876,0,0.0955,-6.667,0.274,102.649,0.11,51,DJ Snake
Carte Blanche (Deluxe),18,5WOTereqXz1pEafq0ocesS,Loco Contigo - REMIX,spotify:track:5WOTereqXz1pEafq0ocesS,0.0982,0.789,0.694,0,0.0962,-5.781,0.0729,96.035,0.549,12,DJ Snake
Carte Blanche (Deluxe),19,3DxbBIrwrXwzqmljfYG3OS,Loco Contigo - Cedric Gervais Remix,spotify:track:3DxbBIrwrXwzqmljfYG3OS,0.00486,0.752,0.84,0.0109,0.0916,-4.451,0.0373,124.002,0.461,7,DJ Snake
Carte Blanche (Deluxe),20,2JRvN0i1ATFAu0pcXn76Pi,Enzo - Malaa Remix,spotify:track:2JRvN0i1ATFAu0pcXn76Pi,0.00217,0.741,0.67,0.105,0.0533,-4.917,0.0768,124.008,0.494,4,DJ Snake
