album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Planet Her (Deluxe),15,4rmwWGh87KY0ouByBEh1zC,You Right - Extended,spotify:track:4rmwWGh87KY0ouByBEh1zC,0.0158,0.837,0.567,0.00139,0.118,-6.709,0.0649,129.001,0.502,71,Doja Cat
Planet Her (Deluxe),16,1uQ1TZ9YIWCtBTgq09uoix,Up And Down,spotify:track:1uQ1TZ9YIWCtBTgq09uoix,0.186,0.829,0.761,7.78E-06,0.0705,-4.882,0.117,74.979,0.67,75,Doja Cat
Planet Her (Deluxe),17,2rokN1FX25tFt7vPTFi5lB,Tonight (feat. Eve),spotify:track:2rokN1FX25tFt7vPTFi5lB,0.0417,0.779,0.558,0,0.0727,-5.523,0.259,91.933,0.866,69,Doja Cat
Planet Her (Deluxe),18,4jw87bP3TuCGm15g9kc64g,Ride,spotify:track:4jw87bP3TuCGm15g9kc64g,0.224,0.722,0.592,0.000697,0.0714,-6.718,0.383,199.719,0.828,70,Doja Cat
Planet Her (Deluxe),19,5OQnuRwGJTDwk4PNq21Som,Why Why (feat. Gunna),spotify:track:5OQnuRwGJTDwk4PNq21Som,0.212,0.592,0.635,0,0.305,-5.351,0.0971,155.907,0.476,68,Doja Cat
Planet Her,1,6Uj1ctrBOjOas8xZXGqKk4,Woman,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,0.881,97,Doja Cat
Planet Her,2,0CsR9Y9SnC6ZWmekmVqSHz,Naked,spotify:track:0CsR9Y9SnC6ZWmekmVqSHz,0.374,0.733,0.862,0.00247,0.131,-5.736,0.197,111.076,0.536,78,Doja Cat
Planet Her,3,2HolBGR6tpiWI80MXoV1dJ,Payday (feat. Young Thug),spotify:track:2HolBGR6tpiWI80MXoV1dJ,0.0366,0.619,0.707,7.54E-05,0.13,-5.791,0.0499,168.995,0.558,75,Doja Cat
Planet Her,4,0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),spotify:track:0W6I02J9xcqK8MtSeosEXb,0.315,0.912,0.655,3.39E-05,0.0894,-6.029,0.162,91.942,0.793,89,Doja Cat
Planet Her,5,3Vi5XqYrmQgOYBajMWSvCi,Need to Know,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,0.304,0.664,0.609,0,0.0926,-6.509,0.0707,130.041,0.194,93,Doja Cat
Planet Her,6,0FFsgUoFibYISzMxuGS61W,I Don't Do Drugs (feat. Ariana Grande),spotify:track:0FFsgUoFibYISzMxuGS61W,0.222,0.683,0.615,8.25E-06,0.154,-5.737,0.0966,77.014,0.45,79,Doja Cat
Planet Her,7,6Q9IUoBTNLHgBib1FSFGbj,Love To Dream,spotify:track:6Q9IUoBTNLHgBib1FSFGbj,0.597,0.734,0.45,7.33E-06,0.0964,-7.075,0.0824,135.067,0.529,74,Doja Cat
Planet Her,8,0k4d5YPDr1r7FX77VdqWez,You Right,spotify:track:0k4d5YPDr1r7FX77VdqWez,0.0164,0.828,0.621,0.00233,0.0845,-6.414,0.0565,128.986,0.436,90,Doja Cat
Planet Her,9,7y3xU9vEC1s8DSuuoSYKih,Been Like This,spotify:track:7y3xU9vEC1s8DSuuoSYKih,0.126,0.678,0.531,3.44E-05,0.377,-5.029,0.0374,99.008,0.176,77,Doja Cat
Planet Her,10,1ayV64ur8VWgc6OPtPRl1q,Options (feat. JID),spotify:track:1ayV64ur8VWgc6OPtPRl1q,0.293,0.842,0.522,6.91E-05,0.107,-7.844,0.0985,132.986,0.285,74,Doja Cat
Planet Her,11,5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,0.506,0.855,0.488,0,0.347,-4.601,0.208,124.097,0.619,87,Doja Cat
Planet Her,12,5CC5krEgwJXuoA0F9scOFg,Imagine,spotify:track:5CC5krEgwJXuoA0F9scOFg,0.209,0.82,0.656,0.0339,0.124,-5.537,0.0399,143.059,0.698,71,Doja Cat
Planet Her,13,45Nc6nYgV3yBvAeRaZt689,Alone,spotify:track:45Nc6nYgV3yBvAeRaZt689,0.543,0.691,0.656,1.22E-05,0.095,-5.864,0.172,169.973,0.746,72,Doja Cat
Planet Her,14,3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),spotify:track:3DarAbFujv6eYNliUTyqtz,0.259,0.764,0.705,8.92E-05,0.12,-3.463,0.0284,110.97,0.781,89,Doja Cat
Hot Pink (Japan Version),13,6212iKtu9Y7jeeQu45SD4v,Say So (Jax Jones Midnight Snack Remix),spotify:track:6212iKtu9Y7jeeQu45SD4v,0.448,0.798,0.51,0.00312,0.094,-10.074,0.064,121.923,0.401,12,Doja Cat
Hot Pink,1,1ghvzmzpx2nnrbx7wtpMgo,Cyber Sex,spotify:track:1ghvzmzpx2nnrbx7wtpMgo,0.318,0.917,0.657,3.62E-06,0.0754,-5.716,0.0921,131.03,0.818,78,Doja Cat
Hot Pink,2,7k51pIqTGEHHZOnpI11Qq2,Won't Bite (feat. Smino),spotify:track:7k51pIqTGEHHZOnpI11Qq2,0.351,0.807,0.783,0,0.14,-3.115,0.0964,127.996,0.592,74,Doja Cat
Hot Pink,3,1TMWcbxL5YF8rKsFHv5hAP,Rules,spotify:track:1TMWcbxL5YF8rKsFHv5hAP,0.172,0.651,0.724,0,0.13,-5.457,0.166,144.146,0.686,82,Doja Cat
Hot Pink,4,1L0z2CQKrKJ2spYSMkfim9,Bottom Bitch,spotify:track:1L0z2CQKrKJ2spYSMkfim9,0.00265,0.695,0.825,0.000928,0.0723,-2.891,0.0359,160.028,0.484,70,Doja Cat
Hot Pink,5,3Dv1eDb0MEgF93GpLXlucZ,Say So,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,0.264,0.787,0.673,3.35E-06,0.0904,-4.583,0.159,110.962,0.779,86,Doja Cat
Hot Pink,6,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),spotify:track:4EivmOT13NMpNSfTKn9p4s,0.239,0.879,0.498,0,0.0967,-6.027,0.18,106.044,0.405,81,Doja Cat
