album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
"Run, Rose, Run",1,2JndeCU11e848HNakDGaZC,Run,spotify:track:2JndeCU11e848HNakDGaZC,0.72,0.624,0.858,0,0.356,-4.795,0.0954,115.048,0.675,51,Dolly Parton
"Run, Rose, Run",2,74oyvAPVoZvnEHDwZQgYnL,Big Dreams and Faded Jeans,spotify:track:74oyvAPVoZvnEHDwZQgYnL,0.445,0.768,0.553,0,0.0801,-7.878,0.0438,112.026,0.81,49,Dolly Parton
"Run, Rose, Run",3,42qQfL7lQefUOXvqtSyrWM,Demons,spotify:track:42qQfL7lQefUOXvqtSyrWM,0.488,0.681,0.356,0,0.109,-8.233,0.0306,86.915,0.401,51,Dolly Parton
"Run, Rose, Run",4,04FrhzuZSgjHL1fGgOLiiT,Driven,spotify:track:04FrhzuZSgjHL1fGgOLiiT,0.589,0.616,0.827,1.82E-06,0.243,-5.535,0.0543,139.992,0.644,48,Dolly Parton
"Run, Rose, Run",5,0eMAQzLpfKkS57DzOiaTNv,Snakes In the Grass,spotify:track:0eMAQzLpfKkS57DzOiaTNv,0.336,0.695,0.554,0,0.0639,-8.637,0.058,109.959,0.551,45,Dolly Parton
"Run, Rose, Run",6,0wSRvzs3I0Dig07ejN2jiZ,Blue Bonnet Breeze,spotify:track:0wSRvzs3I0Dig07ejN2jiZ,0.902,0.364,0.202,2.52E-06,0.159,-15.262,0.0494,147.097,0.369,45,Dolly Parton
"Run, Rose, Run",7,4ed8tSfo4yU778D2mzIptV,Woman Up (And Take It Like A Man),spotify:track:4ed8tSfo4yU778D2mzIptV,0.383,0.681,0.759,0,0.0974,-5.602,0.0982,98.038,0.614,54,Dolly Parton
"Run, Rose, Run",8,7C8gwN0JX7Df8Rfepg8nMi,Firecracker,spotify:track:7C8gwN0JX7Df8Rfepg8nMi,0.351,0.593,0.812,0,0.396,-3.935,0.044,139.842,0.764,47,Dolly Parton
"Run, Rose, Run",9,5ZEOBAdt5fnY6l4yJzaMVf,Secrets,spotify:track:5ZEOBAdt5fnY6l4yJzaMVf,0.778,0.555,0.284,0.000249,0.101,-11.691,0.043,73.751,0.304,42,Dolly Parton
"Run, Rose, Run",10,3Ygg9wPKyNeNzcmqqji605,Lost and Found,spotify:track:3Ygg9wPKyNeNzcmqqji605,0.605,0.659,0.428,0,0.135,-7.989,0.0324,126.157,0.46,43,Dolly Parton
