album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Small Town Boy (Deluxe),12,6Syec1m9xRRdto08izXrY0,Stars,spotify:track:6Syec1m9xRRdto08izXrY0,0.829,0.54,0.327,0,0.0947,-11.349,0.0332,96.504,0.336,61,Duncan Laurence
Small Town Boy (Deluxe),13,3loxLNgQ9kjJOOTPzLNtcc,Sad Old Me,spotify:track:3loxLNgQ9kjJOOTPzLNtcc,0.00992,0.489,0.669,0.000168,0.18,-7.499,0.0375,174.014,0.294,37,Duncan Laurence
Small Town Boy (Deluxe),14,1hjKTJI1b3RVwDgqU1hoPK,I Got You,spotify:track:1hjKTJI1b3RVwDgqU1hoPK,0.8,0.575,0.466,7.67E-06,0.0953,-10.264,0.0472,94.841,0.286,37,Duncan Laurence
Small Town Boy (Deluxe),15,5EG38ZbObCLuT4Pd5muVeN,Feel Something (feat. Duncan Laurence) - Bonus Track,spotify:track:5EG38ZbObCLuT4Pd5muVeN,0.0846,0.65,0.607,0,0.114,-6.237,0.149,93.786,0.651,0,Duncan Laurence
Small Town Boy (Deluxe),16,6lVu8PUbVwWQWtBYh3Y0Qz,Arcade (feat. FLETCHER) - Bonus Track,spotify:track:6lVu8PUbVwWQWtBYh3Y0Qz,0.798,0.344,0.391,0.00139,0.138,-9.36,0.0411,72.071,0.213,30,Duncan Laurence
Small Town Boy (Deluxe),17,7KL3oLZzAQ5sr393XFSNBs,Arcade - Sam Feldt Remix - Bonus Track,spotify:track:7KL3oLZzAQ5sr393XFSNBs,0.195,0.503,0.713,0.00811,0.0609,-7.733,0.0412,171.956,0.545,56,Duncan Laurence
Small Town Boy,1,6NifShmI9d76Iio2NW3qeB,Beautiful,spotify:track:6NifShmI9d76Iio2NW3qeB,0.487,0.493,0.549,0.031,0.07,-10.299,0.0319,99.762,0.56,39,Duncan Laurence
Small Town Boy,4,6YqffWjUbE4eNMIpsx02Tz,Loves You Like I Couldn’t Do,spotify:track:6YqffWjUbE4eNMIpsx02Tz,0.762,0.665,0.301,0,0.216,-9.236,0.0332,113.961,0.249,38,Duncan Laurence
Small Town Boy,7,4iXDnOmWmfP7Sg6R7UjuBh,Figure It Out,spotify:track:4iXDnOmWmfP7Sg6R7UjuBh,0.384,0.648,0.349,0,0.0771,-9.078,0.053,89.868,0.371,35,Duncan Laurence
Small Town Boy,13,4Ld4kbKo1eOzToQ0P8JA0V,Arcade (feat. FLETCHER),spotify:track:4Ld4kbKo1eOzToQ0P8JA0V,0.815,0.446,0.395,0.00216,0.128,-9.328,0.0365,71.944,0.267,76,Duncan Laurence
Small Town Boy (Track By Track),1,41KhPY9LuHRc0YDO8kt0s1,Intro - Commentary,spotify:track:41KhPY9LuHRc0YDO8kt0s1,0.195,0,0.207,0.995,0,-20.589,0,0,0,0,Duncan Laurence
Small Town Boy (Track By Track),2,3UFibqaDib8ZEqtviCFLIx,Beautiful - Commentary,spotify:track:3UFibqaDib8ZEqtviCFLIx,0.558,0.665,0.155,0.00045,0.105,-20.121,0.945,151.594,0.699,19,Duncan Laurence
Small Town Boy (Track By Track),4,20SpIjOAbKZEHKtiuSB2P8,Yet - Commentary,spotify:track:20SpIjOAbKZEHKtiuSB2P8,0.262,0.775,0.165,2.97E-06,0.145,-20.033,0.952,113.783,0.681,15,Duncan Laurence
Small Town Boy (Track By Track),5,48cIbiLie7h8QaP6wgkb8E,Yet,spotify:track:48cIbiLie7h8QaP6wgkb8E,0.886,0.392,0.266,2.01E-06,0.101,-11.312,0.0378,150.581,0.354,36,Duncan Laurence
Small Town Boy (Track By Track),6,6IwLN1UOPoqGiBxXpL4axn,Between Good And Goodbye - Commentary,spotify:track:6IwLN1UOPoqGiBxXpL4axn,0.431,0.813,0.176,0.000402,0.108,-20.186,0.927,89.165,0.721,16,Duncan Laurence
Small Town Boy (Track By Track),7,0fSJRkERzRgagVZZ91s5sz,Between Good And Goodbye,spotify:track:0fSJRkERzRgagVZZ91s5sz,0.626,0.429,0.319,0,0.105,-7.697,0.0376,133.858,0.311,37,Duncan Laurence
Small Town Boy (Track By Track),8,48562XCxX5gVoVB3FirNRe,Loves You Like I Couldn’t Do - Commentary,spotify:track:48562XCxX5gVoVB3FirNRe,0.399,0.722,0.219,5.51E-05,0.117,-20.005,0.93,117.985,0.683,16,Duncan Laurence
Small Town Boy (Track By Track),10,4I7zzeqZlkxB7oTYCXcH2r,Sleeping On The Phone - Commentary,spotify:track:4I7zzeqZlkxB7oTYCXcH2r,0.419,0.759,0.231,8.01E-06,0.121,-17.838,0.917,111.948,0.772,16,Duncan Laurence
Small Town Boy (Track By Track),11,2aG8eoXZrJw3Bjx5bCHdVv,Sleeping On The Phone,spotify:track:2aG8eoXZrJw3Bjx5bCHdVv,0.837,0.461,0.343,0,0.102,-11.698,0.034,106.046,0.217,39,Duncan Laurence
Small Town Boy (Track By Track),12,2no4D4hvxBGfxyQH6CVPPA,Arcade - Commentary,spotify:track:2no4D4hvxBGfxyQH6CVPPA,0.208,0.725,0.202,2.18E-05,0.107,-17.918,0.921,107.85,0.811,17,Duncan Laurence
Small Town Boy (Track By Track),13,1J14CdDAvBTE1AJYUOwl6C,Arcade,spotify:track:1J14CdDAvBTE1AJYUOwl6C,0.827,0.453,0.35,0.00122,0.144,-11.639,0.0425,72.017,0.279,79,Duncan Laurence
Small Town Boy (Track By Track),14,0i27TdwmxXEwoGj4DmN2Dj,Figure It Out - Commentary,spotify:track:0i27TdwmxXEwoGj4DmN2Dj,0.347,0.762,0.181,2.22E-06,0.106,-19.816,0.937,89.664,0.797,17,Duncan Laurence
Small Town Boy (Track By Track),16,2PkWJSJdUSnJe151iFX2yI,Last Night - Commentary,spotify:track:2PkWJSJdUSnJe151iFX2yI,0.434,0.707,0.188,1.06E-05,0.124,-18.186,0.956,107.356,0.642,14,Duncan Laurence
Small Town Boy (Track By Track),17,7BWZC7yP7Fyd82GzM5lKEQ,Last Night,spotify:track:7BWZC7yP7Fyd82GzM5lKEQ,0.737,0.61,0.371,1.13E-06,0.0701,-10.615,0.0432,127.913,0.386,36,Duncan Laurence
Small Town Boy (Track By Track),18,2VR4rVNanrJ3EK5baJJelG,Someone Else - Commentary,spotify:track:2VR4rVNanrJ3EK5baJJelG,0.298,0.776,0.214,5.60E-05,0.111,-18.716,0.938,73.323,0.569,15,Duncan Laurence
