album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Home Alone (On the Night Before Christmas) (Dj Mix),1,6tAuBq6AMoBzSGlxxjBaB2,We Wish You A Merry Christmas (Home Alone Intro) - Mixed,spotify:track:6tAuBq6AMoBzSGlxxjBaB2,0.00342,0.212,0.397,0.85,0.273,-12.759,0.0393,68.222,0.105,22,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),2,4uuoopouKWUnVVy01eKywh,Santa Claus is Coming to Town - Mixed,spotify:track:4uuoopouKWUnVVy01eKywh,0.00207,0.62,0.836,0.00483,0.198,-4.826,0.126,125.214,0.355,22,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),3,75f4xdszVtCVWvbeP8kAmh,Merry Christmas Everyone - Mixed,spotify:track:75f4xdszVtCVWvbeP8kAmh,0.103,0.789,0.858,0.0586,0.16,-4.255,0.0448,125.02,0.46,23,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),4,6DSWcqi6Y0f2OnQXnPwKhP,Christmas Time - Mixed,spotify:track:6DSWcqi6Y0f2OnQXnPwKhP,0.111,0.482,0.744,0,0.334,-4.619,0.042,129.991,0.278,21,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),5,41tffW8qlaz16vvEQ9pmH8,It's Beginning to Look a Lot Like Christmas - Mixed,spotify:track:41tffW8qlaz16vvEQ9pmH8,0.00847,0.525,0.902,0.00167,0.262,-4.771,0.0703,139.935,0.0638,20,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),6,2z8W7JRKxMsWN7T22FRt2T,Do They Know It's Christmas - Mixed,spotify:track:2z8W7JRKxMsWN7T22FRt2T,0.00293,0.549,0.888,0,0.411,-3.783,0.188,124.961,0.327,18,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),7,7oOe6otN8VTKk9tN8NhFfq,Somewhere in My Memory (Home Alone Theme) - Mixed,spotify:track:7oOe6otN8VTKk9tN8NhFfq,0.00148,0.639,0.951,0.406,0.196,-4.749,0.0791,128.019,0.102,19,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),8,2hZ0pA3KAdizPcrTukyvrs,Wonderful Dream (Holidays Are Coming) - Mixed,spotify:track:2hZ0pA3KAdizPcrTukyvrs,0.00129,0.535,0.898,0,0.583,-3.584,0.0896,138.004,0.295,18,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),9,5yG7m0HSdE4NRYQxk5JwBt,Jingle Bells - Mixed,spotify:track:5yG7m0HSdE4NRYQxk5JwBt,0.0157,0.548,0.969,0.333,0.676,-2.293,0.067,149.984,0.419,19,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),10,0VU3gz4vEPezPmlueIvlsF,Feliz Navidad - Yves V Edit Mixed,spotify:track:0VU3gz4vEPezPmlueIvlsF,0.0642,0.749,0.936,2.61E-05,0.236,-3.4,0.069,124.023,0.617,17,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),11,5IUeYpJTWaayIHv8v6g6F1,Last Christmas - Mixed,spotify:track:5IUeYpJTWaayIHv8v6g6F1,0.0039,0.624,0.885,8.18E-05,0.184,-3.736,0.0966,123.943,0.192,19,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),12,5jBz3rgFv6BLma8VCrFreV,Jingle Bell Rock - Mixed,spotify:track:5jBz3rgFv6BLma8VCrFreV,0.0492,0.62,0.872,0.373,0.396,-2.607,0.0496,128.021,0.179,18,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),13,6At3oFN5Q4pLunBTpEmg8L,Rocking Around the Christmas Tree - Gabry Ponte Edit Mixed,spotify:track:6At3oFN5Q4pLunBTpEmg8L,0.0492,0.654,0.931,0.000999,0.345,-2.721,0.105,150.076,0.45,18,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),14,6LrPajopKtifIttHS6NU77,Rudolph the Red Nosed Reindeer - Mixed,spotify:track:6LrPajopKtifIttHS6NU77,0.0243,0.711,0.881,4.59E-06,0.301,-4.032,0.341,101.194,0.198,15,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),15,0BfTPk9rvkBCKrGh6wxx8M,Merry Xmas Everybody - Mixed,spotify:track:0BfTPk9rvkBCKrGh6wxx8M,0.00649,0.549,0.807,0,0.669,-2.793,0.0484,149.924,0.0379,15,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),16,6fCxyRf1akKhpfESsBQFv8,The Nutcracker - Mixed,spotify:track:6fCxyRf1akKhpfESsBQFv8,0.0155,0.611,0.917,0.00061,0.141,-4.211,0.232,150.089,0.238,15,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),17,6VRRlZUoLBBWai6f4Dl8XF,Deck the Halls - Timmy Trumpet Edit Mixed,spotify:track:6VRRlZUoLBBWai6f4Dl8XF,0.0194,0.284,0.931,0.0438,0.224,-3.709,0.077,80.241,0.314,18,Dimitri Vegas Like Mike
Home Alone (On the Night Before Christmas) (Dj Mix),18,3iN2sR9P3y4ER0M2kRsqM4,All I Want for Christmas is You - Mixed,spotify:track:3iN2sR9P3y4ER0M2kRsqM4,0.0968,0.47,0.769,0,0.369,-4.486,0.0497,149.948,0.0677,24,Dimitri Vegas Like Mike
Asia Tour 2016 Edition,7,5SQdkNFSXBnni36G4Rh45D,Close To Me - Dimitri Vegas & Like Mike Remix,spotify:track:5SQdkNFSXBnni36G4Rh45D,0.000829,0.736,0.751,0.00128,0.0752,-6.913,0.0796,127.983,0.391,0,Dimitri Vegas Like Mike
Dimitri Vegas & Like Mike - The State of,1,6yc377A8qxHIjPUcjGD4ET,Hey Baby,spotify:track:6yc377A8qxHIjPUcjGD4ET,0.0154,0.658,0.88,0,0.235,-4.582,0.0845,90.018,0.831,8,Dimitri Vegas Like Mike
