album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Brightest Blue,1,1HYM42YsijT5tqgJO3PKsn,Start,spotify:track:1HYM42YsijT5tqgJO3PKsn,0.24,0.576,0.531,8.29E-05,0.361,-8.296,0.0723,79.958,0.342,40,Ellie Goulding
Brightest Blue,2,6DpNYBy137exOUoYseIUft,Power,spotify:track:6DpNYBy137exOUoYseIUft,0.104,0.538,0.642,0,0.112,-4.412,0.127,161.803,0.47,44,Ellie Goulding
Brightest Blue,3,1TOwdnZR9knylSHExHyrcu,How Deep Is Too Deep,spotify:track:1TOwdnZR9knylSHExHyrcu,0.235,0.618,0.639,0,0.0884,-4.747,0.134,144.049,0.452,41,Ellie Goulding
Brightest Blue,4,3czYHUWwrC00cORxZEYanP,Cyan,spotify:track:3czYHUWwrC00cORxZEYanP,0.684,0.4,0.501,0.0263,0.167,-9.554,0.0416,67.108,0.0717,36,Ellie Goulding
Brightest Blue,6,2vXyMy4Txvev5dv0otXbUb,New Heights,spotify:track:2vXyMy4Txvev5dv0otXbUb,0.669,0.472,0.38,0,0.114,-7.259,0.032,114.828,0.315,37,Ellie Goulding
Brightest Blue,7,0Ytet0XNuTcY18jitabVa9,Ode To Myself,spotify:track:0Ytet0XNuTcY18jitabVa9,0.931,0.358,0.22,9.72E-05,0.109,-9.739,0.0382,82.493,0.115,36,Ellie Goulding
Brightest Blue,8,6CtxRBgvYTHgzH5X0ojkyo,Woman,spotify:track:6CtxRBgvYTHgzH5X0ojkyo,0.546,0.337,0.399,0,0.135,-6.082,0.0328,142.505,0.373,37,Ellie Goulding
Brightest Blue,9,6g4ky9ug6sbQflTwW6bFF8,Tides,spotify:track:6g4ky9ug6sbQflTwW6bFF8,0.0112,0.663,0.733,3.50E-05,0.0961,-6.942,0.0373,128.023,0.404,39,Ellie Goulding
Brightest Blue,10,2EfgL5HrZfOSvTf5xzCRB8,Wine Drunk,spotify:track:2EfgL5HrZfOSvTf5xzCRB8,0.914,0.488,0.0916,0,0.107,-10.907,0.046,69.751,0.215,37,Ellie Goulding
Brightest Blue,11,1Mu8a9HF9uhGPX88LdptUF,Bleach,spotify:track:1Mu8a9HF9uhGPX88LdptUF,0.538,0.603,0.599,0,0.172,-5.625,0.0325,79.986,0.359,38,Ellie Goulding
Brightest Blue,13,5gUCCqxmuEWttmebLEVW3Y,Brightest Blue,spotify:track:5gUCCqxmuEWttmebLEVW3Y,0.116,0.464,0.561,8.61E-05,0.0688,-7.157,0.0381,144.014,0.246,39,Ellie Goulding
Brightest Blue,1,5wPRYgYgPrwQJdJa321FXv,Overture,spotify:track:5wPRYgYgPrwQJdJa321FXv,0.955,0.254,0.271,0.954,0.316,-12.922,0.0294,69.679,0.0459,39,Ellie Goulding
Brightest Blue,2,6CFwIAU2YOgpB9NpC7eRMa,Worry About Me,spotify:track:6CFwIAU2YOgpB9NpC7eRMa,0.0918,0.663,0.708,0,0.297,-7.174,0.183,161.815,0.676,40,Ellie Goulding
Brightest Blue,4,2GjMaJ7DacMIkgoe8oMXGg,Close To Me,spotify:track:2GjMaJ7DacMIkgoe8oMXGg,0.0946,0.572,0.75,0,0.378,-5.042,0.0604,144.081,0.475,65,Ellie Goulding
Brightest Blue,5,2EPvkwP4Djr1s59GxAh8tO,Love I’m Given,spotify:track:2EPvkwP4Djr1s59GxAh8tO,0.152,0.517,0.805,0,0.0714,-4.897,0.0867,140.128,0.753,52,Ellie Goulding
Brightest Blue,12,5FmSmTZ397MeDBsv2pc5Gg,Flux,spotify:track:5FmSmTZ397MeDBsv2pc5Gg,0.855,0.515,0.416,0,0.14,-6.503,0.0274,92.821,0.362,44,Ellie Goulding
Brightest Blue,3,0QJqwbSleB55yUd8RnBCE5,Slow Grenade,spotify:track:0QJqwbSleB55yUd8RnBCE5,0.0954,0.756,0.559,0,0.105,-6.502,0.0737,142.056,0.605,58,Ellie Goulding
Brightest Blue,5,15og0pCEcTFWEXOFKdcJlU,Hate Me,spotify:track:15og0pCEcTFWEXOFKdcJlU,0.0875,0.64,0.789,0,0.147,-4.891,0.0644,75.018,0.762,72,Ellie Goulding
Brightest Blue,6,6p6KdVpfKtTMisH5VfWqsL,Sixteen,spotify:track:6p6KdVpfKtTMisH5VfWqsL,0.261,0.677,0.802,0,0.0705,-5.539,0.139,109.918,0.539,64,Ellie Goulding
Lights 10,1,3UMR29XaFn38nmI5jQwspc,Guns And Horses,spotify:track:3UMR29XaFn38nmI5jQwspc,0.0825,0.568,0.821,0,0.691,-4.886,0.0377,144.063,0.773,32,Ellie Goulding
Lights 10,2,4G7ZxJ3cXvKdQt9Bd389db,Starry Eyed,spotify:track:4G7ZxJ3cXvKdQt9Bd389db,0.135,0.504,0.814,1.42E-05,0.324,-5.346,0.0389,149.967,0.596,36,Ellie Goulding
Lights 10,3,4zJzghMk0twWKdB6ZDE6hz,This Love (Will Be Your Downfall),spotify:track:4zJzghMk0twWKdB6ZDE6hz,0.13,0.582,0.733,0.0124,0.113,-6.655,0.0297,109.468,0.433,31,Ellie Goulding
