album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
FINAL (Vol.1),1,4ld5JAPiiU0O4smQ0j4pAd,CHASING THE SUN,spotify:track:4ld5JAPiiU0O4smQ0j4pAd,0.0214,0.848,0.7,0.000154,0.171,-3.842,0.054,123.04,0.868,58,Enrique Igleasis
FINAL (Vol.1),2,0qV3ZLVDdRisXy3cbhZLQW,TE FUISTE (feat. Myke Towers),spotify:track:0qV3ZLVDdRisXy3cbhZLQW,0.547,0.604,0.885,0,0.0878,-2.857,0.237,82.014,0.817,64,Enrique Igleasis
FINAL (Vol.1),3,5cy2dREJqJAyf3CNr509W7,PENDEJO,spotify:track:5cy2dREJqJAyf3CNr509W7,0.0606,0.89,0.666,6.54E-05,0.11,-4.361,0.129,98.018,0.269,72,Enrique Igleasis
FINAL (Vol.1),4,0ij0AE5oRlXQszfywsEJ0l,UNWELL,spotify:track:0ij0AE5oRlXQszfywsEJ0l,0.144,0.606,0.847,0,0.172,-2.923,0.0277,132.024,0.282,52,Enrique Igleasis
FINAL (Vol.1),5,011bGIxQEalfjuO7hWP3iN,ALL ABOUT YOU,spotify:track:011bGIxQEalfjuO7hWP3iN,0.0342,0.614,0.781,0,0.13,-3.118,0.0358,82.522,0.448,47,Enrique Igleasis
FINAL (Vol.1),6,3mB3WRpKN8tTX7bI9qJIJb,ME PASE (feat. Farruko),spotify:track:3mB3WRpKN8tTX7bI9qJIJb,0.258,0.745,0.902,0,0.0869,-2.041,0.0498,93.955,0.7,66,Enrique Igleasis
FINAL (Vol.1),7,0mnAmQX1pciMncT2qFCNmK,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),spotify:track:0mnAmQX1pciMncT2qFCNmK,0.0721,0.689,0.808,0,0.241,-3.28,0.0572,91.012,0.674,67,Enrique Igleasis
FINAL (Vol.1),8,5adqS3stLaSPAEOszOnpXG,DUELE EL CORAZON (feat. Wisin),spotify:track:5adqS3stLaSPAEOszOnpXG,0.0904,0.72,0.909,0,0.137,-3.258,0.0952,91.022,0.877,64,Enrique Igleasis
FINAL (Vol.1),9,3fvb9N0z7RK4Bjznxidly4,EL BAÑO (feat. Bad Bunny),spotify:track:3fvb9N0z7RK4Bjznxidly4,0.24,0.71,0.893,0,0.0986,-3.053,0.0383,90.01,0.625,55,Enrique Igleasis
FINAL (Vol.1),10,4RzuSWA1mIaKXXKG9d9Nwi,MOVE TO MIAMI,spotify:track:4RzuSWA1mIaKXXKG9d9Nwi,0.0167,0.732,0.866,5.08E-06,0.0736,-4.159,0.0486,99.966,0.843,52,Enrique Igleasis
FINAL (Vol.1),11,3RcFEEcyjKcn0zI0Lfz5gC,El Perdón (with Enrique Iglesias),spotify:track:3RcFEEcyjKcn0zI0Lfz5gC,0.388,0.625,0.766,0,0.0726,-3.463,0.0528,179.933,0.75,46,Enrique Igleasis
SEX AND LOVE,19,7d0LICd9JwvSg4p9cup72E,3 Letters,spotify:track:7d0LICd9JwvSg4p9cup72E,0.0167,0.626,0.876,0,0.0936,-4.272,0.0853,124.009,0.818,20,Enrique Igleasis
SEX AND LOVE,21,45vCwkgpzM7pzp8qVsjg7r,Me Cuesta Tanto Olvidarte - Remix,spotify:track:45vCwkgpzM7pzp8qVsjg7r,0.0552,0.526,0.713,1.03E-05,0.0989,-4.552,0.0534,167.626,0.356,21,Enrique Igleasis
SEX AND LOVE (Deluxe),20,6mnAwZqKpjfm1iMI5PSYXV,Let Me Be Your Lover - French Remix,spotify:track:6mnAwZqKpjfm1iMI5PSYXV,0.0113,0.69,0.942,1.01E-06,0.409,-3.511,0.0604,112.006,0.882,18,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),1,0ZDs3sm7x3XLDUv1Blzru5,I'm A Freak,spotify:track:0ZDs3sm7x3XLDUv1Blzru5,0.034,0.711,0.805,0,0.124,-3.348,0.0602,127.946,0.768,41,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),2,3R1fDUw1lDoq6xD0IFIC1E,There Goes My Baby,spotify:track:3R1fDUw1lDoq6xD0IFIC1E,0.0957,0.789,0.805,0,0.0883,-3.212,0.0357,104.013,0.912,42,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),3,3VMSMjB4Yx79FDDrmYCk3N,Bailando - English Version,spotify:track:3VMSMjB4Yx79FDDrmYCk3N,0.0791,0.717,0.851,0,0.0652,-3.507,0.0957,90.971,0.955,61,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),4,3ilH6bopcq3voaFjJUnVDU,Beautiful,spotify:track:3ilH6bopcq3voaFjJUnVDU,0.695,0.321,0.509,0,0.171,-4.936,0.0307,90.414,0.061,32,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),6,5Qosz2TkmkZVOq2VDXL8Pb,Let Me Be Your Lover,spotify:track:5Qosz2TkmkZVOq2VDXL8Pb,0.0268,0.718,0.922,0,0.0572,-3.772,0.0664,111.998,0.928,37,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),8,0Vj4CBOmjqb1UENIpJgAx5,Still Your King,spotify:track:0Vj4CBOmjqb1UENIpJgAx5,0.0133,0.685,0.838,0,0.333,-4.256,0.124,127.994,0.687,34,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),9,4cflfBi2Q0CpXj7ueYlAyw,Only A Woman,spotify:track:4cflfBi2Q0CpXj7ueYlAyw,0.449,0.647,0.482,0,0.112,-5.979,0.0271,131.978,0.149,32,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),10,4G3cR8UoQgdG4kOYCMfqIR,Physical,spotify:track:4G3cR8UoQgdG4kOYCMfqIR,0.00784,0.69,0.831,3.81E-06,0.252,-4.635,0.0406,127.964,0.614,34,Enrique Igleasis
SEX AND LOVE (Deluxe Edition),15,1X8HXwt2jTxZt3EgTPs93N,I Like How It Feels,spotify:track:1X8HXwt2jTxZt3EgTPs93N,0.00912,0.591,0.883,0,0.171,-3.86,0.0981,127.995,0.716,45,Enrique Igleasis
SEX AND LOVE,7,4O6wHEaEwjnth9Mh6fO6R8,You And I,spotify:track:4O6wHEaEwjnth9Mh6fO6R8,0.524,0.587,0.841,0.00023,0.196,-4.56,0.111,127.936,0.497,37,Enrique Igleasis
SEX AND LOVE (Deluxe),5,1zpFTApsJK8n8FO9XUeGJW,Heart Attack,spotify:track:1zpFTApsJK8n8FO9XUeGJW,0.0639,0.553,0.892,0,0.426,-4.039,0.0667,77.01,0.479,48,Enrique Igleasis
SEX AND LOVE (Deluxe),13,6ns2oVPYMdlftelbSHlzvO,Finally Found You,spotify:track:6ns2oVPYMdlftelbSHlzvO,0.0107,0.622,0.886,0,0.354,-4.828,0.0883,127.969,0.603,49,Enrique Igleasis
SEX AND LOVE (Deluxe),3,32lm3769IRfcnrQV11LO4E,Bailando - Spanish Version,spotify:track:32lm3769IRfcnrQV11LO4E,0.0426,0.723,0.777,3.68E-06,0.0451,-3.503,0.108,91.017,0.961,72,Enrique Igleasis
SEX AND LOVE (Deluxe),4,4jMu6QYon1JEikcdTJ1TzR,El Perdedor,spotify:track:4jMu6QYon1JEikcdTJ1TzR,0.704,0.487,0.478,0,0.121,-5.91,0.0536,137.799,0.288,69,Enrique Igleasis
SEX AND LOVE (Deluxe),5,6yjsa6c8nSGQqXF12vFSpp,Loco,spotify:track:6yjsa6c8nSGQqXF12vFSpp,0.404,0.756,0.863,0,0.112,-3.39,0.028,132.987,0.915,66,Enrique Igleasis
SEX AND LOVE (Deluxe),9,4MK30zdOpWTvpE6UoJukIp,Me Cuesta Tanto Olvidarte,spotify:track:4MK30zdOpWTvpE6UoJukIp,0.544,0.522,0.496,2.14E-06,0.0942,-6.019,0.0327,167.615,0.327,42,Enrique Igleasis
SEX AND LOVE (Deluxe),10,3I8Hwjeo1G8GQLJWAx1PIT,Noche Y De Dia,spotify:track:3I8Hwjeo1G8GQLJWAx1PIT,0.00308,0.762,0.871,0,0.186,-3.347,0.0413,119.983,0.552,52,Enrique Igleasis
