album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
They Got Amnesia,22,3GBAFs7Qw8VvGeengmDClK,Cold (feat. Tory Lanez),spotify:track:3GBAFs7Qw8VvGeengmDClK,0.0121,0.882,0.785,0,0.0849,-5.4,0.102,105.971,0.178,57,French Montana
They Got Amnesia,1,0Au9QhCuI7TL08rHrvTIbl,ICU,spotify:track:0Au9QhCuI7TL08rHrvTIbl,0.714,0.516,0.51,0,0.4,-8.381,0.244,135.28,0.445,34,French Montana
They Got Amnesia,2,4Y1fvVW6U12FrjdKj50Igz,How You King?,spotify:track:4Y1fvVW6U12FrjdKj50Igz,0.105,0.572,0.743,0,0.19,-5.897,0.327,89.93,0.33,45,French Montana
They Got Amnesia,3,2f6PfM0BVPBtJVayoSVPus,FWMGAB,spotify:track:2f6PfM0BVPBtJVayoSVPus,0.0994,0.653,0.792,0,0.731,-2.018,0.0342,94.126,0.175,59,French Montana
They Got Amnesia,4,0pETxJHPurwOfi6Iaw4Esx,I Don't Really Care,spotify:track:0pETxJHPurwOfi6Iaw4Esx,0.0355,0.842,0.713,0,0.164,-6.251,0.159,93.947,0.624,49,French Montana
They Got Amnesia,5,0lOwJsHPk6GsvChQ8C7j2l,Touch The Sky (with John Legend & Rick Ross),spotify:track:0lOwJsHPk6GsvChQ8C7j2l,0.216,0.572,0.817,0,0.319,-2.11,0.104,83.062,0.322,54,French Montana
They Got Amnesia,6,2i3y5eG5Brkb96v5ZslpXS,Mopstick (with Kodak Black),spotify:track:2i3y5eG5Brkb96v5ZslpXS,0.00179,0.847,0.358,0,0.111,-8.274,0.473,163.979,0.218,52,French Montana
They Got Amnesia,7,1wgVJ6FtSOZHX1E7S9brVQ,Stuck in The Jungle (with Pop Smoke & Lil Durk),spotify:track:1wgVJ6FtSOZHX1E7S9brVQ,0.47,0.69,0.607,0,0.185,-6.869,0.289,141.022,0.6,57,French Montana
They Got Amnesia,8,0JcgIOrlZ0CNUOPxyudnrK,Handstand (with Doja Cat feat. Saweetie),spotify:track:0JcgIOrlZ0CNUOPxyudnrK,0.0138,0.786,0.551,0,0.68,-5.789,0.243,174.995,0.354,72,French Montana
They Got Amnesia,9,3s35uW66tb8s9KfXBuEeXm,Panicking (with Fivio Foreign),spotify:track:3s35uW66tb8s9KfXBuEeXm,0.0204,0.77,0.549,0,0.274,-7.075,0.0543,134.916,0.353,45,French Montana
They Got Amnesia,10,6kBdfiRp5SLXMIRVjceVod,Didn't Get Far (feat. Fabolous),spotify:track:6kBdfiRp5SLXMIRVjceVod,0.451,0.359,0.877,0,0.104,-4.568,0.444,172.266,0.179,43,French Montana
They Got Amnesia,11,6TnEIezhBbTZTIqHHMqIr2,The Paper,spotify:track:6TnEIezhBbTZTIqHHMqIr2,0.0392,0.574,0.777,0,0.181,-4.843,0.204,185.986,0.566,40,French Montana
They Got Amnesia,12,7qKpfg7WTl9bMmjsyV2PB1,Tonight Only,spotify:track:7qKpfg7WTl9bMmjsyV2PB1,0.217,0.544,0.871,0,0.11,-3.266,0.119,160.218,0.353,39,French Montana
They Got Amnesia,13,0BF8lFKB3v5FF2KX7GXVff,Business,spotify:track:0BF8lFKB3v5FF2KX7GXVff,0.135,0.659,0.626,0,0.447,-5.721,0.217,166.592,0.466,39,French Montana
They Got Amnesia,14,5DnubkVCDDFfcejkhtnM79,Push Start (with Coi Leray feat. 42 Dugg),spotify:track:5DnubkVCDDFfcejkhtnM79,0.0273,0.874,0.562,0,0.151,-5.966,0.103,101.041,0.637,67,French Montana
They Got Amnesia,15,1hkj6hvTqQRwSoSY4salSD,Striptease (with Ty Dolla $ign & Latto),spotify:track:1hkj6hvTqQRwSoSY4salSD,0.00257,0.912,0.59,0,0.092,-6.481,0.103,87.016,0.815,53,French Montana
They Got Amnesia,16,28nUmOSSJQNIj7KJ9ux2QV,Bag Season (feat. Lil Tjay),spotify:track:28nUmOSSJQNIj7KJ9ux2QV,0.135,0.888,0.546,0,0.195,-7.167,0.415,134.024,0.551,57,French Montana
They Got Amnesia,17,070RY72MRmoCVpGS7nuR0b,Fraud,spotify:track:070RY72MRmoCVpGS7nuR0b,0.0111,0.785,0.788,8.51E-06,0.0841,-4.318,0.0599,162.107,0.405,44,French Montana
They Got Amnesia,18,46V558gS5KTQOEcNpzK7G9,Prayer (Skit),spotify:track:46V558gS5KTQOEcNpzK7G9,0.67,0.298,0.221,0.00351,0.124,-14.065,0.0341,96.669,0.0374,32,French Montana
They Got Amnesia,19,4Am0lVQImkvnyOg02Kqb91,Appreciate Everything,spotify:track:4Am0lVQImkvnyOg02Kqb91,0.0627,0.715,0.827,0,0.14,-4.407,0.349,94.044,0.481,48,French Montana
They Got Amnesia,20,156rttHFqi25PjartZOyMl,Losing Weight,spotify:track:156rttHFqi25PjartZOyMl,0.275,0.696,0.612,0,0.212,-5.296,0.0966,134.098,0.413,39,French Montana
They Got Amnesia,21,53kPsiXXckI54tJ1gDYZAp,FWMGAB (Remix) [Bonus] (feat. Moneybagg Yo),spotify:track:53kPsiXXckI54tJ1gDYZAp,0.104,0.649,0.749,0,0.135,-2.283,0.0425,94.111,0.156,54,French Montana
They Got Amnesia,5,1TSW6PXNNWOOLGRFm6bK9y,Touch The Sky,spotify:track:1TSW6PXNNWOOLGRFm6bK9y,0.211,0.551,0.807,0,0.318,-2.085,0.106,83.16,0.374,27,French Montana
They Got Amnesia,6,04We8h76NWPBL912rcvkjx,Mopstick,spotify:track:04We8h76NWPBL912rcvkjx,0.00189,0.838,0.379,0,0.111,-8.451,0.447,164.038,0.211,18,French Montana
They Got Amnesia,7,5vXxOYzsTsMzk1XAkFBRav,Stuck in The Jungle,spotify:track:5vXxOYzsTsMzk1XAkFBRav,0.451,0.644,0.592,0,0.174,-6.945,0.292,141.006,0.586,25,French Montana
They Got Amnesia,8,724H2zgMZscqS67Tyb3LuU,Handstand (feat. Saweetie),spotify:track:724H2zgMZscqS67Tyb3LuU,0.0156,0.822,0.549,0,0.594,-5.993,0.192,174.995,0.378,35,French Montana
They Got Amnesia,9,1oY9ZsgQj75FjK5kzOxdcK,Panicking,spotify:track:1oY9ZsgQj75FjK5kzOxdcK,0.0207,0.765,0.553,0,0.273,-7.102,0.0524,134.925,0.379,11,French Montana
They Got Amnesia,14,6FtOftkp8BgFkoaXgIKJQN,Push Start (feat. 42 Dugg),spotify:track:6FtOftkp8BgFkoaXgIKJQN,0.0277,0.875,0.516,0,0.15,-6.12,0.0928,101.021,0.598,41,French Montana
They Got Amnesia,15,4n6H6fWbF3MUqXrG9LwlbK,Striptease,spotify:track:4n6H6fWbF3MUqXrG9LwlbK,0.00242,0.851,0.609,0,0.0919,-6.53,0.198,174.052,0.784,17,French Montana
They Got Amnesia,21,75wtZwQp7SxVPS3aoST6uN,FWMGAB (Remix) (feat. Moneybagg Yo),spotify:track:75wtZwQp7SxVPS3aoST6uN,0.12,0.662,0.739,0,0.135,-1.991,0.0414,93.907,0.158,16,French Montana
CB5,1,345F08F6wSghgc2bdWiIoR,Too Late (feat. Jim Jones),spotify:track:345F08F6wSghgc2bdWiIoR,0.142,0.604,0.656,0,0.27,-5.278,0.557,183.675,0.485,40,French Montana
CB5,2,0ZhyqCSRudT9CadBi83m8f,Brothers (feat. Lil Durk),spotify:track:0ZhyqCSRudT9CadBi83m8f,0.0289,0.589,0.511,0,0.16,-6.266,0.0313,143.064,0.0468,39,French Montana
CB5,3,5EIG22IVqrvSWWceyryoho,Double G (feat. Pop Smoke),spotify:track:5EIG22IVqrvSWWceyryoho,0.141,0.753,0.589,0,0.169,-6.472,0.345,143.204,0.383,50,French Montana
CB5,4,3qTHxCUwefoOR0jiwCRcQN,Hot Boy Bling (feat. Jack Harlow & Lil Durk),spotify:track:3qTHxCUwefoOR0jiwCRcQN,0.0895,0.971,0.624,0,0.182,-5.583,0.0525,121.971,0.769,55,French Montana
CB5,5,2CPUmpiJICIcKzXaQ5Xavi,FTMU,spotify:track:2CPUmpiJICIcKzXaQ5Xavi,0.00543,0.844,0.753,0,0.116,-4.152,0.213,138.067,0.583,31,French Montana
CB5,6,1qwwmePHjpqXIRqutVqBdR,Could It Be (feat. Chinx),spotify:track:1qwwmePHjpqXIRqutVqBdR,0.0842,0.574,0.853,0,0.321,-2.272,0.0669,157.965,0.246,25,French Montana
CB5,7,1720HwaLHR00NrjtBKSxUs,Paradise (feat. Rafi Malice & Max B),spotify:track:1720HwaLHR00NrjtBKSxUs,0.0301,0.817,0.845,1.52E-06,0.286,-4.256,0.139,95.989,0.446,38,French Montana
CB5,8,3ozC1seM4e7DOcmlRxRHiz,So Real (feat. YoungBoy Never Broke Again),spotify:track:3ozC1seM4e7DOcmlRxRHiz,0.368,0.531,0.672,0,0.15,-6.9,0.172,106.304,0.329,35,French Montana
CB5,9,5yuxQpaomgmctVH8f75Vf1,Wave Blues (feat. Benny the Butcher),spotify:track:5yuxQpaomgmctVH8f75Vf1,0.484,0.412,0.712,1.29E-05,0.112,-7.005,0.488,178.421,0.319,30,French Montana
CB5,10,3i0lLGNDzpy7jvu360qZVO,Yes Sir (feat. Lil Durk),spotify:track:3i0lLGNDzpy7jvu360qZVO,0.038,0.754,0.765,1.69E-05,0.164,-4.306,0.102,146.961,0.605,25,French Montana
CB5,11,4RFmB1HGF35tIFEY5VMkKM,I Know (feat. Chinx),spotify:track:4RFmB1HGF35tIFEY5VMkKM,0.107,0.726,0.649,0,0.304,-6.765,0.163,150.884,0.657,34,French Montana
CB5,12,1gsStO5illlZcaVKkK18Gr,Phenomenon (feat. Max B),spotify:track:1gsStO5illlZcaVKkK18Gr,0.201,0.689,0.832,0,0.119,-5.125,0.267,104.949,0.44,25,French Montana
CB5,13,2l1KmsKk785I2mLCqUJN5H,Corner (feat. Zak & A$AP Rocky),spotify:track:2l1KmsKk785I2mLCqUJN5H,0.0645,0.553,0.726,0,0.111,-6.744,0.315,79.529,0.153,29,French Montana
CB5,14,1QKHGjIjVX7ohmimqgMmhL,Straight For The Bag (feat. LGP QUA),spotify:track:1QKHGjIjVX7ohmimqgMmhL,0.025,0.776,0.734,0,0.413,-5.589,0.241,90.028,0.322,24,French Montana
CB5,15,3f5tuB8YWyIzwaSrthyOUB,How We Doin It (feat. Lil Mosey),spotify:track:3f5tuB8YWyIzwaSrthyOUB,0.289,0.683,0.654,0,0.111,-5.242,0.11,99.795,0.606,42,French Montana
CB5,16,2bA5jLciHKmT7jRraWLpy0,You Deserve An Oscar,spotify:track:2bA5jLciHKmT7jRraWLpy0,0.529,0.616,0.645,0,0.0965,-6.287,0.0713,148.283,0.541,26,French Montana
CB5,17,3mqG9xFi8QfHOBKTImH3lc,"In the Sun, Pt. 2 (feat. Curren$y)",spotify:track:3mqG9xFi8QfHOBKTImH3lc,0.198,0.609,0.783,0,0.182,-5.922,0.313,87.254,0.692,29,French Montana
CB5,18,7wRmxP3YuThdvOm2DjHn78,Who Dat,spotify:track:7wRmxP3YuThdvOm2DjHn78,0.0463,0.907,0.746,0,0.103,-6.51,0.329,90.02,0.743,23,French Montana
CB5,19,0qhRmiV2TFkknetxAifUqv,Big Cap,spotify:track:0qhRmiV2TFkknetxAifUqv,0.0626,0.877,0.59,0,0.119,-6.251,0.219,91.959,0.637,23,French Montana
MONTANA,1,5l3SLqtRpeU9F50GLFBRtG,Montana,spotify:track:5l3SLqtRpeU9F50GLFBRtG,0.135,0.496,0.744,0,0.0976,-5.754,0.311,170.267,0.421,39,French Montana
MONTANA,2,1t3cS9h5jMQxSuIsjG8nF9,Suicide Doors (feat. Gunna),spotify:track:1t3cS9h5jMQxSuIsjG8nF9,0.122,0.593,0.773,0,0.342,-5.536,0.0778,146.056,0.437,38,French Montana
