album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Pluto x Baby Pluto (Deluxe),1,0anUgBvnA4u5LsHUeLRprc,Tic Tac,spotify:track:0anUgBvnA4u5LsHUeLRprc,0.0773,0.942,0.566,0,0.11,-4.834,0.226,132.858,0.479,67,Future
Pluto x Baby Pluto (Deluxe),2,4V9K7DLPZNhCH77wLsAiNF,My Legacy,spotify:track:4V9K7DLPZNhCH77wLsAiNF,0.104,0.89,0.682,0,0.116,-5.249,0.323,143.979,0.526,54,Future
Pluto x Baby Pluto (Deluxe),3,669gYFBhezfYPXQP1hBMOX,Heart In Pieces,spotify:track:669gYFBhezfYPXQP1hBMOX,0.276,0.872,0.699,0,0.103,-6.127,0.0487,138.929,0.725,61,Future
Pluto x Baby Pluto (Deluxe),4,6vbe3GmRG30x2nraEvHudq,Because of You,spotify:track:6vbe3GmRG30x2nraEvHudq,0.445,0.781,0.469,0,0.0921,-8.456,0.0549,132.989,0.518,55,Future
Pluto x Baby Pluto (Deluxe),5,2z0LyXYmPgos95olIAQIO3,Bust a Move,spotify:track:2z0LyXYmPgos95olIAQIO3,0.0109,0.804,0.683,0,0.0693,-7.344,0.055,140.035,0.229,53,Future
Pluto x Baby Pluto (Deluxe),6,4Y4Xmm8OLUJSdR9OkaxV97,Baby Sasuke,spotify:track:4Y4Xmm8OLUJSdR9OkaxV97,0.689,0.66,0.633,0,0.129,-5.782,0.149,145.995,0.715,60,Future
Pluto x Baby Pluto (Deluxe),23,3f9RZbFJrmttvXYwiwqDlb,Patek,spotify:track:3f9RZbFJrmttvXYwiwqDlb,0.00301,0.801,0.596,0,0.162,-4.72,0.0534,120.028,0.134,59,Future
Pluto x Baby Pluto (Deluxe),24,7JsuXl9Odf3V38ksu4FWDZ,Over Your Head,spotify:track:7JsuXl9Odf3V38ksu4FWDZ,0.00198,0.773,0.742,0,0.558,-5.453,0.162,148.949,0.35,56,Future
Pluto x Baby Pluto,1,6lt8iodSkYWEV0ifKCSlfg,Stripes Like Burberry,spotify:track:6lt8iodSkYWEV0ifKCSlfg,0.216,0.758,0.574,0,0.144,-7.833,0.217,144.081,0.706,57,Future
Pluto x Baby Pluto,2,6NaVCCFGylOLZAgk5eTTid,Marni On Me,spotify:track:6NaVCCFGylOLZAgk5eTTid,0.0187,0.759,0.52,0,0.313,-7.042,0.447,123.189,0.116,54,Future
