album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Church,1,547D1QoSXmGc6AphwPEAQX,Steel,spotify:track:547D1QoSXmGc6AphwPEAQX,0.354,0.538,0.674,2.65E-06,0.114,-5.227,0.0327,128.075,0.132,38,Galantis
Church,2,6o6STE55cbhH4BuM2EJRL9,Faith (with Dolly Parton) [feat. Mr. Probz],spotify:track:6o6STE55cbhH4BuM2EJRL9,0.145,0.547,0.795,0,0.111,-3.721,0.0489,118.115,0.723,62,Galantis
Church,3,4lBLAQvcpUTCfja8wWaoXG,Unless It Hurts,spotify:track:4lBLAQvcpUTCfja8wWaoXG,0.142,0.703,0.874,2.76E-06,0.115,-3.563,0.0374,124.031,0.622,38,Galantis
Church,4,1mMvahhW2Oz9waG8UTQnI4,Never Felt A Love Like This (with Hook N Sling) [feat. Dotan],spotify:track:1mMvahhW2Oz9waG8UTQnI4,0.0304,0.58,0.804,0.00359,0.105,-4.618,0.0279,126.005,0.137,63,Galantis
Church,5,0xWNXLoJsTjVNemAept9rl,Holy Water,spotify:track:0xWNXLoJsTjVNemAept9rl,0.0653,0.586,0.734,0.000571,0.398,-4.558,0.0407,125.851,0.401,47,Galantis
Church,6,6aWYXI7g63URsS7ZLwSLy6,Hurricane (with John Newman),spotify:track:6aWYXI7g63URsS7ZLwSLy6,0.00266,0.675,0.81,0,0.186,-4.887,0.0337,123.975,0.406,45,Galantis
Church,7,7021HpMWKBNaVF4TxBGxLp,Stella,spotify:track:7021HpMWKBNaVF4TxBGxLp,0.277,0.677,0.617,0,0.23,-6.651,0.0471,119.886,0.389,33,Galantis
Church,8,369wLnUfZ0OzVimbV1t9rn,Bonfire (with Steve James),spotify:track:369wLnUfZ0OzVimbV1t9rn,0.118,0.652,0.789,1.48E-05,0.461,-5.878,0.0529,124.985,0.431,34,Galantis
Church,9,0oNs43BNv6ZMcfQ0wDZHeA,I Found U,spotify:track:0oNs43BNv6ZMcfQ0wDZHeA,0.0709,0.528,0.732,2.86E-06,0.109,-5.296,0.0453,123.938,0.39,36,Galantis
Church,10,4RpKjVMmlhZNMiwUu4rHsC,F**k Tomorrow Now,spotify:track:4RpKjVMmlhZNMiwUu4rHsC,0.326,0.353,0.84,0.00016,0.19,-4.415,0.0484,123.856,0.378,35,Galantis
Church,11,3GqWb3FghGcs30NGt5rxxW,Miracle (with Bali Bandits),spotify:track:3GqWb3FghGcs30NGt5rxxW,0.014,0.617,0.895,4.06E-05,0.315,-5.272,0.0412,124.984,0.401,38,Galantis
Church,12,1GSHTvBEs6tD8CUVJeFgAs,Feel Something (feat. flyckt),spotify:track:1GSHTvBEs6tD8CUVJeFgAs,0.233,0.76,0.69,0.000735,0.201,-3.642,0.0316,119.985,0.583,33,Galantis
Church,13,3csdDTfByXZQhOYlCHQJRp,We Can Get High (with Yellow Claw),spotify:track:3csdDTfByXZQhOYlCHQJRp,0.0668,0.654,0.782,0,0.303,-5.179,0.0494,150.078,0.349,45,Galantis
Church,14,53Ji6ZvVjsBl4pIuiETfhN,Bones (feat. OneRepublic),spotify:track:53Ji6ZvVjsBl4pIuiETfhN,0.00463,0.659,0.804,0,0.178,-5.735,0.0381,120.041,0.506,61,Galantis
The Aviary,1,6R1ArLLvqPvS3AHg9YgmrQ,True Feeling,spotify:track:6R1ArLLvqPvS3AHg9YgmrQ,0.0702,0.579,0.725,0.000337,0.12,-4.1,0.0423,127.986,0.219,54,Galantis
The Aviary,2,1wMgSz5vW6txvc0RkbsvSY,Hey Alligator,spotify:track:1wMgSz5vW6txvc0RkbsvSY,0.0244,0.697,0.774,4.44E-06,0.6,-3.467,0.0352,124.001,0.649,44,Galantis
The Aviary,3,4d7GbB5RQckWmvgj9Q1fQa,Girls on Boys,spotify:track:4d7GbB5RQckWmvgj9Q1fQa,0.194,0.638,0.62,0.000113,0.073,-2.416,0.0555,95.868,0.492,48,Galantis
The Aviary,4,2Xa9noXOlgoqSyDYAlwKs1,Salvage (Up All Night) (feat. Poo Bear),spotify:track:2Xa9noXOlgoqSyDYAlwKs1,0.0264,0.649,0.851,0.000179,0.101,-2.718,0.0425,121.953,0.262,41,Galantis
The Aviary,5,5kgqTe1BM720OjU78TGYDw,Tell Me You Love Me,spotify:track:5kgqTe1BM720OjU78TGYDw,0.117,0.762,0.797,0,0.202,-2.71,0.135,122.066,0.525,60,Galantis
The Aviary,6,77n3eUfENsFdbQv6L4hawq,Hello,spotify:track:77n3eUfENsFdbQv6L4hawq,0.0618,0.636,0.855,7.59E-06,0.118,-4.497,0.119,126.646,0.201,36,Galantis
The Aviary,7,1My0Hfu5dTCbYisBk9ZRGr,Hunter,spotify:track:1My0Hfu5dTCbYisBk9ZRGr,0.159,0.47,0.727,0,0.15,-5.752,0.131,99.465,0.63,60,Galantis
The Aviary,8,0W68dlJ9e4OcVWbECODJDM,Written in the Scars (feat. Wrabel),spotify:track:0W68dlJ9e4OcVWbECODJDM,0.0837,0.585,0.642,8.34E-05,0.277,-4.718,0.0548,99.86,0.348,39,Galantis
The Aviary,9,29W10ucu2eUqLy9eGbE05g,Call Me Home,spotify:track:29W10ucu2eUqLy9eGbE05g,0.00972,0.568,0.845,1.26E-05,0.891,-4.327,0.0447,129.985,0.359,37,Galantis
The Aviary,10,3bvjsHQd792zIO4SKFxXKs,Love on Me,spotify:track:3bvjsHQd792zIO4SKFxXKs,0.113,0.485,0.91,0,0.138,-2.096,0.0977,124.18,0.649,60,Galantis
The Aviary,11,3sjoP4LW3hObIGJ6Z95O8b,Pillow Fight,spotify:track:3sjoP4LW3hObIGJ6Z95O8b,0.144,0.522,0.867,1.30E-06,0.0725,-3.882,0.0737,128.014,0.328,40,Galantis
