album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Gravity (Deluxe),1,44ehxt2zk84L7HttZOqH2J,Cry,spotify:track:44ehxt2zk84L7HttZOqH2J,0.0136,0.457,0.718,0,0.0725,-7.085,0.0451,145.165,0.516,56,Gryffin
Gravity (Deluxe),2,3iTZ5Fm4nDP8BNnBhg8RR7,Body Back - VIP Remix,spotify:track:3iTZ5Fm4nDP8BNnBhg8RR7,0.163,0.613,0.762,0.000171,0.112,-6.941,0.0453,128.043,0.502,44,Gryffin
Gravity (Deluxe),3,7C86CXUXUI48lPujW7PGZf,Hurt People - VIP Remix,spotify:track:7C86CXUXUI48lPujW7PGZf,0.0675,0.57,0.803,0,0.191,-7.422,0.0538,146.055,0.433,34,Gryffin
Gravity (Deluxe),4,76p7WL3Lyf6SjEwmPRwBi4,All You Need to Know - Orchestral Version,spotify:track:76p7WL3Lyf6SjEwmPRwBi4,0.00802,0.449,0.625,0.671,0.0881,-13.237,0.0428,125.044,0.127,31,Gryffin
Gravity (Deluxe),5,1htpkf1eMIvDvZXa809I1d,Body Back - Orchestral Version,spotify:track:1htpkf1eMIvDvZXa809I1d,0.012,0.443,0.577,0.911,0.0763,-13.068,0.0464,122.957,0.146,27,Gryffin
Gravity (Deluxe),6,5FsYfBadbRKAvrQbM3RiDk,If I Left the World - Orchestral Version,spotify:track:5FsYfBadbRKAvrQbM3RiDk,0.0139,0.264,0.432,0.267,0.0747,-14.748,0.0378,89.804,0.0896,28,Gryffin
Gravity (Deluxe),7,4o4ZBG8WCD4ff7RrAUCt1g,Baggage - Orchestral Version,spotify:track:4o4ZBG8WCD4ff7RrAUCt1g,0.0168,0.36,0.431,0.692,0.094,-14.535,0.0478,123.018,0.0901,25,Gryffin
Gravity,1,4geaFycly5R2PF261olQ4D,Intro,spotify:track:4geaFycly5R2PF261olQ4D,0.0312,0.396,0.521,0.909,0.114,-12.032,0.0443,140.046,0.247,35,Gryffin
Gravity,2,4TIkSdsNSfqpuq6ZYvCjAz,All You Need To Know (feat. Calle Lehmann),spotify:track:4TIkSdsNSfqpuq6ZYvCjAz,0.00699,0.53,0.729,0,0.103,-6.019,0.0376,139.929,0.219,64,Gryffin
Gravity,4,2zh01m4PiHaZz4BAm0NRxs,Tie Me Down (with Elley Duhé),spotify:track:2zh01m4PiHaZz4BAm0NRxs,0.136,0.608,0.845,0,0.111,-2.292,0.0597,98.976,0.322,69,Gryffin
Gravity,5,0nC1pxQNPsQwW2keoIFBnx,Nothing Like You (feat. HANA),spotify:track:0nC1pxQNPsQwW2keoIFBnx,0.0454,0.78,0.591,4.06E-06,0.107,-7.413,0.0875,102.005,0.545,45,Gryffin
Gravity,6,3aFxfpfeATHYg1n750dhgq,Remember (with ZOHARA),spotify:track:3aFxfpfeATHYg1n750dhgq,0.0953,0.619,0.902,0.0405,0.216,-4.157,0.0562,123.002,0.504,58,Gryffin
Gravity,7,57DJaoHdeeRrg7MWthNnee,Body Back (feat. Maia Wright),spotify:track:57DJaoHdeeRrg7MWthNnee,0.0931,0.687,0.832,1.32E-06,0.183,-4.434,0.0366,123.036,0.448,66,Gryffin
Gravity,8,676eXXtx6I7yxaDfXvMpjK,Bye Bye (feat. Ivy Adara),spotify:track:676eXXtx6I7yxaDfXvMpjK,0.00548,0.612,0.781,0,0.174,-3.601,0.0931,148.017,0.54,58,Gryffin
Gravity,9,5mEdu358hFKpuN4YbJ2ZQy,If I Left The World (feat. MARINA & Model Child),spotify:track:5mEdu358hFKpuN4YbJ2ZQy,0.0782,0.251,0.673,0,0.0844,-5.342,0.076,89.973,0.262,46,Gryffin
Gravity,10,0sdLzD6YytK2DXiChFXRyz,Out of My Mind (with ZOHARA),spotify:track:0sdLzD6YytK2DXiChFXRyz,0.107,0.596,0.744,0.000106,0.0665,-4.377,0.0308,139.877,0.373,49,Gryffin
