album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Revealed 10 Year Anniversary Remixed,1,03PgbAWbsMhzaJc8uK3AyU,Apollo - SICK INDIVIDUALS Remix,spotify:track:03PgbAWbsMhzaJc8uK3AyU,0.00816,0.677,0.955,0.0188,0.222,-5.21,0.0696,128.009,0.144,49,Hardwell
Revealed 10 Year Anniversary Remixed,2,13Vsgt6OXJJ6JXEg841lTL,Being Alive - Ryos Remix,spotify:track:13Vsgt6OXJJ6JXEg841lTL,0.0198,0.477,0.87,3.33E-06,0.127,-3.721,0.0623,128.033,0.214,38,Hardwell
Revealed 10 Year Anniversary Remixed,3,3xOMaVP3Rj9xsDKT8B8O84,Spaceman - Dr Phunk Remix,spotify:track:3xOMaVP3Rj9xsDKT8B8O84,0.00684,0.39,0.786,0,0.116,-5.208,0.0578,148.644,0.148,50,Hardwell
Revealed 10 Year Anniversary Remixed,4,7jcrWiR7Gnufl93IaL8xqd,Apollo - Maddix Remix,spotify:track:7jcrWiR7Gnufl93IaL8xqd,0.0112,0.534,0.97,0.76,0.373,-6.791,0.123,140.025,0.0787,33,Hardwell
Revealed 10 Year Anniversary Remixed,5,7jEMkGBjRp1m21Z1d1Vzk4,This Is Love - BLK RSE Remix,spotify:track:7jEMkGBjRp1m21Z1d1Vzk4,0.0456,0.672,0.69,0.00395,0.54,-6.548,0.0353,127.958,0.146,30,Hardwell
Revealed 10 Year Anniversary Remixed,6,1wy5oEoQ601fJlUGRjNFwX,Chase The Sun - Jac & Harri Remix,spotify:track:1wy5oEoQ601fJlUGRjNFwX,0.0763,0.622,0.906,0.00255,0.308,-4.206,0.0394,122.032,0.46,30,Hardwell
Revealed 10 Year Anniversary Remixed,7,3YZAvVggquiLZfHwQhNij8,Retrograde - Drumstone Remix,spotify:track:3YZAvVggquiLZfHwQhNij8,0.00241,0.656,0.919,0.872,0.396,-8.814,0.0395,123.998,0.144,28,Hardwell
"Hardwell Presents Revealed, Vol. 9",6,64xQ0imoLRuW7PD7UmVi2i,The Beat - Hardwell Mix Cut,spotify:track:64xQ0imoLRuW7PD7UmVi2i,0.00098,0.59,0.937,0.515,0.217,-3.244,0.0357,127.967,0.184,5,Hardwell
"Hardwell Presents Revealed, Vol. 9",8,1M9SL1dzg0egBUxxijbloW,Fun Wild - Hardwell Mashup Mix Cut,spotify:track:1M9SL1dzg0egBUxxijbloW,0.00242,0.642,0.915,7.00E-05,0.258,-5.048,0.0571,128.029,0.185,5,Hardwell
"Hardwell Presents Revealed, Vol. 9",17,5cCWPVuZxkumlwSG2FPuEs,Earthquake to the Club - Hardwell Mashup Mix Cut,spotify:track:5cCWPVuZxkumlwSG2FPuEs,0.000543,0.652,0.944,0.235,0.305,-3.778,0.0574,129.92,0.037,8,Hardwell
"Hardwell Presents Revealed, Vol. 9",19,4M8AhX4CE4nF81070UewLL,Do It Till Your Face Hurts - Mix Cut,spotify:track:4M8AhX4CE4nF81070UewLL,0.00973,0.593,0.754,0.262,0.1,-6.345,0.0525,128.029,0.0377,2,Hardwell
"Hardwell Presents Revealed, Vol. 9",20,3gqXc2LHrIgM0ZVCHKMKUZ,"Epidemic Blah Blah Blah, Pt. 1 - Hardwell Mashup Mix Cut",spotify:track:3gqXc2LHrIgM0ZVCHKMKUZ,0.000258,0.404,0.956,0.611,0.299,-4.974,0.173,195.003,0.0376,5,Hardwell
"Hardwell Presents Revealed, Vol. 9",21,5Hvr7R95VuHOJF28ouCpzu,"Epidemic Blah Blah Blah, Pt. 2 - Hardwell Mashup Mix Cut",spotify:track:5Hvr7R95VuHOJF28ouCpzu,0.00189,0.563,0.864,0.235,0.301,-4.956,0.117,129.948,0.15,6,Hardwell
