album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Sacrifice,1,6I6p08DaP8juTPsHZdspOi,Back in the Days,spotify:track:6I6p08DaP8juTPsHZdspOi,0.00553,0.634,0.996,0.0687,0.37,-5.483,0.264,139.952,0.196,0,Headhunterz
Sacrifice,3,3lVVq4wl7c9gIsH0G7km5p,The Power of the Mind - Live Edit,spotify:track:3lVVq4wl7c9gIsH0G7km5p,0.0398,0.622,0.968,0.237,0.149,-5.567,0.168,149.977,0.125,0,Headhunterz
Sacrifice,4,4615n10MS6WJCDyTHXPdum,Dragon Born,spotify:track:4615n10MS6WJCDyTHXPdum,0.0765,0.342,0.993,0.241,0.12,-3.767,0.187,150.004,0.0979,5,Headhunterz
Sacrifice,5,5Q8aTKQs9E5A0K66bANN1Q,Hard with Style,spotify:track:5Q8aTKQs9E5A0K66bANN1Q,0.119,0.563,0.954,0.00146,0.102,-3.589,0.262,149.949,0.45,0,Headhunterz
Sacrifice,7,5MtItNDc3tZYZ557NvpFcV,Doomed,spotify:track:5MtItNDc3tZYZ557NvpFcV,0.071,0.638,0.961,0.2,0.0603,-3.852,0.194,150.06,0.464,0,Headhunterz
Sacrifice,9,2i26jslCf88ysoQrhUsj59,Eternalise - Hard Bass 2012 Anthem,spotify:track:2i26jslCf88ysoQrhUsj59,0.156,0.53,0.865,0.00482,0.0529,-5.843,0.0502,149.935,0.178,0,Headhunterz
Studio Sessions,1,6XiTi3bUnyYFkBUNDoaf2i,The MF Point of Perfection - Dubstyle Mix,spotify:track:6XiTi3bUnyYFkBUNDoaf2i,0.0909,0.593,0.977,0.642,0.276,-4.474,0.117,149.939,0.429,14,Headhunterz
Studio Sessions,2,5X1w2G5GOt4P70mY0P2ycK,Pyschedelic,spotify:track:5X1w2G5GOt4P70mY0P2ycK,0.0332,0.542,0.951,0.0177,0.207,-4.827,0.0754,150.014,0.264,20,Headhunterz
Studio Sessions,3,3pjLxf3By77rwtXAsfOQHt,Hate It or Love It - Live Edit,spotify:track:3pjLxf3By77rwtXAsfOQHt,0.0114,0.589,0.899,0.000834,0.121,-4.154,0.0634,149.988,0.323,9,Headhunterz
Studio Sessions,4,6gvhxogOWajEuylDWGbXBo,Blame It on the Music - D-Block & S-te-Fan Remix,spotify:track:6gvhxogOWajEuylDWGbXBo,0.0745,0.558,0.969,0.166,0.763,-4.155,0.0836,149.946,0.37,12,Headhunterz
Studio Sessions,5,7Eo8zUwO3KHOY9QTVgqDAI,Raiders of the Sun - Headhunterz Edit,spotify:track:7Eo8zUwO3KHOY9QTVgqDAI,0.18,0.51,0.734,0.00159,0.145,-7.956,0.165,150.023,0.065,7,Headhunterz
Studio Sessions,6,3iTMGUVPXAxy2DwFN4rGdm,Her Voice - Headhunterz Remix Edit,spotify:track:3iTMGUVPXAxy2DwFN4rGdm,0.0135,0.507,0.939,0.848,0.0783,-6.788,0.0637,150.006,0.0884,24,Headhunterz
Studio Sessions,7,6roTSY2jenM4PhwC82cx4F,Stuck in Ur Head,spotify:track:6roTSY2jenM4PhwC82cx4F,0.0299,0.564,0.966,0.000437,0.139,-4.697,0.0634,150.029,0.438,7,Headhunterz
Studio Sessions,8,3IEswUsU0vMITDKQrG7Yk2,Emptiness,spotify:track:3IEswUsU0vMITDKQrG7Yk2,0.00986,0.613,0.806,0.141,0.313,-5.646,0.0406,149.981,0.246,9,Headhunterz
Studio Sessions,9,51uYxFFUIHvC5PArHudSUH,Forever Az One - Noisecontrollers Remix,spotify:track:51uYxFFUIHvC5PArHudSUH,0.267,0.662,0.94,0.00645,0.346,-6.982,0.159,150.071,0.242,4,Headhunterz
Studio Sessions,10,4mUb2RaIRLBl2bIi361n3k,Dreamcatcher,spotify:track:4mUb2RaIRLBl2bIi361n3k,0.0459,0.569,0.921,0.886,0.2,-6.247,0.046,150.026,0.0647,6,Headhunterz
