album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
B4 The Storm (Complete Edition),1,35mv9EpkPJ6ppvddRasakY,Lemonade,spotify:track:35mv9EpkPJ6ppvddRasakY,0.25,0.8,0.658,0,0.111,-6.142,0.079,140.042,0.462,37,Internet Money
B4 The Storm (Complete Edition),2,5ha1vfw8dD4FghC1HEu98M,Blastoff,spotify:track:5ha1vfw8dD4FghC1HEu98M,0.114,0.761,0.517,0,0.157,-6.916,0.0927,147.912,0.46,43,Internet Money
B4 The Storm (Complete Edition),3,2bOaDlWJXIehsaQPQs5vaJ,Lost Me,spotify:track:2bOaDlWJXIehsaQPQs5vaJ,0.162,0.694,0.697,0,0.0821,-7.373,0.0379,89.966,0.379,35,Internet Money
B4 The Storm (Complete Edition),4,57FNYz14MjKVoRTbxtv4A1,Lemonade - Remix,spotify:track:57FNYz14MjKVoRTbxtv4A1,0.168,0.832,0.549,0,0.11,-8.259,0.0602,140.045,0.384,67,Internet Money
B4 The Storm (Complete Edition),5,2bRavn7vNWfXnbMArDz0r4,Thrusting,spotify:track:2bRavn7vNWfXnbMArDz0r4,0.331,0.675,0.577,0,0.0857,-5.431,0.338,193.777,0.568,36,Internet Money
B4 The Storm (Complete Edition),6,05t6POnTptz0XIhREEwrY9,Somebody,spotify:track:05t6POnTptz0XIhREEwrY9,0.366,0.626,0.673,0,0.111,-6.658,0.252,89.877,0.315,32,Internet Money
B4 The Storm (Complete Edition),7,6Nj9ouhquYWYPGGy2lZltn,Speak,spotify:track:6Nj9ouhquYWYPGGy2lZltn,0.042,0.71,0.713,0,0.181,-5.229,0.22,158.109,0.568,34,Internet Money
B4 The Storm (Complete Edition),8,3oCANhsnHc2CZJ49Er9sTO,JLO,spotify:track:3oCANhsnHc2CZJ49Er9sTO,0.195,0.863,0.716,0,0.145,-6.332,0.154,132.076,0.961,32,Internet Money
B4 The Storm (Complete Edition),9,0kx6jF6PRdfUtFf8aNt2Zv,Giddy Up,spotify:track:0kx6jF6PRdfUtFf8aNt2Zv,0.0739,0.759,0.56,0,0.111,-6.911,0.151,149.038,0.676,32,Internet Money
B4 The Storm (Complete Edition),10,1KLMyrGRj9xtmVdd6p8nuj,No Option,spotify:track:1KLMyrGRj9xtmVdd6p8nuj,0.0686,0.561,0.627,0,0.112,-6.786,0.267,149.001,0.354,30,Internet Money
B4 The Storm (Complete Edition),11,57Z4GPgimCuVsDMCoPoPoI,Take It Slow,spotify:track:57Z4GPgimCuVsDMCoPoPoI,0.406,0.789,0.517,0,0.113,-7.969,0.0974,124.935,0.442,26,Internet Money
