album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
JOSE (Deluxe Edition),32,0LdGJecZK7Sncp9CBcFUy1,In Da Getto - TSHA Remix,spotify:track:0LdGJecZK7Sncp9CBcFUy1,0.000762,0.748,0.89,0.292,0.238,-4.627,0.0513,127.001,0.355,37,J Balvin
JOSE (Deluxe Edition),1,1k1dKi7KYxKxiFeufqTzAp,F40 - Remix,spotify:track:1k1dKi7KYxKxiFeufqTzAp,0.018,0.611,0.519,6.63E-06,0.119,-5.612,0.368,172.062,0.469,58,J Balvin
JOSE (Deluxe Edition),2,1Pr8LpCNWruGvxp9phxwmd,Ego,spotify:track:1Pr8LpCNWruGvxp9phxwmd,0.292,0.616,0.468,0,0.256,-7.374,0.0723,87.801,0.623,52,J Balvin
JOSE (Deluxe Edition),3,591Jlv0BcckG5YwEH4yAY2,Tu Veneno,spotify:track:591Jlv0BcckG5YwEH4yAY2,0.0695,0.662,0.658,0.000269,0.0859,-4.202,0.0749,175.804,0.835,55,J Balvin
JOSE (Deluxe Edition),4,6BfLxiW0OEChUndQqMWt4N,Ma' G,spotify:track:6BfLxiW0OEChUndQqMWt4N,0.0378,0.909,0.681,0.000427,0.156,-6.722,0.118,137.014,0.657,48,J Balvin
JOSE (Deluxe Edition),29,3O9BNmxmQ5M02TFGMWptJt,In Da Getto - Chris Lorenzo Remix,spotify:track:3O9BNmxmQ5M02TFGMWptJt,0.0012,0.847,0.91,0.000417,0.0619,-3.515,0.0569,127.958,0.586,52,J Balvin
JOSE (Deluxe Edition),30,4aM0fbIFtdDbwIrbioUHC0,In Da Getto - Martinez Bros Remix,spotify:track:4aM0fbIFtdDbwIrbioUHC0,0.0013,0.783,0.931,0.478,0.0464,-2.74,0.0367,126.969,0.817,35,J Balvin
JOSE (Deluxe Edition),31,0k4RcppaFqE0a43xxliMyv,In Da Getto - Henry Fong Remix,spotify:track:0k4RcppaFqE0a43xxliMyv,0.0374,0.925,0.899,0,0.0489,-2.936,0.13,126.962,0.703,47,J Balvin
JOSE,1,1r4cq6ZPidlBrhBC5kpnCp,F40,spotify:track:1r4cq6ZPidlBrhBC5kpnCp,0.0616,0.576,0.577,2.03E-06,0.682,-6.231,0.303,171.153,0.681,59,J Balvin
JOSE,2,7iqOIHHEmu6Vhw25GgQ2eA,Una Nota,spotify:track:7iqOIHHEmu6Vhw25GgQ2eA,0.0191,0.662,0.788,0,0.0559,-4.55,0.205,179.876,0.711,85,J Balvin
JOSE,3,3EgHkFBGUu7NHZspAdiy0D,Te Acuerdas De Mí,spotify:track:3EgHkFBGUu7NHZspAdiy0D,0.0044,0.782,0.858,1.99E-06,0.287,-4.645,0.0599,90.01,0.832,66,J Balvin
JOSE,4,1q0PYXTbDsirp2l74ng6pn,In Da Getto,spotify:track:1q0PYXTbDsirp2l74ng6pn,0.0177,0.924,0.723,2.61E-05,0.113,-3.142,0.0466,126.998,0.643,76,J Balvin
JOSE,5,4tWOrZqaelCejCT3Th8Phq,Billetes De 100,spotify:track:4tWOrZqaelCejCT3Th8Phq,0.111,0.716,0.638,0,0.0899,-5.051,0.303,176.022,0.426,57,J Balvin
JOSE,6,0Pe4DpJDmZtOybHgrZ1hyM,La Venganza,spotify:track:0Pe4DpJDmZtOybHgrZ1hyM,0.324,0.784,0.702,1.84E-06,0.117,-3.884,0.05,92,0.538,62,J Balvin
JOSE,7,2Jq4Ei6P87YbP67asm2rP6,Vestido,spotify:track:2Jq4Ei6P87YbP67asm2rP6,0.319,0.851,0.683,2.50E-05,0.105,-5.353,0.12,87.979,0.771,68,J Balvin
JOSE,8,05fmJQJp2ODhF8BWhohgb6,Que Locura,spotify:track:05fmJQJp2ODhF8BWhohgb6,0.208,0.794,0.793,4.95E-05,0.158,-5.809,0.0543,112.999,0.805,61,J Balvin
JOSE,9,6Se3CKRvYOyuzHGdHAooem,Bebé Que Bien Te Ves,spotify:track:6Se3CKRvYOyuzHGdHAooem,0.0481,0.747,0.665,0,0.151,-6.538,0.0755,166.006,0.634,68,J Balvin
JOSE,10,58EEYVahoZAK7crGM6qAwA,Lo Que Dios Quiera,spotify:track:58EEYVahoZAK7crGM6qAwA,0.0205,0.682,0.691,2.88E-05,0.0559,-6.544,0.0825,177.907,0.587,64,J Balvin
JOSE,11,7iBb6zKia1sx84BM9LUoxx,Si Te Atreves,spotify:track:7iBb6zKia1sx84BM9LUoxx,0.164,0.677,0.735,0,0.279,-5.846,0.149,188.002,0.485,69,J Balvin
JOSE,12,6NrS68u0qtZ0bzNVSNz18T,Fantasías,spotify:track:6NrS68u0qtZ0bzNVSNz18T,0.06,0.844,0.492,0,0.108,-6.963,0.253,80.01,0.695,57,J Balvin
JOSE,13,77J8t2pFJYI8k4tZgJ3ybY,Pa' Guayarte,spotify:track:77J8t2pFJYI8k4tZgJ3ybY,0.0577,0.792,0.669,3.64E-05,0.103,-6.069,0.143,176.023,0.523,61,J Balvin
JOSE,14,15IszJQQHRq8xwYt5MDPo4,Ganas De Verte,spotify:track:15IszJQQHRq8xwYt5MDPo4,0.341,0.689,0.662,0,0.127,-6.248,0.0699,167.928,0.331,60,J Balvin
JOSE,15,04JVwAItboGpDhDgC4fNta,Perra,spotify:track:04JVwAItboGpDhDgC4fNta,0.0785,0.906,0.952,0.000268,0.358,-1.766,0.311,97.967,0.747,62,J Balvin
JOSE,16,5fub19NZQ0CBmwzERs0QTe,7 De Mayo,spotify:track:5fub19NZQ0CBmwzERs0QTe,0.653,0.775,0.482,1.54E-06,0.196,-9.73,0.282,93.019,0.583,51,J Balvin
JOSE,17,2FmF8r9Kv5x4Jhin8FsRG5,Suerte,spotify:track:2FmF8r9Kv5x4Jhin8FsRG5,0.34,0.795,0.511,0.0125,0.103,-5.912,0.354,175.972,0.566,55,J Balvin
JOSE,18,23E6hbN7xHR7fMAXvUdC7s,Querido Rio,spotify:track:23E6hbN7xHR7fMAXvUdC7s,0.843,0.438,0.265,0,0.116,-15.599,0.0958,85.974,0.727,49,J Balvin
JOSE,19,3ldgOvpKS3DWKMGN0G8BpJ,La Familia,spotify:track:3ldgOvpKS3DWKMGN0G8BpJ,0.339,0.843,0.577,0.0056,0.0882,-7.306,0.182,138.054,0.68,51,J Balvin
JOSE,20,6D2TCm4nf5nxAcdGJ7w3QP,Qué Más Pues?,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,0.0272,0.903,0.817,0.000311,0.242,-3.972,0.095,102.014,0.732,80,J Balvin
JOSE,21,0nZjipkI0piCeaAp7Tt2KN,OTRO FILI,spotify:track:0nZjipkI0piCeaAp7Tt2KN,0.275,0.855,0.638,0.000259,0.105,-5.925,0.106,81.988,0.641,60,J Balvin
JOSE,22,6xvaSd27eSA5kQlFRYhWZF,Otra Noche Sin Ti,spotify:track:6xvaSd27eSA5kQlFRYhWZF,0.0801,0.501,0.548,0.000408,0.118,-7.573,0.182,93.966,0.488,64,J Balvin
JOSE,23,2K1CQMoG2Dy5nmeOYnhoi8,Poblado - Remix,spotify:track:2K1CQMoG2Dy5nmeOYnhoi8,0.112,0.813,0.81,1.59E-06,0.377,-5.382,0.0809,93.005,0.632,77,J Balvin
JOSE,24,66x45Yh9x397PWpxMX0ZDT,UN DIA (ONE DAY),spotify:track:66x45Yh9x397PWpxMX0ZDT,0.00638,0.58,0.695,0,0.174,-8.244,0.0671,168.124,0.402,72,J Balvin
Colores,1,6zEgnpM0qYmHLDnh8WPejL,Amarillo,spotify:track:6zEgnpM0qYmHLDnh8WPejL,0.013,0.641,0.857,0.00534,0.0695,-5.725,0.301,122.728,0.961,74,J Balvin
Colores,2,2lCkncy6bIB0LTMT7kvrD1,Azul,spotify:track:2lCkncy6bIB0LTMT7kvrD1,0.0816,0.843,0.836,0.00138,0.0532,-2.474,0.0695,94.018,0.65,79,J Balvin
Colores,3,380HmhwTE2NJgawn1NwkXi,Rojo,spotify:track:380HmhwTE2NJgawn1NwkXi,0.193,0.663,0.598,8.02E-05,0.0856,-4.042,0.17,172.245,0.4,72,J Balvin
Colores,4,464uJVLmr0fDJGXOnciaDe,Rosa,spotify:track:464uJVLmr0fDJGXOnciaDe,0.25,0.651,0.561,0.000109,0.435,-5.715,0.25,175.992,0.369,66,J Balvin
Colores,5,35KmOEIUqAGn02t7n4qaIr,Morado,spotify:track:35KmOEIUqAGn02t7n4qaIr,0.131,0.885,0.68,1.77E-05,0.0875,-3.837,0.0848,97.003,0.78,70,J Balvin
Colores,6,3HTbI3yUJQw3fP0Po8qLcD,Verde,spotify:track:3HTbI3yUJQw3fP0Po8qLcD,0.0381,0.828,0.738,0.473,0.0917,-4.295,0.0516,94.995,0.818,64,J Balvin
Colores,7,2hsA9YWuF3C9Gosi4dpjJN,Negro,spotify:track:2hsA9YWuF3C9Gosi4dpjJN,0.0157,0.795,0.911,0.206,0.131,-2.228,0.0875,164.081,0.8,69,J Balvin
Colores,8,1syf62zw48zu4FrPwMtDHk,Gris,spotify:track:1syf62zw48zu4FrPwMtDHk,0.229,0.849,0.709,0,0.329,-4.717,0.0794,93.06,0.916,67,J Balvin
Colores,9,5zzbORcD0GwLY0wQHP1Xs1,Arcoíris,spotify:track:5zzbORcD0GwLY0wQHP1Xs1,0.0853,0.731,0.787,0,0.316,-5.26,0.0721,92.971,0.393,62,J Balvin
Colores,10,5pXy29xzxR3aTB0SYRI590,Blanco,spotify:track:5pXy29xzxR3aTB0SYRI590,0.0302,0.872,0.692,0.00761,0.0871,-5.376,0.187,99.982,0.693,65,J Balvin
OASIS,1,71pEiUWwfDFiRO6RmFpnBf,MOJAITA,spotify:track:71pEiUWwfDFiRO6RmFpnBf,0.0171,0.45,0.842,0,0.377,-3.602,0.102,172.069,0.885,73,J Balvin
OASIS,2,0uIfrUwwg0Z7KTitul7E3T,YO LE LLEGO,spotify:track:0uIfrUwwg0Z7KTitul7E3T,0.0104,0.785,0.792,0,0.104,-4.695,0.0641,155.036,0.528,72,J Balvin
OASIS,3,6SYSu569pfYdkDT9A5lZqi,CUIDAO POR AHÍ,spotify:track:6SYSu569pfYdkDT9A5lZqi,0.111,0.845,0.813,0.00241,0.174,-2.979,0.077,90.98,0.586,69,J Balvin
OASIS,4,25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,spotify:track:25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,0.791,0,0.362,-4.443,0.253,92.603,0.939,83,J Balvin
OASIS,5,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,0.152,0.754,0.646,1.85E-05,0.108,-5.795,0.317,176.089,0.429,90,J Balvin
