album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Electric Light,1,0lJ8a4Cl1brPVARa0WLyOX,Intro,spotify:track:0lJ8a4Cl1brPVARa0WLyOX,0.338,0.408,0.817,0.917,0.28,-12.916,0.361,96.672,0.0856,35,James Bay
Electric Light,2,6jNqxmC4X9yiQi0X3HIXsf,Wasted On Each Other,spotify:track:6jNqxmC4X9yiQi0X3HIXsf,0.195,0.609,0.79,2.16E-06,0.0533,-3.274,0.0374,96.069,0.457,45,James Bay
Electric Light,3,5nSDY75s6O6jA0K7J1EMYQ,Pink Lemonade,spotify:track:5nSDY75s6O6jA0K7J1EMYQ,9.39E-05,0.475,0.922,0.0203,0.748,-2.548,0.0469,152.011,0.701,58,James Bay
Electric Light,4,3XLZOk9aP5VxiO81xFSX2w,Wild Love,spotify:track:3XLZOk9aP5VxiO81xFSX2w,0.0751,0.503,0.584,4.89E-05,0.105,-6.603,0.0485,70.196,0.268,59,James Bay
Electric Light,5,16XiTUC2rQvb5lmtOm3FYY,Us,spotify:track:16XiTUC2rQvb5lmtOm3FYY,0.177,0.559,0.473,1.50E-06,0.108,-4.147,0.0364,69.973,0.341,79,James Bay
Electric Light,6,39nav0XmA3ycFfNjXx37IL,In My Head,spotify:track:39nav0XmA3ycFfNjXx37IL,0.0482,0.64,0.649,0,0.554,-5.558,0.0922,107.964,0.593,43,James Bay
Electric Light,7,0D666EMLUFA9Ms5HZdzhhI,Interlude,spotify:track:0D666EMLUFA9Ms5HZdzhhI,0.29,0.583,0.512,0.108,0.339,-16.968,0.737,84.476,0.0475,35,James Bay
Electric Light,8,0im9iFcLT5D6pNl85H9mRI,Just For Tonight,spotify:track:0im9iFcLT5D6pNl85H9mRI,0.0342,0.549,0.854,0,0.64,-3.511,0.0392,128.028,0.622,51,James Bay
Electric Light,9,1ErrkKi89V68HHsyUizbJA,Wanderlust,spotify:track:1ErrkKi89V68HHsyUizbJA,0.234,0.494,0.832,4.79E-05,0.0806,-4.234,0.0911,151.835,0.668,51,James Bay
Electric Light,10,50J6lp4IShQGX8PC3cP8GY,I Found You,spotify:track:50J6lp4IShQGX8PC3cP8GY,0.242,0.329,0.679,1.10E-05,0.43,-5.436,0.154,90.814,0.347,45,James Bay
Electric Light,11,6MlvaeqRJDCaU26QTFfAS7,Sugar Drunk High,spotify:track:6MlvaeqRJDCaU26QTFfAS7,0.00593,0.637,0.803,0,0.164,-3.332,0.115,120.816,0.45,41,James Bay
Electric Light,12,6rLmXc0W6rS2C4BfU47UoA,Stand Up,spotify:track:6rLmXc0W6rS2C4BfU47UoA,0.379,0.325,0.601,0.000288,0.115,-7.081,0.0824,149.824,0.212,40,James Bay
Electric Light,13,5A17N2UtvOx50EqZWWvGGL,Fade Out,spotify:track:5A17N2UtvOx50EqZWWvGGL,0.225,0.676,0.502,0.000176,0.158,-6.106,0.0611,86.989,0.705,46,James Bay
Electric Light,14,5QY4JhMKx4aBAaZcosncqd,Slide,spotify:track:5QY4JhMKx4aBAaZcosncqd,0.894,0.497,0.23,2.34E-06,0.0934,-8.22,0.0399,125.822,0.347,60,James Bay
