album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Feel Something (Deluxe),13,4aMUvgDqqPBHpV7KT5gbVY,Nothing Holy,spotify:track:4aMUvgDqqPBHpV7KT5gbVY,0.816,0.692,0.416,0.000925,0.295,-8.817,0.2,80.035,0.544,59,James Young
Feel Something (Deluxe),14,219slQu3ALbTSAe9P22hvE,Happiest Year,spotify:track:219slQu3ALbTSAe9P22hvE,0.885,0.502,0.168,0,0.111,-14.061,0.0486,112.881,0.355,82,James Young
Feel Something (Deluxe),15,2S6cDmfUgWiMMf6DNbg4dJ,Infinity - Piano Version,spotify:track:2S6cDmfUgWiMMf6DNbg4dJ,0.912,0.642,0.232,7.91E-05,0.108,-13.378,0.0388,113.884,0.111,62,James Young
Feel Something,1,0JrodaFVB3keEja7U1PabP,Tied Down,spotify:track:0JrodaFVB3keEja7U1PabP,0.0337,0.476,0.685,8.70E-05,0.109,-6.45,0.0396,143.827,0.382,51,James Young
Feel Something,2,7LJzs1Kr8kW3d6cFTCueNV,Stoned on You,spotify:track:7LJzs1Kr8kW3d6cFTCueNV,0.562,0.69,0.506,0.161,0.101,-9.326,0.0376,154.022,0.767,52,James Young
Feel Something,3,4f38RwYxPBNhdvng6rAqEA,Don't You Know,spotify:track:4f38RwYxPBNhdvng6rAqEA,0.175,0.748,0.704,0.00486,0.12,-8.978,0.0637,112.009,0.758,58,James Young
Feel Something,4,1ezFtClxTMcS2AotqjTZX5,Stone,spotify:track:1ezFtClxTMcS2AotqjTZX5,0.792,0.565,0.255,2.07E-06,0.0986,-12.151,0.0322,110.015,0.121,59,James Young
Feel Something,5,3eXXcGXGrTbGAZ7V5pU6i8,Sugar Burn,spotify:track:3eXXcGXGrTbGAZ7V5pU6i8,0.207,0.64,0.642,0.000532,0.348,-9.115,0.0585,168.058,0.616,45,James Young
Feel Something,6,0vMI3AJPQMjytAu8XMWr65,Feel Something,spotify:track:0vMI3AJPQMjytAu8XMWr65,0.694,0.61,0.59,2.32E-06,0.15,-7.325,0.0362,137.838,0.352,72,James Young
Feel Something,7,7drLhxwt6idqexeSk4Zuf4,Black Magic,spotify:track:7drLhxwt6idqexeSk4Zuf4,0.495,0.625,0.476,0,0.513,-8.099,0.04,63,0.55,56,James Young
Feel Something,8,0Zge2Kfo3Yd9JOGnAmVPbb,We Won't,spotify:track:0Zge2Kfo3Yd9JOGnAmVPbb,0.432,0.4,0.319,0,0.373,-11.121,0.227,63.716,0.51,52,James Young
Feel Something,9,7no6YBosw5P2itTFuxYJIu,Naked,spotify:track:7no6YBosw5P2itTFuxYJIu,0.252,0.768,0.502,1.33E-05,0.0338,-7.37,0.0464,119.987,0.486,45,James Young
Feel Something,10,3guZzFjyEutpq8Y58RTI3z,Two People,spotify:track:3guZzFjyEutpq8Y58RTI3z,0.522,0.821,0.651,8.23E-06,0.0338,-6.613,0.0358,130.004,0.822,43,James Young
Feel Something,11,4JuJZzGcswQszYiKJSnC6i,I'll Be Good,spotify:track:4JuJZzGcswQszYiKJSnC6i,0.698,0.389,0.277,0,0.0966,-10.757,0.0323,89.32,0.125,70,James Young
Feel Something,12,1SOClUWhOi8vHZYMz3GluK,Infinity,spotify:track:1SOClUWhOi8vHZYMz3GluK,0.148,0.671,0.673,5.29E-05,0.304,-6.941,0.0444,121.963,0.494,96,James Young
