album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Marry Me (Original Motion Picture Soundtrack),1,7I60cdZVrLvQCbMLTupIBY,Here Comes the Bride,spotify:track:7I60cdZVrLvQCbMLTupIBY,0.195,0.164,0.337,0.73,0.111,-8.569,0.0296,92.374,0.182,53,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),2,4tSqKLP6qzmDYkLBUOo8P5,Marry Me - Kat & Bastian Duet,spotify:track:4tSqKLP6qzmDYkLBUOo8P5,0.02,0.674,0.58,0,0.32,-7.527,0.109,99.996,0.699,68,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),3,5AL7osnKigcHhRpMlK20c8,Pa Ti (For You),spotify:track:5AL7osnKigcHhRpMlK20c8,0.269,0.856,0.626,0.000136,0.0563,-6.6,0.0497,140.033,0.775,62,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),4,5KRon82m0SiGX4e512nbV3,Church,spotify:track:5KRon82m0SiGX4e512nbV3,0.00187,0.694,0.808,5.26E-06,0.325,-5.617,0.0931,110.001,0.373,60,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),5,4sPE5nLWZgF6NiZfTqZQoa,1 en 1 Millón,spotify:track:4sPE5nLWZgF6NiZfTqZQoa,0.101,0.846,0.74,0,0.102,-6.647,0.111,93.977,0.562,61,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),6,7641LCcTz7WbkrbN15DnmY,Love of My Life,spotify:track:7641LCcTz7WbkrbN15DnmY,0.135,0.775,0.61,3.23E-06,0.0972,-8.327,0.0455,125.033,0.542,66,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),7,4EyUWVbXEAUWfYrpMpnlBm,After Love (Part 1),spotify:track:4EyUWVbXEAUWfYrpMpnlBm,0.107,0.685,0.446,0,0.101,-8.674,0.0512,112.811,0.285,65,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),8,6UDJJa0fFvJlmhTTMdsfzr,Marry Me - Ballad,spotify:track:6UDJJa0fFvJlmhTTMdsfzr,0.604,0.474,0.417,0,0.0939,-8.678,0.0358,82.267,0.288,63,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),9,5fEu1UrlykZG4kwONVPcs2,Segundo,spotify:track:5fEu1UrlykZG4kwONVPcs2,0.302,0.854,0.395,0,0.273,-8.801,0.057,100.025,0.78,64,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),10,6p9gMpEXeT18L9zsY5w10h,On My Way (Marry Me),spotify:track:6p9gMpEXeT18L9zsY5w10h,0.122,0.591,0.333,0,0.124,-9.196,0.029,127.201,0.377,67,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),11,2SevxqYWPrVA0r7kc7CPiA,Nobody's Watching (Marry Me),spotify:track:2SevxqYWPrVA0r7kc7CPiA,0.0149,0.769,0.693,0,0.163,-7.547,0.146,100.02,0.453,60,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),12,7eBAXS8XE6CWO5s7n5h5Kc,Love of My Life - ARKADI Remix,spotify:track:7eBAXS8XE6CWO5s7n5h5Kc,0.269,0.751,0.521,0,0.0871,-9.274,0.105,125.109,0.268,60,Jennifer Lopez
Marry Me (Original Motion Picture Soundtrack),13,5g0g18bTLe2q7Dgba1nlRb,On My Way (Marry Me) - TELYKast Remix,spotify:track:5g0g18bTLe2q7Dgba1nlRb,0.0268,0.686,0.608,0.00242,0.0794,-8.865,0.0438,127.018,0.234,59,Jennifer Lopez
A.K.A. (Deluxe),1,2XigeYgSpAjYTWnjjuwEjR,A.K.A.,spotify:track:2XigeYgSpAjYTWnjjuwEjR,0.111,0.676,0.808,0,0.0353,-5.003,0.143,134.933,0.401,33,Jennifer Lopez
A.K.A. (Deluxe),2,5P16LUPtZ1I5t3EqwELD53,First Love,spotify:track:5P16LUPtZ1I5t3EqwELD53,0.00961,0.622,0.708,0.00294,0.311,-5.084,0.0444,100.025,0.455,49,Jennifer Lopez
A.K.A. (Deluxe),3,4YspbtUBOCWU4MEIg9077O,Never Satisfied,spotify:track:4YspbtUBOCWU4MEIg9077O,0.0705,0.589,0.725,2.12E-06,0.147,-4.159,0.0698,149.991,0.231,31,Jennifer Lopez
A.K.A. (Deluxe),4,0fjqx2nfpWXdbrbnxDDgPT,I Luh Ya Papi,spotify:track:0fjqx2nfpWXdbrbnxDDgPT,0.449,0.731,0.74,0,0.13,-6.307,0.457,96.015,0.588,47,Jennifer Lopez
A.K.A. (Deluxe),5,1o2TUFm3HmbgmYr2OqmVpy,Acting Like That,spotify:track:1o2TUFm3HmbgmYr2OqmVpy,0.0378,0.83,0.721,9.91E-06,0.335,-5.236,0.0838,104.986,0.374,33,Jennifer Lopez
A.K.A. (Deluxe),6,6fkTSDGmtp3P4JUGZ5JBMg,Emotions,spotify:track:6fkTSDGmtp3P4JUGZ5JBMg,0.162,0.604,0.67,0.000137,0.124,-6.396,0.0303,94.071,0.244,29,Jennifer Lopez
A.K.A. (Deluxe),7,4dLN7SiPi5EspQwirFSAIQ,So Good,spotify:track:4dLN7SiPi5EspQwirFSAIQ,0.0248,0.661,0.617,1.08E-06,0.0818,-7.824,0.0942,92.415,0.167,30,Jennifer Lopez
A.K.A. (Deluxe),8,4gJSa70lzeER2A7hm1BAzZ,Let It Be Me,spotify:track:4gJSa70lzeER2A7hm1BAzZ,0.887,0.299,0.32,0.000146,0.129,-7.87,0.0319,169.874,0.385,33,Jennifer Lopez
A.K.A. (Deluxe),9,39zWIQYoTjDeDQGpbaTzNQ,Worry No More,spotify:track:39zWIQYoTjDeDQGpbaTzNQ,0.0928,0.396,0.83,1.42E-06,0.132,-5.676,0.466,85.552,0.589,28,Jennifer Lopez
