album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Fighting Demons (Deluxe),1,1X8E4vVoOM3BpSQlEDSjjM,Burn,spotify:track:1X8E4vVoOM3BpSQlEDSjjM,0.149,0.354,0.475,0.034,0.21,-9.333,0.0425,114.975,0.0393,68,Juice WRLD
Fighting Demons (Deluxe),2,1hB3M3POeKMLxcEFEvPeqU,Already Dead,spotify:track:1hB3M3POeKMLxcEFEvPeqU,0.0216,0.744,0.495,0,0.111,-6.311,0.0634,83.51,0.128,66,Juice WRLD
Fighting Demons (Deluxe),3,1CfuBY3BDdKpooQ9L5zgUc,Cigarettes,spotify:track:1CfuBY3BDdKpooQ9L5zgUc,0.0306,0.587,0.614,0,0.399,-6.344,0.0435,160.075,0.451,66,Juice WRLD
Fighting Demons (Deluxe),4,0veO6y9anwdVTaRuW7y8NJ,You Wouldn't Understand,spotify:track:0veO6y9anwdVTaRuW7y8NJ,0.0012,0.724,0.748,0,0.132,-4.335,0.0722,158.04,0.118,64,Juice WRLD
Fighting Demons (Deluxe),5,3i6sCTU7ENlnHpHvrHUitW,Sometimes,spotify:track:3i6sCTU7ENlnHpHvrHUitW,0.0609,0.674,0.58,0,0.159,-4.866,0.0311,121.987,0.0759,83,Juice WRLD
Fighting Demons (Deluxe),6,2DQayQSTaomynGyTLXzGs0,Wandered To LA (with Justin Bieber),spotify:track:2DQayQSTaomynGyTLXzGs0,0.0518,0.687,0.643,3.31E-06,0.11,-4.763,0.0406,135.068,0.418,64,Juice WRLD
Fighting Demons (Deluxe),7,7n6OIZ0TGJAxgmId9EygTE,Eminem Speaks,spotify:track:7n6OIZ0TGJAxgmId9EygTE,0.936,0.646,0.235,0,0.271,-19.697,0.582,128.139,0.624,60,Juice WRLD
Fighting Demons (Deluxe),8,2aaUTdC6YQqEZiQEk8wPxK,Rockstar In His Prime,spotify:track:2aaUTdC6YQqEZiQEk8wPxK,0.415,0.685,0.729,0,0.196,-8.694,0.15,170.025,0.382,63,Juice WRLD
Fighting Demons (Deluxe),9,1GydGCPNYJnCziQZBLE85q,Doom,spotify:track:1GydGCPNYJnCziQZBLE85q,0.016,0.62,0.495,1.91E-05,0.102,-7.251,0.0534,85.951,0.122,63,Juice WRLD
Fighting Demons (Deluxe),10,6LhB5o2iWjJgNHqock5H3b,Go Hard 2.0,spotify:track:6LhB5o2iWjJgNHqock5H3b,0.611,0.616,0.463,4.65E-06,0.163,-7.666,0.18,145.289,0.0682,63,Juice WRLD
Fighting Demons (Deluxe),11,5MaFTsKpVo4VHmzXUIdLrj,Juice WRLD Speaks,spotify:track:5MaFTsKpVo4VHmzXUIdLrj,0.852,0.559,0.42,0,0.363,-15.124,0.888,71.13,0.799,58,Juice WRLD
Fighting Demons (Deluxe),12,55ZNNY6D8FkNFAlVceAwIZ,Not Enough,spotify:track:55ZNNY6D8FkNFAlVceAwIZ,0.00369,0.693,0.715,2.86E-06,0.205,-6.108,0.049,90.006,0.323,62,Juice WRLD
Fighting Demons (Deluxe),13,45ttRl8uNtJkop7r9dmP4e,Feline (with Polo G & Trippie Redd),spotify:track:45ttRl8uNtJkop7r9dmP4e,0.0208,0.575,0.619,0,0.103,-6.663,0.322,110.109,0.296,62,Juice WRLD
Fighting Demons (Deluxe),14,26bkmabhSByGuQgWUqB37J,Relocate,spotify:track:26bkmabhSByGuQgWUqB37J,0.114,0.706,0.59,0,0.128,-6.403,0.0619,82.973,0.462,60,Juice WRLD
Fighting Demons (Deluxe),15,1N0TOOPBJvFOvQipTFz5io,Juice WRLD Speaks 2,spotify:track:1N0TOOPBJvFOvQipTFz5io,0.988,0.496,0.28,0.0185,0.104,-13.915,0.0951,99.506,0.519,58,Juice WRLD
Fighting Demons (Deluxe),16,2FDXscpZOtGwuOKmY0K76w,Until The Plug Comes Back Around,spotify:track:2FDXscpZOtGwuOKmY0K76w,0.196,0.7,0.725,0,0.176,-5.776,0.0491,144.994,0.524,59,Juice WRLD
Fighting Demons (Deluxe),17,4HDQt6Lepj3HpxypbG30Hz,From My Window,spotify:track:4HDQt6Lepj3HpxypbG30Hz,0.129,0.702,0.514,0,0.104,-6.674,0.0432,76.982,0.133,60,Juice WRLD
Fighting Demons (Deluxe),18,59bY27SZQ4r25o02vqOhgC,Girl Of My Dreams (with SUGA of BTS),spotify:track:59bY27SZQ4r25o02vqOhgC,0.194,0.603,0.771,0,0.13,-6.336,0.0627,139.988,0.332,60,Juice WRLD
Fighting Demons (Deluxe),19,7Jc01x8pxVqgVGxn5jrwui,Feel Alone,spotify:track:7Jc01x8pxVqgVGxn5jrwui,0.0935,0.619,0.622,0,0.226,-5.874,0.0461,150.062,0.194,60,Juice WRLD
Fighting Demons (Deluxe),20,6D1KDOoVRKLyGcxVBi13Ot,Go Hard,spotify:track:6D1KDOoVRKLyGcxVBi13Ot,0.625,0.641,0.445,7.80E-06,0.119,-7.94,0.12,145.302,0.0534,58,Juice WRLD
Fighting Demons (Deluxe),21,2iSQmITHUdCBQGDgvwEzkY,My Life In A Nutshell,spotify:track:2iSQmITHUdCBQGDgvwEzkY,0.0126,0.565,0.614,0,0.125,-7.008,0.0383,142.113,0.188,58,Juice WRLD
Fighting Demons (Deluxe),22,4UoDSs5VAw6xHdzbkjocTM,Rich And Blind,spotify:track:4UoDSs5VAw6xHdzbkjocTM,0.0092,0.641,0.637,0,0.0931,-5.185,0.109,159.964,0.43,62,Juice WRLD
Fighting Demons (Deluxe),23,6BjtaWm1T4kDWAqHrf8vEi,Legends,spotify:track:6BjtaWm1T4kDWAqHrf8vEi,0.114,0.586,0.82,0,0.134,-4.791,0.072,142.107,0.391,61,Juice WRLD
Goodbye & Good Riddance (Anniversary),17,26gXWzhL8DZJSU5sODhVTs,734,spotify:track:26gXWzhL8DZJSU5sODhVTs,0.134,0.635,0.554,0,0.116,-3.975,0.0343,156.822,0.315,75,Juice WRLD
Goodbye & Good Riddance (Anniversary),18,1jKlRcH7X78ps1yKBTWyUV,Lucid Dreams (feat. Lil Uzi Vert) - Remix,spotify:track:1jKlRcH7X78ps1yKBTWyUV,0.125,0.443,0.579,0,0.284,-6.517,0.187,83.827,0.256,60,Juice WRLD
Legends Never Die,1,02XcRGWPkvomFvzTamEKHg,Anxiety - Intro,spotify:track:02XcRGWPkvomFvzTamEKHg,0.972,0.307,0.528,0.00056,0.222,-11.337,0.108,174.795,0.58,62,Juice WRLD
Legends Never Die,2,4K06PO78fW4mnBVenxGNob,Conversations,spotify:track:4K06PO78fW4mnBVenxGNob,0.176,0.747,0.622,0,0.151,-5.825,0.0838,159.93,0.57,79,Juice WRLD
Legends Never Die,3,1YM6c2sxbf2Jacl9IFgn4I,Titanic,spotify:track:1YM6c2sxbf2Jacl9IFgn4I,0.168,0.567,0.545,0,0.112,-6.668,0.0448,174.146,0.234,74,Juice WRLD
Legends Never Die,4,7d94IqWX2UmSKMGUYSGFJG,Bad Energy,spotify:track:7d94IqWX2UmSKMGUYSGFJG,0.17,0.654,0.452,0,0.114,-6.36,0.0439,138.034,0.532,75,Juice WRLD
Legends Never Die,5,5dOxHHMOFAbG3VH23t0xNm,Righteous,spotify:track:5dOxHHMOFAbG3VH23t0xNm,0.0417,0.706,0.625,0,0.129,-7.426,0.0314,142.948,0.225,81,Juice WRLD
Legends Never Die,6,0fCwrjKfWxF3xQhZrYUw4T,Blood On My Jeans,spotify:track:0fCwrjKfWxF3xQhZrYUw4T,0.183,0.868,0.55,0,0.109,-6.417,0.226,117.943,0.464,76,Juice WRLD
Legends Never Die,7,6wQlQrTY5mVS8EGaFZVwVF,Smile (with The Weeknd),spotify:track:6wQlQrTY5mVS8EGaFZVwVF,0.224,0.694,0.685,0,0.124,-6.535,0.133,158.831,0.306,78,Juice WRLD
