album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Justice (The Complete Edition),23,24OeEKPQ8qqNZnPevRHxUT,Red Eye (feat. TroyBoi),spotify:track:24OeEKPQ8qqNZnPevRHxUT,0.0501,0.815,0.816,0.000887,0.0761,-4.393,0.0513,96.033,0.774,77,Justin Bieber
Justice (The Complete Edition),25,23EquxExXkNmGCCY96P0Iu,Hailey,spotify:track:23EquxExXkNmGCCY96P0Iu,0.0367,0.462,0.745,0,0.0795,-6.588,0.0699,100.042,0.254,75,Justin Bieber
Justice (The Complete Edition),24,5G99lkpldkHJx6o1Z37ts7,Angels Speak,spotify:track:5G99lkpldkHJx6o1Z37ts7,0.874,0.522,0.243,0,0.098,-7.796,0.0461,119.341,0.569,64,Justin Bieber
Justice (Triple Chucks Deluxe),17,7i2xVGqiF5FBPvLg6PLHX3,There She Go (feat. Lil Uzi Vert),spotify:track:7i2xVGqiF5FBPvLg6PLHX3,0.00945,0.725,0.716,0,0.119,-5.448,0.0349,150.074,0.904,64,Justin Bieber
Justice (Triple Chucks Deluxe),19,10Z9RbwrTbQ0gQeNRJ2dC1,Lifetime,spotify:track:10Z9RbwrTbQ0gQeNRJ2dC1,0.771,0.48,0.274,0,0.114,-7.083,0.0317,179.637,0.332,69,Justin Bieber
Justice (Triple Chucks Deluxe),21,6iKFUkq6GmaW4UQGED1tSd,Know No Better (feat. DaBaby),spotify:track:6iKFUkq6GmaW4UQGED1tSd,0.615,0.67,0.441,0,0.0947,-7.803,0.104,131.92,0.849,60,Justin Bieber
Justice (Triple Chucks Deluxe),22,6EKDPhgCDL2cwRvloAEwSP,Name (feat. Tori Kelly),spotify:track:6EKDPhgCDL2cwRvloAEwSP,0.829,0.45,0.324,0,0.089,-7.564,0.0264,151.658,0.291,60,Justin Bieber
Justice (Triple Chucks Deluxe),18,5dfjlWOwxxCQnM26MpsJjV,I Can't Be Myself (feat. Jaden),spotify:track:5dfjlWOwxxCQnM26MpsJjV,0.00195,0.704,0.66,3.08E-06,0.141,-5.961,0.0316,120.064,0.54,61,Justin Bieber
Justice (Triple Chucks Deluxe),20,34q2wrKN8QvZG1EIy2TgFn,Wish You Would (feat. Quavo),spotify:track:34q2wrKN8QvZG1EIy2TgFn,0.032,0.592,0.679,0,0.0741,-4.911,0.0349,139.941,0.409,58,Justin Bieber
Justice,1,0oaY19dUwZimIgzn3ZZLZO,2 Much,spotify:track:0oaY19dUwZimIgzn3ZZLZO,0.593,0.583,0.444,0,0.353,-8.601,0.0456,119.59,0.167,75,Justin Bieber
Justice,2,5NU40QTlXrDUJzDBdv79bg,Deserve You,spotify:track:5NU40QTlXrDUJzDBdv79bg,0.0314,0.677,0.633,0,0.112,-7.831,0.0771,89.934,0.409,73,Justin Bieber
