album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Donda (Deluxe),4,2yBb1CRq98SSWRuDSn36SZ,Life Of The Party (with André 3000),spotify:track:2yBb1CRq98SSWRuDSn36SZ,0.138,0.502,0.714,0,0.97,-6.668,0.257,79.136,0.305,69,Kanye West
Donda (Deluxe),11,6MTtOV150uwitRZz4anI2h,Up From The Ashes,spotify:track:6MTtOV150uwitRZz4anI2h,0.801,0.407,0.261,0,0.204,-10.829,0.0348,143.214,0.339,60,Kanye West
Donda (Deluxe),12,5TRekQsv96kQezYd8TkilW,Remote Control pt 2,spotify:track:5TRekQsv96kQezYd8TkilW,0.125,0.778,0.443,0.000162,0.126,-8.638,0.0681,109.967,0.122,61,Kanye West
Donda (Deluxe),17,2dz1JB89afkeSv509J5Po7,Never Abandon Your Family,spotify:track:2dz1JB89afkeSv509J5Po7,0.677,0.524,0.38,0,0.759,-9.048,0.371,90.264,0.248,57,Kanye West
Donda (Deluxe),32,2CxKBeqB9MPl8aT12ukLjF,Keep My Spirit Alive pt 2,spotify:track:2CxKBeqB9MPl8aT12ukLjF,0.209,0.477,0.65,0.000247,0.155,-6.574,0.311,166.589,0.072,58,Kanye West
Donda,1,7eSSmgq26BXr7xay3WKjfi,Donda Chant,spotify:track:7eSSmgq26BXr7xay3WKjfi,0.00516,0.702,0.0474,1.22E-06,0.147,-15.198,0.526,102.983,0.175,61,Kanye West
Donda,2,6d8HN8MqqbqrEUI2bvx0aG,Jail,spotify:track:6d8HN8MqqbqrEUI2bvx0aG,0.535,0.458,0.571,0.000305,0.0846,-6.739,0.0949,110.013,0.586,77,Kanye West
Donda,3,5JaSg0AYyAMMLjyGGDrrCm,God Breathed,spotify:track:5JaSg0AYyAMMLjyGGDrrCm,0.289,0.325,0.311,6.74E-05,0.11,-7.481,0.0442,92.744,0.0789,67,Kanye West
Donda,4,6LNoArVBBVZzUTUiAX2aKO,Off The Grid,spotify:track:6LNoArVBBVZzUTUiAX2aKO,0.0438,0.546,0.64,0,0.137,-5.582,0.37,137.728,0.63,82,Kanye West
Donda,5,6Hfu9sc7jvv6coyy2LlzBF,Hurricane,spotify:track:6Hfu9sc7jvv6coyy2LlzBF,0.0466,0.587,0.561,0,0.109,-6.569,0.146,80.009,0.351,84,Kanye West
Donda,6,0WSEq9Ko4kFPt8yo3ICd6T,Praise God,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,0.00904,0.798,0.545,9.48E-05,0.258,-6.466,0.168,118.029,0.212,88,Kanye West
Donda,7,35acXjupfWHgtchiS6yAjC,Jonah,spotify:track:35acXjupfWHgtchiS6yAjC,0.795,0.459,0.431,0,0.274,-8.375,0.256,177.3,0.128,70,Kanye West
Donda,8,5LuXsO34x6KVlL8OWsxRqk,Ok Ok,spotify:track:5LuXsO34x6KVlL8OWsxRqk,0.319,0.738,0.471,1.28E-06,0.13,-9.208,0.402,107.98,0.283,69,Kanye West
Donda,9,1jgcODbfAL3tV7tikF6n1j,Junya,spotify:track:1jgcODbfAL3tV7tikF6n1j,0.27,0.752,0.69,0,0.303,-3.948,0.0642,148.07,0.396,69,Kanye West
Donda,10,0JuSGEldfovcc8IS9va1wa,Believe What I Say,spotify:track:0JuSGEldfovcc8IS9va1wa,0.148,0.595,0.656,0,0.47,-7.868,0.247,99.811,0.416,76,Kanye West
