album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
When Christmas Comes Around...,1,4MEOr5vC6hEt5yWAmxEimt,Merry Christmas Baby,spotify:track:4MEOr5vC6hEt5yWAmxEimt,0.0328,0.353,0.606,0,0.0794,-4.621,0.0345,116.911,0.253,36,Kelly Clarkson
When Christmas Comes Around...,2,0TN4LrBEiaXc7BWfC77Nt3,It's Beginning To Look A Lot Like Christmas,spotify:track:0TN4LrBEiaXc7BWfC77Nt3,0.0919,0.677,0.788,0,0.383,-4.185,0.0323,114.86,0.371,35,Kelly Clarkson
When Christmas Comes Around...,3,4zHDuDQx8dcWVmVVtyIzRO,Christmas Isn't Canceled (Just You),spotify:track:4zHDuDQx8dcWVmVVtyIzRO,0.0429,0.58,0.789,0,0.146,-4.918,0.0457,139.901,0.572,49,Kelly Clarkson
When Christmas Comes Around...,4,13WZj8waopm2TM2NRtt5UF,Merry Christmas (To The One I Used To Know),spotify:track:13WZj8waopm2TM2NRtt5UF,0.476,0.481,0.359,0,0.0949,-7.132,0.0272,75.157,0.27,37,Kelly Clarkson
When Christmas Comes Around...,5,2O3v6UgFhJT1achAJ0aNSA,Rockin' Around The Christmas Tree,spotify:track:2O3v6UgFhJT1achAJ0aNSA,0.016,0.609,0.829,0,0.388,-4.785,0.0414,143.139,0.751,34,Kelly Clarkson
When Christmas Comes Around...,6,4nEJzW7MkSF8ojY7WJnoPt,Glow,spotify:track:4nEJzW7MkSF8ojY7WJnoPt,0.0524,0.638,0.83,0,0.302,-3.936,0.0671,145.967,0.61,46,Kelly Clarkson
When Christmas Comes Around...,7,4sZBHxlO97cnA7SUbNjvNy,Santa Baby,spotify:track:4sZBHxlO97cnA7SUbNjvNy,0.00745,0.376,0.569,0,0.0824,-4.634,0.0467,90.799,0.215,35,Kelly Clarkson
When Christmas Comes Around...,8,2O3MQ6H3gjrIWDcpeTrikT,"Santa, Can’t You Hear Me",spotify:track:2O3MQ6H3gjrIWDcpeTrikT,0.005,0.495,0.896,0,0.353,-2.381,0.0331,146.04,0.462,56,Kelly Clarkson
When Christmas Comes Around...,9,5gDlJZ5cep6GuhfOVolYDN,Last Christmas,spotify:track:5gDlJZ5cep6GuhfOVolYDN,0.431,0.508,0.476,0,0.112,-5.576,0.0277,96.248,0.403,33,Kelly Clarkson
When Christmas Comes Around...,10,0tTwVivY5U4GxlnTT5vxNb,Jingle Bell Rock,spotify:track:0tTwVivY5U4GxlnTT5vxNb,0.0238,0.62,0.836,0,0.0973,-4.16,0.0452,139.927,0.752,36,Kelly Clarkson
When Christmas Comes Around...,11,5EazWlA93uybyFtf4TUUEe,Blessed,spotify:track:5EazWlA93uybyFtf4TUUEe,0.557,0.513,0.531,0,0.203,-5.605,0.0368,118.96,0.252,37,Kelly Clarkson
When Christmas Comes Around...,12,2nQbAHSkFjirC0qPgWWelZ,Christmas Come Early,spotify:track:2nQbAHSkFjirC0qPgWWelZ,0.883,0.364,0.223,0,0.0858,-10.227,0.0334,147.871,0.158,33,Kelly Clarkson
When Christmas Comes Around...,13,2CYnG4UCBBEKIiux3S0jBU,Under The Mistletoe - Bonus Track,spotify:track:2CYnG4UCBBEKIiux3S0jBU,0.0168,0.437,0.802,0,0.086,-5.063,0.111,178.137,0.704,43,Kelly Clarkson
When Christmas Comes Around...,14,5QrJtUETQK1WH5tyZ2cAK7,All I Want For Christmas Is You - Bonus Track,spotify:track:5QrJtUETQK1WH5tyZ2cAK7,0.00782,0.503,0.721,0,0.104,-4.203,0.0354,113.947,0.243,34,Kelly Clarkson
When Christmas Comes Around...,15,53Th3IZ5xqwoETVVEEozdg,Christmas Eve - Bonus Track,spotify:track:53Th3IZ5xqwoETVVEEozdg,0.0526,0.575,0.871,0,0.0946,-3.757,0.0386,126.011,0.722,36,Kelly Clarkson
Meaning of Life,1,2QEjC670wRUC9OE9kOnPB3,A Minute (Intro),spotify:track:2QEjC670wRUC9OE9kOnPB3,0.537,0.564,0.317,0.000819,0.128,-13.812,0.079,103.133,0.558,38,Kelly Clarkson
Meaning of Life,2,16QN8cBubEq706vNtPpOME,Love So Soft,spotify:track:16QN8cBubEq706vNtPpOME,0.0053,0.808,0.581,1.19E-05,0.0828,-5.43,0.07,130.012,0.758,61,Kelly Clarkson
Meaning of Life,3,1zv5ce0HHLD90EByNsgBfD,Heat,spotify:track:1zv5ce0HHLD90EByNsgBfD,0.00303,0.588,0.901,0,0.057,-4.194,0.164,152.92,0.712,52,Kelly Clarkson
Meaning of Life,4,6YWStBSFmmeE5TZJmlUfhB,Meaning of Life,spotify:track:6YWStBSFmmeE5TZJmlUfhB,0.161,0.601,0.849,0,0.0963,-4.583,0.0409,97.492,0.604,45,Kelly Clarkson
Meaning of Life,5,3g9rfVxgLrcHEAjnbnulQi,Move You,spotify:track:3g9rfVxgLrcHEAjnbnulQi,0.0169,0.634,0.492,3.53E-06,0.351,-7.25,0.0424,137.981,0.101,44,Kelly Clarkson
Meaning of Life,6,1nukLnD50ey3rfs6jNnMJa,Whole Lotta Woman,spotify:track:1nukLnD50ey3rfs6jNnMJa,0.0369,0.838,0.683,0,0.638,-6.205,0.146,119.982,0.458,56,Kelly Clarkson
Meaning of Life,7,0gQrcNUTkpoK5LvNmCa2eC,Medicine,spotify:track:0gQrcNUTkpoK5LvNmCa2eC,0.101,0.82,0.792,0,0.348,-4.523,0.0567,123.006,0.813,45,Kelly Clarkson
Meaning of Life,8,2NqUPA7zYMm4pqJCFRjJfA,Cruel,spotify:track:2NqUPA7zYMm4pqJCFRjJfA,0.446,0.563,0.506,0,0.341,-4.692,0.0316,75.964,0.503,40,Kelly Clarkson
