album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Black Panther The Album Music From And Inspired By,1,5qN4HFkapdAOV94XPryVof,Black Panther,spotify:track:5qN4HFkapdAOV94XPryVof,0.625,0.618,0.582,3.84E-06,0.265,-9.454,0.297,90.035,0.48,60,Kendrick Lamar
Black Panther The Album Music From And Inspired By,2,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,0.552,85,Kendrick Lamar
Black Panther The Album Music From And Inspired By,3,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),spotify:track:4LmAnpjlhWTahvRkYR8xJa,0.0201,0.768,0.471,0,0.268,-8.406,0.259,131.023,0.405,72,Kendrick Lamar
Black Panther The Album Music From And Inspired By,4,5jyyPsIGM2yqkZN9R3TmvN,The Ways (with Swae Lee),spotify:track:5jyyPsIGM2yqkZN9R3TmvN,0.0626,0.727,0.72,1.21E-06,0.176,-5.856,0.0488,140.08,0.589,67,Kendrick Lamar
Black Panther The Album Music From And Inspired By,5,7bUcBztfGqO7cSI2gMZeCI,Opps (with Yugen Blakrok),spotify:track:7bUcBztfGqO7cSI2gMZeCI,0.152,0.706,0.775,3.32E-05,0.416,-6.819,0.335,127.929,0.847,61,Kendrick Lamar
Black Panther The Album Music From And Inspired By,6,0DJBgBiYeSn6n1AXAkFVE8,I Am,spotify:track:0DJBgBiYeSn6n1AXAkFVE8,0.144,0.601,0.583,9.73E-05,0.183,-5.725,0.263,148.785,0.32,63,Kendrick Lamar
Black Panther The Album Music From And Inspired By,7,2tPcTFiQF9MbVUyjZ3zDhA,Paramedic!,spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,0.177,0.856,0.652,0,0.193,-5.324,0.143,97.017,0.471,71,Kendrick Lamar
Black Panther The Album Music From And Inspired By,8,4KXwFI9pgJLpUIAc9oSL8j,Bloody Waters (with Anderson .Paak & James Blake),spotify:track:4KXwFI9pgJLpUIAc9oSL8j,0.185,0.507,0.606,0,0.174,-8.758,0.452,180.607,0.202,60,Kendrick Lamar
Black Panther The Album Music From And Inspired By,9,1eLSF6HfrRA0AsNmTkUlKx,"King's Dead (with Kendrick Lamar, Future & James Blake)",spotify:track:1eLSF6HfrRA0AsNmTkUlKx,0.00102,0.566,0.724,0,0.158,-4.574,0.323,81.774,0.407,69,Kendrick Lamar
Black Panther The Album Music From And Inspired By,10,4FpfU1O7WCLBnmwu5XAFk4,Redemption Interlude,spotify:track:4FpfU1O7WCLBnmwu5XAFk4,0.662,0.549,0.449,4.88E-05,0.0866,-13.645,0.104,121.164,0.223,53,Kendrick Lamar
Black Panther The Album Music From And Inspired By,11,76iVOVsliCHlWqKuDnCfhE,Redemption (with Babes Wodumo),spotify:track:76iVOVsliCHlWqKuDnCfhE,0.139,0.778,0.765,0.0274,0.123,-7.175,0.128,125.062,0.642,58,Kendrick Lamar
Black Panther The Album Music From And Inspired By,12,35cOyocq8Gb6UcT0NWeTwn,Seasons (with Sjava & Reason),spotify:track:35cOyocq8Gb6UcT0NWeTwn,0.28,0.629,0.554,0,0.158,-6.759,0.326,126.694,0.308,57,Kendrick Lamar
