album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
High Road,1,51CeiXQgEq3YD4D6v3GjfB,Tonight,spotify:track:51CeiXQgEq3YD4D6v3GjfB,0.0108,0.65,0.763,0,0.0782,-6.124,0.134,150.021,0.354,48,Kesha
High Road,2,1JWQRZr8rlmTAb74rFBUO5,My Own Dance,spotify:track:1JWQRZr8rlmTAb74rFBUO5,0.0771,0.836,0.725,0,0.0367,-5.367,0.103,102.026,0.443,45,Kesha
High Road,3,14wPnCr1Z8CIHBVpnpcTVt,Raising Hell (feat. Big Freedia),spotify:track:14wPnCr1Z8CIHBVpnpcTVt,0.00142,0.69,0.864,6.81E-05,0.0681,-4.769,0.128,114.975,0.313,58,Kesha
High Road,4,113vSUnh7fsCbSRNgEH0to,High Road,spotify:track:113vSUnh7fsCbSRNgEH0to,0.00361,0.666,0.747,1.90E-06,0.143,-5.344,0.0783,151.92,0.512,48,Kesha
High Road,5,15b731USHEGhasdbeJW6bi,Shadow,spotify:track:15b731USHEGhasdbeJW6bi,0.00978,0.532,0.481,1.31E-05,0.167,-5.961,0.0313,144.027,0.123,45,Kesha
High Road,6,4T3nfbJ0G6uwNOdhygapfu,Honey,spotify:track:4T3nfbJ0G6uwNOdhygapfu,0.337,0.569,0.455,0,0.0858,-7.637,0.344,88.418,0.657,42,Kesha
High Road,7,6EUxzQVdE6H7tPSdVfQY9Y,Cowboy Blues,spotify:track:6EUxzQVdE6H7tPSdVfQY9Y,0.923,0.531,0.264,0,0.0964,-8.234,0.0368,129.395,0.388,46,Kesha
High Road,8,0GqhRdZIWefcDItLfGlehY,"Resentment (feat. Sturgill Simpson, Brian Wilson & Wrabel)",spotify:track:0GqhRdZIWefcDItLfGlehY,0.754,0.567,0.357,1.22E-06,0.13,-8.201,0.032,84.112,0.372,47,Kesha
High Road,9,26yuncamqQJwiuf4mUJMbj,Little Bit Of Love,spotify:track:26yuncamqQJwiuf4mUJMbj,0.0357,0.648,0.58,0,0.0909,-5.462,0.0532,82.093,0.773,44,Kesha
High Road,10,41DBopd0o6IX2N8sjTE0AJ,Birthday Suit,spotify:track:41DBopd0o6IX2N8sjTE0AJ,0.129,0.603,0.585,0,0.0726,-5.877,0.165,202.022,0.741,44,Kesha
High Road,11,4Uyh4uFtztCHfd65ywHCL5,Kinky (feat. Ke$ha),spotify:track:4Uyh4uFtztCHfd65ywHCL5,0.0548,0.829,0.665,0.000943,0.231,-6.403,0.219,109.991,0.592,42,Kesha
